Polling Station No.,Building,Polling Areas
21,"Infant Jesus Matriculation School, kallikuppam-600053","(1)-Chennai Corporation, Sakthi nagar Annai Indiragandhi street kallikuppam :, (2)-Chennai Corporation, West Balaji nagar Extn Gandhi street kallikuppam :, (3)-Chennai Corporation, Sakthi nagar 4th street kallikuppam ward -82:, (4)- Chennai Corporation, Sakthi Nagar 2nd street kallikuppam ward 82:, (5)- Chennai Corporation, Sakthi nagar First street Kallikuppam ward 82:, (6)- Chennai Corporation, West balaji Nagar Extn Nethaji street kallikuppam ward 82:, (7)-Chennai Corporation, West Balaji nagar Extn Saron street kallikuppam :, (8)-Chennai Corporation, Ethen street West Balaji nagar kallikuppam ward 82:, (9)-Chennai Corporation, West balaji nagar kamarajar street kallikuppam :, (999)-OVERSEAS ELECTORS:"
22,"Infant Jesus Matriculation School, kallikuppam-600053","(1)-Chennai Corporation, WEst balaji Nagar 5th street kallikuppam ward 82:, (2)-Chennai Corporation, West balaji nagar Raja Ganapathi street kallikuppam ward 82:, (3)-Chennai Corporation, West Balaji nagar 3rd Cross street kallikuppam ward 82:, (4)-Chennai Corporation, West balaji nagar 3rd Main Road kallikuppam :, (5)-Chennai Corporation, West balaji nagar 2 nd main Road Kallikuppam ward 82:, (6)-Chennai Corporation, West balaji nagar 4th Cross street kallikuppam ward 82:, (7)-Chennai Corporation, West Balaji Nagar First main road kallikuppam ward 82:, (8)-Chennai Corporation, West balaji nagar First Cross street kallikuppam ward 82:, (9)-Chennai Corporation, West balaji nagar 2nd Cross street kallikuppam ward 82:, (999)-OVERSEAS ELECTORS:"
23,"Chennai Corporation High School - (South Facing) Padasalai Street, Kallikuppam- 600053","(1)-Chennai Corporation, Muthamil Nagar 1St Main Road kallikuppam :, (2)- Chennai Corporation, Muthamil Nagar 2nd Main Road kallikuppam :, (3)- Chennai Corporation, Muthamil Nagar 3St Main Road kallikuppam :, (4)- Chennai Corporation, Muthamil Nagar 5th Street kallikuppam Ward 82:, (5)- Chennai Corporation, Mutthamil Nagar 6th Main Road kallikuppam Ward 82:, (6)-Chennai Corporation, Muthamil Nagar 7th Street kallikuppam Ward 82:, (7)- Chennai Corporation, Muthamil Nagar 1st Street kallikuppam Ward 82:, (8)- Chennai Corporation, Muthamil Nagar 8th Street kallikuppam Ward 82:, (9)- Chennai Corporation, Muthamil Nagar 9th Street kallikuppam Ward 82:, (10)- Chennai Corporation, Muthamil Nagar 10th Street kallikuppam Ward 82:, (11)- Chennai Corporation, Muthamil Nagar 1st Cross Street kallikuppam :, (12)- Chennai Corporation, Muthamil Nagar Extan 2nd Cross Street Kallikuppam:, (13)-Chennai Corporation, Muthamil Nagar Extan 3rd Cross Street Kallikuppam:, (14)-Chennai Corporation, Muthamil Nagar Extan Kallikuppam Wrad 82:, (15)-Chennai Corporation, Muthamil Nagar Extan Ponnusami Street kallikuppam:, (999)-OVERSEAS ELECTORS:"
24,"Chennai Corporation High School - (South Facing) VI Std, Padasalai Street, Kallikuppam- 600053","(1)-Chennai Corporation, Muthamil Nagar Extan Gandhi street Kallikuppam Ward 82:, (2)-Chennai Corporation, Muthamil Nagar Extan Neru Street kallikuppam Ward 82:, (3)-Chennai Corporation, Muthamil Nagar M.G.R.Street kallikuppam Ward 82:, (4)-Chennai Corporation, Muthamil Nagar Om Sakthi Street kallikuppam Ward 82:, (5)-Chennai Corporation, Muthamil Nagar Vanniyar Srteet Ward 82:, (6)-Chennai Corporation, Muthamil Nagar Sakthi Ganapathy Street Ward 82:, (7)-Chennai Corporation, Madhanakuppam Main Road Kallikuppam Ward 82:, (8)-Chennai Corporation, Anna 1st Street Ward 82:, (9)-Chennai Corporation, Anna 2nd Street kallikuppam Ward 82:, (10)- Chennai Corporation, Surya Nagar Muthamil Nagar Kallikuppam Ward 82:, (11)- Chennai Corporation, Muthamil Nagar Chidamparam Street Kallikuppam Ward 82:, (12)-Chennai Corporation, Muthamil Nagar kallikuppam ward 82:, (999)- OVERSEAS ELECTORS:"
25,"Infant Jesus Matriculation School, kallikuppam-600053","(1)-Chennai Corporation, kallikuppam Redhills Salai Ward 82:, (2)-Chennai Corporation, Kallikuppam V.S.N.L Qutarors Redhills :, (3)-Chennai Corporation, Amarar Rajiv Gandhi Kallikuppam Ward 82:, (4)-Chennai Corporation, Srinivasa Nagar lakshmi Narasimman Ward 82:, (5)-Chennai Corporation, Kallikuppam Vallalar Street Ward 82:, (6)-Chennai Corporation, kallikuppam V.B.C.Nagar 1st Street Ward 82:, (7)-Chennai Corporation, kallikuppam V.B.C.Nagar 2nd Street Ward 82:, (8)-Chennai Corporation, kallikuppam V.B.C.Nagar 3rd Street Ward 82:, (9)-Chennai Corporation, kallikuppam West Banu Nagar Pillayar koil street:, (999)-OVERSEAS ELECTORS:"
26,"Infant Jesus Matriculation School, kallikuppam-600053","(1)-Chennai Corporation, kallikuppam West Balaji Nagar 1st Main Road:, (2)- Chennai Corporation, kallikuppam West Balaji Nagar 2nd Main Road:, (3)- Chennai Corporation, West Balaji Nagar 5th Street kallikuppam Ward 82:, (4)- Chennai Corporation, West balaji nagar kallikuppam 6th Street Ward 82:, (5)- Chennai Corporation, West balaji nagar kallikuppam 6th Cross Street Ward 82:, (6)-Chennai Corporation, West balaji nagar kallikuppam 7th Cross Street Ward 82:, (7)-Chennai Corporation, West balaji Nagar 9th Street Ward 82:, (8)- Chennai Corporation, West Balaji nagar 12th Street Ward 82:, (9)-Chennai Corporation, West balaji nagar 4th Cross street Ward 82:, (10)-Chennai Corporation, East Balaji Nagar Perumal Koil street :, (11)-Chennai Corporation, Indhu Mottar Nagar :, (999)-OVERSEAS ELECTORS:"
27,Chennai Corporation high School - kallikuppam -600053 (7 th STD Class Room),"(1)-Chennai Corporation, kallikuppam Thiruvalluvar street ward 82:, (2)- Chennai Corporation, kallikuppam Pillaiyar Koil Cross street ward 82:, (3)- Chennai Corporation, kallikuppam Gangai nagar Pillaiyar koil street ward 82:, (4)-Chennai Corporation, kallikuppam Radhakirushnan street ward 82:, (5)- Chennai Corporation, kallikuppam Gangai nagar Annai therasa street ward 82:, (6)-Chennai Corporation, kallikuppam Ganagi Iyyappan street ward 82:, (7)- Chennai Corporation, Kallikuppam Kattapomman street ward 82:, (8)-Chennai Corporation, Kallikuppam Gangai nagar Gandhi street ward 82:, (9)-Chennai Corporation, Kallikuppam Gangai nagar Anthoniyar street ward 82:, (10)- Chennai Corporation, kallikuppam Gangai nagar jagadeeshwarar street ward 82:, (999)-OVERSEAS ELECTORS:"
28,Chennai Corporation high School - kallikuppam-600053 (8 th STD Class Room),"(1)-Ambattur Municipality , kallikuppam Pillaiyar Koil street ward 3:, (2)- Ambattur Municipality , Kallikuppam Ganagai nagar Thiruvalluvar street ward 3:, (3)-Ambattur Municipality , Kallikuppam West Pasumpon Nagar East pillaiyar koil street ward 3:, (4)-Ambattur Municipality , kallikuppam West pasumpon nagar east Pillaiyar koil street ward 3:, (5)-Ambattur Municipality , kallikuppam West pasumpon nagar East Pillaiyar koil street :, (6)-Ambattur Municipality , Kallikuppam West Pasumpon nagar East Pillaiyar koil street ward 3:, (7)-Ambattur Municipality , Kallikuppam Pasumpon nagar east Pillaiyar Koil street ward 3:, (8)-Ambattur Municipality , kallikuppam West Pasumpon nagar east pillaiyar koil street ward 3:, (9)-Ambattur Municipality , kallikuppam Valliyammai street ward 3:, (999)-OVERSEAS ELECTORS:"
29,Chennai Corporation high School - kallikuppam-600053 (9 th STD Class Room),"(1)-Chennai Corporation, Gangai Nagar kallikuppam pari street ward 82:, (2)- Chennai Corporation, Gangai nagar kallikuppam Kumaran street ward 82:, (3)- Chennai Corporation, Gangai nagar kallikuppam saibaba street ward 82:, (4)- Chennai Corporation, Gangai nagar kallikuppam kampar street ward 82:, (5)- Chennai Corporation, Gangai Nagar kallikuppam Samoondishwari street ward 82:, (6)-Chennai Corporation, Gangai nagar kallikuppam Srinivasan street ward 82:, (7)-Chennai Corporation, Gangai nagar kallikuppam Bhuvaneshwari street ward 82:, (8)-Chennai Corporation, Gangai nagar kallikuppam Ganapathi street ward 82:, (9)-Chennai Corporation, Gangai nagar kallikuppam Narmatha street ward 82:, (10)-Chennai Corporation, Gangai Nagar kallikuppam Anna street ward 82:, (11)-Chennai Corporation, Gangai nagar kallikuppam Neru street ward 82:, (12)-Chennai Corporation, Gangai nagar kallikuppam Gangaiyamman koil street ward 82:, (999)-OVERSEAS ELECTORS:"
30,Chennai Corporation high School - kallikuppam-600053 (6 th STD B Class Room),"(1)- Chennai Corporation kallikuppam, Pasumpon Nagar 5th street Ward 82:, (2)- Chennai Corporation kallikuppam, Pasumpon Nagar 6th Avenu Ward 82:, (3)- Chennai Corporation kallikuppam, Gankai Nagar madhurai Veeran Koil street ward 82:, (4)- Chennai Corporation kallikuppam, Gankai Nagar 2nd Main Road Ward 82:, (5)- Chennai Corporation kallikuppam, Ganakai Nagar Saraswathy Street Ward 82:, (6)- Chennai Corporation kallikuppam, pasupon Nagar 2nd main road Ward 82:, (7)- Chennai Corporation kallikuppam, Gankai Nagar 1st main Road Ward 82:, (8)- Chennai Corporation kallikuppam, pasumpon Nagar 4th avenu Ward 82:, (9)- Chennai Corporation kallikuppam, Gankai Nagar Kakanji Street Ward 82:, (10)- Chennai Corporation kallikuppam, kallikuppam Sundra Iyar Street Ward 82:, (11)- Chennai Corporation kallikuppam, Pasumpon Nagar 7th Nagar Ward 82:, (12)- Chennai Corporation kallikuppam, Pasumpon Nagar main Road Ward 82:, (13)- Chennai Corporation kallikuppam, Gankai Nagar Kallikuppam Thirunavukkarasu Street Ward 82:, (14)- Chennai Corporation kallikuppam, Gankai Nagar Jeevarathinam Street Ward 82:, (15)- Chennai Corporation kallikuppam, Gangai Nagar Nethaji Street ward 82:, (999)-OVERSEAS ELECTORS:"
