Sl. No,Polling Station No,nNo.StatiogPollin,K MDAIA .REDNAXELA V,RRADHA.NCP,SAMUEL JOSEPH DMK,THENNARASAN.R ANBU NTK,S VEENA. AMAK,S VEDHACHALAM. AMMK,S VAITHEESWARAN. MNM,M.SARUMUGAM.IND,N GANESAN. IND,A.SKESAVAN.IND,G SRINIVASAN. IND,G SOMASUNDARAM. IND,P DHANRAJ. IND,NANDHAKUMAR NARMADA IND,G BHARADAN. IND,K BHARATHI. IND,S PRAVEEN. IND,A.R MURUGAVEL. IND,MUNIYANDI.T IND,RRAVI.IND,C RAGHUL. IND,G VIJAYAKUMAR. IND,T SAMUEL SANTHAKUMAR. JOSEPH IND,Total Valid Votes,Rejected Votes,Total Votes
91,55A(W),131,0,201,32,0,3,57,1,0,1,1,0,0,1,0,1,0,2,0,0,1,0,0,432,0,7,439
92,56,179,0,230,78,1,6,65,0,0,0,1,0,0,4,0,4,0,0,0,0,0,1,0,569,0,5,574
93,57,216,0,220,59,1,7,47,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,552,0,5,557
94,58,151,1,147,42,1,2,56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,402,0,6,408
95,59M,125,0,106,25,0,2,41,1,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,306,0,7,313
96,59A(W),131,0,91,23,0,3,36,0,0,0,0,0,0,2,1,0,1,2,1,0,0,0,0,291,0,2,293
97,60M,118,1,175,39,0,10,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,387,0,2,389
98,60A(W),111,1,187,26,0,8,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,379,0,2,381
99,61M,134,0,199,42,0,9,58,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,444,0,5,449
100,61A(W),97,0,207,26,0,9,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,397,0,7,404
101,62,235,2,185,29,0,8,52,0,0,0,0,0,1,2,0,3,0,0,0,1,0,0,0,518,0,6,524
102,63,155,0,144,34,0,0,55,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,396,0,5,401
103,64,134,1,227,40,0,4,74,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,486,0,3,489
104,65,198,1,216,28,0,3,66,0,1,0,0,0,0,0,0,12,1,0,2,0,0,0,1,529,0,6,535
105,66,217,0,131,46,1,3,63,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,464,0,7,471
106,67,211,2,218,68,2,2,63,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,577,0,16,593
107,68M,164,1,198,56,0,4,54,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,482,0,6,488
108,68A(W),141,1,195,31,1,2,46,0,0,0,0,0,0,1,0,4,1,0,2,0,1,0,0,426,0,7,433
109,69,172,2,230,45,1,6,78,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,539,0,10,549
110,70M,132,0,162,40,1,2,54,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,395,0,4,399
111,70A(W),126,0,162,33,1,4,45,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,377,0,5,382
112,71M,127,1,170,45,0,2,47,1,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,399,0,6,405
113,71A(W),116,1,168,36,0,1,46,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,2,375,0,6,381
114,72M,128,0,149,51,1,6,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,376,0,4,380
115,72A(W),107,1,148,23,0,6,54,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,342,0,6,348
116,73,211,0,260,60,0,11,69,1,0,0,0,1,0,3,1,0,0,0,0,0,0,1,0,618,0,4,622
117,74M,139,0,198,68,0,11,32,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,453,0,8,461
118,74A(W),155,4,191,34,0,5,31,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,429,0,1,430
119,75,180,1,240,42,1,7,60,0,0,0,0,1,0,0,0,5,1,1,2,0,0,0,0,541,0,8,549
120,76,224,2,294,96,0,7,49,0,1,1,0,0,0,0,0,3,0,2,0,0,0,1,0,680,0,3,683
121,77M,118,0,197,77,2,10,33,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,440,0,3,443
122,77A(W),122,2,177,39,0,9,31,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,384,0,1,385
123,78M,139,0,199,54,0,4,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,430,0,5,435
124,78A(W),136,4,193,39,0,2,23,0,0,1,0,0,1,1,0,1,1,2,1,1,1,1,1,409,0,2,411
125,79,216,2,356,80,0,10,62,0,0,0,0,1,1,0,1,4,0,0,0,0,0,0,0,733,0,7,740
126,80,215,1,314,74,3,11,80,0,0,3,0,0,0,0,1,2,2,1,0,0,0,0,0,707,0,4,711
127,81M,146,0,186,105,1,10,37,1,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,492,0,6,498
128,81A(W),182,0,189,54,0,9,32,0,1,0,0,0,0,1,0,4,0,1,0,0,4,0,0,477,0,4,481
129,82M,107,0,200,87,0,8,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,439,0,3,442
130,82A(W),145,2,181,44,0,6,48,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,431,0,8,439
131,83M,146,0,214,65,0,10,44,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,484,0,6,490
132,83A(W),141,0,215,36,0,13,54,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,461,0,8,469
133,84M,161,0,219,48,0,4,22,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,456,0,5,461
134,84A(W),162,0,213,36,1,3,34,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,455,0,2,457
135,85,177,1,299,82,1,2,51,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,615,0,4,619
136,86M,130,1,231,53,0,2,60,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,480,0,3,483
137,86A(W),145,0,211,24,0,3,63,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,452,0,3,455
138,87M,165,0,239,79,1,5,51,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,543,0,13,556
139,87A(W),166,3,231,57,1,4,46,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,511,0,5,516
140,88M,113,1,186,56,0,1,63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,421,0,3,424
141,88A(W),116,1,173,42,0,3,59,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,396,0,2,398
142,89M,137,0,171,56,0,10,33,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,411,0,1,412
143,89A(W),164,2,145,28,0,4,37,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,383,0,3,386
144,90,200,2,318,58,2,5,42,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,629,0,11,640
145,91,219,1,252,58,0,4,89,0,0,0,1,0,0,1,1,2,0,0,1,1,0,0,0,630,0,10,640
146,92M,132,0,201,36,0,4,47,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,423,0,8,431
147,92A(W),116,0,179,24,0,1,48,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,371,0,1,372
148,93M,125,0,158,38,1,1,40,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,367,0,7,374
149,93A(W),102,1,134,27,1,1,57,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,326,0,10,336
150,94,238,1,206,38,0,3,72,0,0,0,1,0,0,2,0,3,1,0,0,0,0,0,0,565,0,4,569
151,95M,126,0,133,27,0,2,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,342,0,3,345
152,95A(W),121,1,130,19,0,1,49,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,324,0,7,331
153,96,222,1,240,49,1,11,75,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,1,605,0,9,614
154,97,145,0,221,41,1,9,80,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,498,0,4,502
155,98M,154,0,167,37,0,3,60,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,424,0,8,432
156,98A(W),140,0,157,24,0,1,45,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,374,0,4,378
157,99M,133,0,148,46,0,2,50,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,381,0,8,389
158,99A(W),152,1,156,28,0,1,50,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,394,0,5,399
159,100M,176,0,198,37,0,0,42,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,456,0,4,460
160,100A(W),158,0,192,35,0,3,51,1,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,445,0,5,450
161,101M,95,0,189,36,0,1,31,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,356,0,3,359
162,101A(W),117,0,193,25,1,0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,367,0,3,370
163,102,161,0,179,29,0,8,72,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,452,0,4,456
164,103M,115,0,279,48,0,6,31,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,1,485,0,4,489
165,103A(W),112,1,234,38,0,4,60,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,454,0,5,459
166,104M,119,1,240,72,0,10,35,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,482,0,2,484
167,104A(W),130,1,255,44,0,3,35,1,0,0,0,1,0,0,0,2,1,0,2,0,0,0,0,475,0,1,476
168,105M,130,0,206,62,0,4,25,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,429,0,2,431
169,105A(W),154,3,201,29,0,0,35,0,0,0,1,0,0,2,0,2,2,0,1,2,0,0,0,432,0,0,432
170,106,233,3,369,85,0,4,41,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,739,0,5,744
171,107,202,0,240,33,1,5,68,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,553,0,7,560
172,108M,149,1,163,30,1,5,55,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,408,0,11,419
173,108A(W),139,1,130,20,0,6,62,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,362,0,4,366
174,109M,140,2,176,44,0,6,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,414,0,4,418
175,109A(W),138,1,153,23,0,0,50,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,368,0,2,370
176,110M,94,0,145,40,0,2,29,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,314,0,4,318
177,110A(W),113,1,127,22,0,4,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,295,0,4,299
178,111M,128,2,193,42,2,4,39,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,414,0,4,418
179,111A(W),132,1,176,29,0,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,4,391
180,112M,97,2,166,28,1,3,31,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,330,0,6,336
181,112A(W),92,1,173,21,0,0,27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,317,0,1,318
182,113,151,2,321,87,0,2,37,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,605,0,6,611
183,114,167,2,277,59,1,1,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,539,0,6,545
184,115,174,0,351,63,0,7,43,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,641,0,5,646
185,116,176,2,221,51,0,4,42,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,501,0,2,503
