Sl. No,Polling Station No,nNo.StatiogPollin,K MDAIA .REDNAXELA V,RRADHA.NCP,SAMUEL JOSEPH DMK,THENNARASAN.R ANBU NTK,S VEENA. AMAK,S VEDHACHALAM. AMMK,S VAITHEESWARAN. MNM,M.SARUMUGAM.IND,N GANESAN. IND,A.SKESAVAN.IND,G SRINIVASAN. IND,G SOMASUNDARAM. IND,P DHANRAJ. IND,NANDHAKUMAR NARMADA IND,G BHARADAN. IND,K BHARATHI. IND,S PRAVEEN. IND,A.R MURUGAVEL. IND,MUNIYANDI.T IND,RRAVI.IND,C RAGHUL. IND,G VIJAYAKUMAR. IND,T SAMUEL SANTHAKUMAR. JOSEPH IND,Total Valid Votes,Rejected Votes,Total Votes
433,279M,110,0,126,22,1,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,1,311
434,279A(W),86,0,108,9,0,0,63,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,268,0,4,272
435,280,137,0,209,16,2,9,78,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,453,0,7,460
436,281M,105,0,168,17,0,7,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,343,0,5,348
437,281A(W),91,0,140,22,0,2,51,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,308,0,7,315
438,282,105,0,253,22,0,7,68,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,457,0,9,466
439,283,175,0,290,54,1,7,27,0,0,0,0,0,0,2,1,0,1,0,1,1,2,0,0,562,0,4,566
440,284,146,0,312,43,1,5,47,0,0,2,0,0,0,0,0,2,2,0,1,1,0,0,0,562,0,8,570
441,285M,158,1,255,61,0,8,34,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,521,0,6,527
442,285A(W),170,1,218,43,1,4,55,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,496,0,5,501
443,286M,107,1,164,55,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,3,360
444,286A(W),108,0,177,24,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,339,0,2,341
445,287,150,2,261,57,0,9,45,3,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,532,0,3,535
446,288,157,0,210,41,0,6,53,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,471,0,6,477
447,289M,123,0,215,52,1,7,45,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,447,0,0,447
448,289A(W),107,0,190,42,1,6,40,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,391,0,2,393
449,290M,108,0,159,56,1,9,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,366,0,6,372
450,290A(W),133,3,153,29,0,4,25,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,353,0,1,354
451,291,212,1,224,84,1,14,37,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,577,0,2,579
452,292M,98,0,148,33,1,9,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,312,0,6,318
453,292A(W),100,1,151,16,0,3,22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,296,0,5,301
454,293M,104,0,143,29,0,8,35,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,322,0,9,331
455,293A(W),116,0,127,20,1,3,52,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,321,0,1,322
456,294,163,0,243,29,0,8,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,6,530
457,295M,115,0,152,28,0,6,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,5,358
458,295A(W),105,0,137,21,0,3,60,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,328,0,8,336
459,296M,104,0,101,24,0,8,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,284,0,8,292
460,296A(W),108,1,97,18,1,7,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,283,0,3,286
461,297M,129,1,230,68,1,8,35,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,475,0,5,480
462,297A(W),140,2,223,49,2,8,25,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,453,0,3,456
463,298M,123,1,199,53,0,14,16,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,411,0,4,415
464,298A(W),160,3,209,45,0,8,26,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,456,0,3,459
465,299,141,1,190,32,0,6,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,420,0,6,426
466,300M,101,0,154,24,0,7,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,3,332
467,300A(W),97,0,164,14,0,1,61,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,341,0,2,343
468,301M,99,0,160,19,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,3,326
469,301A(W),110,1,174,19,2,2,34,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,345,0,5,350
470,302,190,1,317,42,2,6,87,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,651,0,15,666
471,303,168,0,207,21,2,3,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,463,0,3,466
472,304M,64,0,182,19,0,4,31,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,313,0,5,318
473,304A(W),45,0,166,10,0,0,12,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,237,0,1,238
474,305,121,0,201,33,0,7,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,423,0,5,428
475,306,238,1,323,67,1,16,42,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,693,0,4,697
476,307M,107,0,144,27,0,1,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,320,0,3,323
477,307A(W),96,0,159,14,0,0,40,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,312,0,2,314
478,308M,114,1,203,59,1,6,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,415,0,5,420
479,308A(W),116,1,210,32,0,5,27,0,0,0,0,0,0,3,0,0,2,0,1,1,0,0,0,398,0,4,402
480,309M,130,0,219,43,0,3,50,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,450,0,5,455
481,309A(W),125,2,210,28,1,3,54,0,0,0,0,0,0,4,0,3,3,0,0,0,1,0,1,435,0,4,439
482,310M,122,0,204,69,2,1,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,426,0,4,430
483,310A(W),144,0,208,36,2,3,33,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,432,0,1,433
484,311M,132,0,211,35,1,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,425,0,2,427
485,311A(W),110,2,193,16,0,1,53,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,378,0,6,384
486,312M,115,2,159,40,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,3,337
487,312A(W),104,0,147,25,0,3,23,1,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,308,0,2,310
488,313,201,0,204,74,1,1,19,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,504,0,4,508
489,314M,94,0,125,25,0,2,44,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,292,0,3,295
490,314A(W),85,0,110,14,0,2,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,272,0,1,273
491,315,222,2,331,83,1,9,40,2,0,0,0,0,0,0,0,1,1,0,0,2,3,0,0,697,0,6,703
492,316M,91,0,176,30,0,4,73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,375,0,3,378
493,316A(W),103,0,180,15,0,2,71,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,375,0,6,381
494,317M,110,0,154,31,0,2,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,3,357
495,317A(W),90,1,165,15,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,324,0,3,327
496,318,171,1,342,76,0,5,28,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,627,0,6,633
497,319,153,0,203,61,0,12,45,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,478,0,5,483
498,320,142,1,204,37,0,7,83,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,479,0,14,493
499,321,228,5,294,81,0,9,24,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,645,0,4,649
500,322M,148,0,215,52,1,7,32,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,457,0,5,462
501,322A(W),146,2,193,40,0,5,43,0,0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,435,0,5,440
502,323,206,1,265,91,0,14,36,1,0,0,0,0,0,1,0,2,1,0,0,1,2,0,0,621,0,4,625
503,324,179,1,216,76,0,7,18,0,0,0,1,0,0,0,0,2,4,0,0,2,0,1,0,507,0,11,518
504,325,204,2,230,79,0,13,24,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,556,0,3,559
505,326M,99,1,206,72,0,10,37,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,429,0,9,438
506,326A(W),116,1,200,57,1,11,44,0,1,0,0,0,0,4,0,0,0,0,0,0,1,1,0,437,0,4,441
507,327M,119,0,141,47,0,12,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,342,0,4,346
508,327A(W),124,2,173,37,0,5,25,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,369,0,2,371
509,328,221,2,268,75,0,20,38,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,627,0,7,634
510,329,140,1,205,74,1,10,37,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,473,0,2,475
511,330M,85,1,151,43,0,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,2,317
512,330A(W),122,1,164,30,0,7,16,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,344,0,1,345
513,331M,130,0,184,55,0,15,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,420,0,3,423
514,331A(W),136,0,180,49,1,10,29,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,409,0,2,411
515,332,204,1,279,60,0,8,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,594,0,5,599
516,333,181,1,279,84,0,9,36,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,595,0,4,599
517,334,136,1,253,42,0,2,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,0,4,513
518,335,131,2,251,53,0,6,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,499,0,3,502
519,336M,125,1,238,54,0,2,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,465,0,6,471
520,336A(W),107,0,243,44,0,4,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,0,4,452
521,337M,74,1,151,16,0,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,268,0,6,274
522,337A(W),72,2,138,13,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,7,263
523,338M,88,0,165,42,0,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,4,354
524,338A(W),81,1,152,27,0,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,2,317
525,339M,95,0,159,29,0,3,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,337,0,6,343
526,339A(W),92,0,170,24,0,2,54,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,344,0,5,349
527,340M,88,0,180,37,0,2,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,335,0,3,338
528,340A(W),97,2,159,19,0,2,41,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,322,0,2,324
529,341M,106,0,198,36,0,5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,1,402
530,341A(W),96,1,231,30,0,0,53,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,415,0,4,419
531,342,131,0,264,66,0,7,70,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,540,0,14,554
532,343M,59,0,128,26,1,6,32,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,254,0,2,256
533,343A(W),65,0,124,19,0,1,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,232,0,1,233
534,344M,97,0,201,40,0,3,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,386,0,8,394
535,344A(W),109,0,176,19,0,1,49,0,0,0,0,0,0,0,0,0,2,4,1,0,1,0,0,362,0,4,366
536,345M,89,0,224,48,0,4,52,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,422,0,0,422
537,345A(W),106,0,215,37,0,3,51,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,414,0,4,418
538,346M,115,1,217,49,1,5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,440,0,8,448
539,346A(W),134,0,197,34,1,3,60,0,0,0,0,1,0,0,0,1,2,0,0,5,1,0,0,439,0,4,443
540,347,137,0,315,62,0,4,64,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,585,0,5,590
541,348,132,0,229,26,0,1,74,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,465,0,9,474
542,349,102,1,193,24,0,4,38,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,364,0,3,367
