Sl. No,Polling Station No,SAMAJ M.GIRIDHARAN BSP-BAHUJAN PARTY,CONGRESS A.M.MUNIRATHINAM INC-INDIAN NATIONAL,KATCHI A.M.KRISHNAN PMK-PATTALI MAKKAL,TAMILAR PAVENDHAN NTK-NAAM KATCHI Y.R,VISWANATHADOSS THOZHILALARGAL VTVTK-VEERATH VINOTH THIYAGI KATCHI R,IYAKKAM SIRUPANMAYINAR VIJAYAKUMAR DSMI-DESIYA MAKKAL G,NEEDHI MNM-MAKKAL JAWAHAR MAIAM R,IND-Independent T.RAJENDRAN,IND-Independent R.ELUMALAI,IND-Independent K.SEKAR,IND-Independent PALANI A,IND-Independent P.PARTHIBAN,IND-Independent BALAJI J,IND-Independent K.MANI,IND-Independent N.MANI,C.MUNIRATHINAM IND-Independent,M.MUNIRATHINAM IND-Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
75,55,0,574,17,43,18,1,1,12,0,0,0,1,0,0,0,0,2,0,669,0,0,669,0
76,56,0,692,77,72,23,1,1,7,2,0,0,0,0,1,0,1,0,2,879,0,6,885,0
77,57M,0,421,19,32,17,0,1,2,1,0,0,0,0,0,0,0,0,0,493,0,1,494,0
78,57A(W),1,387,21,24,8,0,0,5,1,0,0,0,1,2,3,1,1,3,458,0,2,460,0
79,58M,1,403,10,27,27,0,0,0,0,1,0,0,0,0,1,0,1,4,475,0,2,477,0
80,58A(W),3,482,15,26,11,1,0,0,1,0,0,0,1,2,5,0,0,2,549,0,0,549,0
81,59,2,361,24,36,12,0,0,2,1,0,0,1,2,0,1,1,0,1,444,0,2,446,0
82,60,1,331,208,15,14,0,0,5,1,0,0,1,0,1,2,0,0,0,579,0,0,579,0
83,61,24,482,91,69,31,0,0,6,3,1,1,2,1,1,2,0,0,3,717,0,8,725,0
84,62,4,383,92,38,20,0,0,4,2,0,1,0,0,0,1,1,1,1,548,0,3,551,0
85,63,2,144,35,15,21,0,0,4,0,0,0,0,0,0,0,0,0,1,222,0,5,227,0
86,64,2,532,180,40,37,0,3,18,0,2,0,1,1,0,2,2,0,1,821,0,8,829,0
87,65,3,476,72,59,26,0,0,10,1,1,0,3,1,0,1,2,0,3,658,0,6,664,0
88,66,6,607,83,34,91,0,2,2,14,0,3,3,0,0,1,0,1,4,851,0,5,856,0
89,67M,2,326,100,29,36,1,0,5,0,0,0,2,0,0,2,0,1,2,506,0,2,508,0
90,67A(W),3,320,93,27,10,1,2,5,4,0,0,4,3,5,5,5,0,2,489,0,3,492,0
91,68,0,123,226,21,11,0,0,2,3,0,0,3,0,2,0,0,1,2,394,0,1,395,0
92,69M,3,288,120,34,31,0,2,0,0,0,0,0,0,0,0,0,0,2,480,0,2,482,0
93,69A(W),1,274,131,40,11,0,1,0,2,0,0,1,1,1,6,1,0,0,470,0,3,473,0
94,70M,0,101,346,10,7,1,0,0,1,0,0,0,0,1,1,1,0,1,470,0,2,472,0
95,70A(W),0,141,286,11,3,0,0,1,4,1,0,1,0,5,1,2,0,1,457,0,7,464,0
96,71,2,297,52,78,14,1,0,3,0,0,0,0,0,0,1,0,0,1,449,0,0,449,0
97,72,2,292,405,38,17,2,1,0,5,2,2,4,0,2,0,1,0,2,775,0,8,783,0
98,73,0,165,284,10,9,0,0,0,6,0,0,9,0,2,0,1,0,2,488,0,5,493,0
99,74,0,406,201,75,8,0,0,3,6,1,0,11,1,4,8,2,0,7,733,0,3,736,0
100,75,3,352,180,28,33,1,3,0,8,2,1,0,0,4,1,0,0,2,618,0,0,618,0
101,76,1,337,244,41,19,0,0,1,4,0,0,3,1,2,5,3,0,12,673,0,4,677,0
102,77M,1,296,230,15,30,0,0,0,1,0,0,1,0,1,0,0,0,0,575,0,3,578,0
103,77A(W),2,298,190,20,11,0,0,5,10,1,2,6,4,1,5,5,1,1,562,0,2,564,0
104,78,2,290,166,31,19,0,0,4,7,0,1,4,0,2,0,0,0,2,528,0,5,533,0
105,79,0,327,100,143,42,0,0,4,1,0,0,2,1,1,2,0,2,1,626,0,4,630,0
106,80,2,137,218,61,9,0,0,0,0,1,0,4,0,2,0,0,1,2,437,0,3,440,0
107,81,3,534,64,87,49,0,1,0,1,0,0,3,2,1,5,1,1,0,752,0,2,754,0
108,82,6,448,108,34,101,2,4,3,1,0,1,6,2,1,6,2,1,5,731,0,5,736,0
109,83,1,301,52,30,21,1,1,3,0,0,0,1,1,0,2,0,0,0,414,0,1,415,0
110,84M,3,413,45,17,11,0,0,0,2,0,0,0,0,0,0,0,0,0,491,0,1,492,0
111,84A(W),3,412,60,16,7,0,0,0,1,0,0,2,0,1,1,0,0,3,506,0,0,506,0
112,85,0,28,280,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,315,0,1,316,0
113,86M,0,124,399,11,28,0,0,3,1,0,0,0,1,0,0,0,1,1,569,0,6,575,0
114,86A(W),0,113,421,10,10,1,0,2,1,0,0,1,0,1,0,0,0,0,560,0,3,563,0
115,87M,0,110,356,16,14,0,0,3,2,0,0,0,0,1,0,0,0,1,503,0,2,505,0
116,87A(W),0,67,366,14,4,0,1,1,1,2,0,1,0,1,0,0,0,1,459,0,2,461,0
117,88,6,330,81,32,23,0,0,0,2,0,0,0,1,0,3,3,1,0,482,0,2,484,0
118,89,0,559,127,43,25,0,0,6,1,2,0,2,1,1,6,0,0,1,774,0,4,778,0
119,90,1,331,134,27,35,0,0,8,2,1,0,0,0,3,1,0,2,1,546,0,5,551,0
120,91,5,465,73,41,29,0,1,2,4,0,0,3,0,2,2,1,0,0,628,0,0,628,0
121,92,1,419,37,78,55,0,0,10,0,0,0,1,0,1,1,0,0,4,607,0,4,611,0
122,93M,0,128,326,10,24,0,0,3,1,0,0,0,1,0,0,0,0,0,493,0,1,494,0
123,93A(W),6,164,303,14,18,1,0,3,4,0,0,3,0,1,4,1,0,1,523,0,6,529,0
124,94M,0,16,444,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,470,0,0,470,0
125,94A(W),0,15,453,1,5,0,1,2,5,0,0,0,0,0,0,0,0,1,483,0,1,484,0
126,95,3,441,125,42,29,0,0,8,0,0,0,0,1,0,1,1,0,3,654,0,4,658,0
127,96M,1,185,183,17,28,0,0,0,0,0,0,0,0,0,0,0,0,1,415,0,2,417,0
128,96A(W),0,205,182,20,8,0,0,5,1,0,0,0,0,0,1,0,0,2,424,0,5,429,0
129,97M,1,121,394,11,15,0,0,0,1,0,2,1,0,2,0,0,0,0,548,0,0,548,0
130,97A(W),2,119,388,7,7,0,1,2,12,0,1,3,1,6,2,0,2,1,554,0,3,557,0
131,98,2,188,392,36,19,0,0,8,2,0,0,2,0,3,2,2,0,1,657,0,3,660,0
132,99,6,236,412,26,16,0,2,9,2,0,0,0,0,1,0,3,2,3,718,0,6,724,0
133,100M,0,90,354,6,28,0,0,2,4,0,0,3,0,1,1,0,0,0,489,0,4,493,0
134,100A(W),1,90,365,3,7,0,1,0,6,0,0,1,1,0,0,1,0,0,476,0,2,478,0
135,101,4,315,80,31,28,0,2,3,1,1,0,1,2,1,1,1,1,3,475,0,2,477,0
136,102M,0,383,100,53,65,1,2,0,1,0,0,0,0,0,0,0,1,0,606,0,0,606,0
137,102A(W),1,362,96,53,23,2,0,0,6,0,0,3,0,1,10,2,1,2,562,0,3,565,0
138,103M,2,76,445,7,19,1,0,2,0,1,0,0,0,0,0,0,1,3,557,0,2,559,0
139,103A(W),0,70,444,7,10,0,0,2,8,0,0,0,0,3,0,1,0,0,545,0,8,553,0
140,104M,1,89,384,0,12,1,0,3,2,0,0,0,1,1,0,1,0,0,495,0,1,496,0
141,104A(W),1,78,350,2,2,0,0,0,5,0,0,3,0,1,0,4,0,2,448,0,8,456,0
142,105M,2,192,235,26,28,0,0,0,0,1,0,1,0,1,1,0,0,0,487,0,2,489,0
143,105A(W),1,190,230,17,11,0,0,1,2,0,0,1,1,0,1,0,1,0,456,0,3,459,0
144,106,0,256,528,15,15,0,0,1,6,1,0,4,0,1,4,0,1,1,833,0,1,834,0
145,107,2,227,211,24,22,0,0,7,2,0,0,0,0,0,0,1,0,0,496,0,3,499,0
146,108M,0,58,417,10,9,0,0,2,1,0,0,1,0,0,0,0,0,0,498,0,0,498,0
147,108A(W),1,48,340,4,5,0,0,0,7,0,0,1,2,1,1,1,0,3,414,0,4,418,0
148,109,1,58,315,11,7,0,0,2,9,0,1,3,1,2,0,0,0,1,411,0,2,413,0
149,110,0,159,629,17,5,0,0,1,2,0,0,2,0,1,0,0,0,2,818,0,5,823,0
150,111,0,121,501,14,4,0,0,1,4,0,0,1,0,1,1,1,0,0,649,0,3,652,0
151,112,0,128,802,16,32,0,1,0,0,0,0,0,0,1,1,0,0,0,981,0,0,981,0
152,113,0,115,584,1,6,0,0,4,0,0,1,0,1,0,0,0,0,1,713,0,1,714,0
153,114M,2,225,205,13,19,0,0,3,1,0,1,2,0,0,0,1,0,0,472,0,3,475,0
154,114A(W),0,237,210,16,12,0,0,1,3,1,1,0,0,0,2,0,1,5,489,0,2,491,0
155,115M,0,182,185,24,32,0,0,4,0,0,0,1,1,1,0,3,0,1,434,0,8,442,0
156,115A(W),4,205,157,29,19,1,0,7,5,0,1,1,1,1,5,1,2,1,440,0,4,444,0
157,116M,0,214,183,13,34,0,0,10,1,0,0,0,0,0,0,0,0,0,455,0,2,457,0
158,116A(W),3,292,162,10,12,0,1,4,5,0,1,2,0,0,1,0,3,2,498,0,2,500,0
159,117M,0,302,121,45,35,0,0,6,0,0,2,2,0,1,3,1,1,0,519,0,3,522,0
160,117A(W),2,351,115,26,16,0,1,7,1,0,0,2,0,3,1,2,2,2,531,0,0,531,0
161,118,0,235,400,50,20,0,1,3,3,0,1,1,0,5,0,0,0,2,721,0,10,731,0
162,119,4,593,49,36,43,0,2,3,1,0,0,1,0,0,2,1,0,0,735,0,4,739,0
163,120M,5,262,154,27,28,0,0,2,0,0,0,4,0,1,0,0,1,0,484,0,3,487,0
164,120A(W),5,296,113,27,9,0,1,4,1,0,0,1,1,2,1,2,1,1,465,0,0,465,0
