Polling Station No.,Building,Polling Areas
35,"Community Hall, Kattarankulam","1.Kattalangkulam (R.V) And (P) Avudaiammalpuram , 2.Kattalangkulam (R.V) And (P) Pudhupatti , 3.Kattalangkulam (R.V) And (P) Ahilandapuram , 4.Kattalangkulam (R.V) And (P) Saravanpuram , 5.Kattalangkulam (R.V) And (P) Ramnathapuram , 6.Kattalangkulam (R.V) And (P) Katharu , 99.OVERSEAS ELECTORS"
36,"Panchayat Union Primary School, East Building, East Side,","1.Chidambarampatti (R.V) And (P) Chidambarampatti Block 1 , 2.Chidambarampatti (R.V) And (P) Chidambarampatti Block 2 , 3.Chidambarampatti (R.V) And (P) Chidambarampatti Block 3 , 99.OVERSEAS ELECTORS"
37,"Hindu Nadar Middle School. West Side, Chettikurchi","1.Chettikurichi (R.V) And (P) North street Block 1 , 2.Chettikurichi (R.V) And (P) Mariamman kovil Street Block 1 , 3.Chettikurichi (R.V) And (P) Middle Street Block 1 , 4.Chettikurichi (R.V) And (P) Main Street Block 1 , 5.Chettikurichi (R.V) And (P) Nadar Street Block 1 , 99.OVERSEAS ELECTORS"
38,Hindu Nadar Middle School. East Side Old building,"1.Chettikurichi (R.V) And (P) Muthukrishnan Colony Block 2 , 2.Chettikurichi (R.V) And (P) East Street Block 2 , 3.Chettikurichi (R.V) And (P) Vedha Kovil Street Block 2 , 4.Chettikurichi (R.V) And (P) Ramadass Colony Block 2 , 5.Chettikurichi (R.V) And (P) South Colony Block 2 , 99.OVERSEAS ELECTORS"
39,St. Marys High School,"1.Chettikurichi (R.V) And (P) SouthKonarKottai School Street , 2.Chettikurichi (R.V) And (P) SouthKonarKottai Middle Street , 3.Chettikurichi (R.V) And (P) SouthKonarKottai South Street , 4.Chettikurichi (R.V) And (P) SouthKonarKottai West Street , 5.Chettikurichi (R.V) And (P) SouthKonarKottai Adi dravedar Colony , 99.OVERSEAS ELECTORS"
40,"Tamil Baphist Primary School, Vadakku Konarkottai,","1.Chettikurichi (R.V) And (P) North konarkottai North street Block 4 , 2.Chettikurichi (R.V) And (P) North KonarKottai Middle Street Block 4 , 3.Chettikurichi (R.V) And (P) North KonarKottai South Street Block 4 , 4.Chettikurichi (R.V) And (P) North KonarKottai West Street Block 4 , 5.Chettikurichi (R.V) And (P) North KonarKottai Adi dravedar Colony Block 4 , 6.Chettikurichi (R.V) And (P) Mancha Nambi kineru pillaiar kovil street Block 5 , 99.OVERSEAS ELECTORS"
41,"Adi-Dravidar Welfare High School, South side building,","1.Thirumangalakurichi (R.V) And (P) Pillaiar kovil North street Block 1 , 2.Thirumangalakurichi (R.V) And (P) North Street Block 2 , 3.Thirumangalakurichi (R.V) And (P) South Street Block 2 , 99.OVERSEAS ELECTORS"
42,Panchayat Union Primary School,"1.Thirumangalakurichi (R.V) And (P) Periasamiapuram Block 3 , 2.Thirumangalakurichi (R.V) And (P) Pallankulam, 3. Thirumangalakurichi (R.V) And (P) Moortheeswarapuram North street Block 5, 4.Thirumangalakurichi (R.V) And (P) Moortheeswarapuram block 5, 99.OVERSEAS ELECTORS"
43,Panchayat Union Primary School,"1.Thirumangalakurichi (R.V) And (P) Kanganakineru Block 6 , 2.Thirumangalakurichi (R.V) And (P) Olaikulam (North side) Block 7 , 3.Thirumangalakurichi (R.V) And (P) Olaikulam (South side) Block 8 , 99.OVERSEAS ELECTORS"
44,R.C. Middle School. North Side,"1.Velalan kottai (R.V) And (P) Velalan kottai East street Block 1 , 2.Velalan Kottai (R.V) And (P) Velalan Kottai Middle Street Block 2 , 3.Vellalan kottaiah (R.V) And (P) Vellalan kottaiah South Street Block 3 , 4.Vellalan kottai (R.V) And (P) Vellalan kottai West Street Block 4 , 99.OVERSEAS ELECTORS"
45,R.C.Middle School. South Side,"1.Velalan kottai (R.V) And (P) Suriyaminukkan Middle street Block 5 , 2.Velalan Kottai (R.V) And (P) Suriyamenukkan South Street Block 6 , 3.Velalan Kottai (R.V) And (P) Maruthappapuram Block 7 , 4.Vellalan kottai (R.V) And (P) Valasalpatti Block 8 , 99.OVERSEAS ELECTORS"
46,"Panchayat Union Primary School, North Side","1.Vadakku elanthaikulam (p) Block 1 , 2.Vadakku Elanthaikulam (P) Block 2 , 99.OVERSEAS ELECTORS"
47,"Panchayat Union Primery School, South Side","1.Vadakku elanthaikulam (p) Block 3 , 2.Vadakku Elanthaikulam (P) Block 4 , 99.OVERSEAS ELECTORS"
48,"Panchayat Union Middle School, East Side, Panikkarkulam","1.Panikkarkulam (R.V) And (P) Panikkarkulam Block 1 , 2.Panikkarkulam (R.V) And (P) Erandampuli Ramanathepuram Block 2 , 99.OVERSEAS ELECTORS"
