Polling Station No.,Building,Polling Areas
21,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] Rajaji Nagar 1st Street 2. Kolathur [ Ward No.65 ] Rajaji Nagar 2rd Street 3. Kolathur [ Ward No.65 ] Rajaji Nagar 3rd Street 4. Kolathur [ Ward No.65 ] Rajaji Nagar 5th Street 999. OVERSEAS ELECTORS.
22,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] Rajaji Nagar 4th Street 2. Kolathur [ Ward No.65 ] Rajaji Nagar 6th Street 3. Kolathur [ Ward No.65 ] Rajaji Nagar 7th Street 4. Kolathur [ Ward No.65 ] Rajaji Nagar 8th Street 5. Kolathur [ Ward No.65 ] Rajaji Nagar 9th Street 999. OVERSEAS ELECTORS.
23,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] Rajaji Nagar Subramania Street 2. Kolathur [ Ward No.65 ] Rajaji Nagar Cauvery Street 3. Kolathur [ Ward No.65 ] Rajaji Nagar Vaigai Street 4. Kolathur [ Ward No.65 ] Rajaji Nagar Balaji Street 5. Kolathur [ Ward No.65 ] Rajaji Nagar Murali Street 6. Kolathur [ Ward No.65 ] Rajaji Nagar Parthiban Street 7. Kolathur [ Ward No.65 ] Rajaji Nagar Ponni Street 999. OVERSEAS ELECTORS.
24,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.64 ] Murugan Nagar 2nd MainRoad 2. Kolathur [ Ward No.64] Murugan Nagar 1st Street 3. Kolathur [ Ward No.64 ] Murugan Nagar 1st Cross Street 4. Kolathur [ Ward No.64 ] Murugan Nagar 1st Street 5. Kolathur [ Ward No.64] Murugan Nagar 1st Lane 6. Kolathur [ Ward No.64 ] Murugan Nagar 3rd Street 7. Kolathur [ Ward No.64 ] Muragan Nagar 4th Street 8. Kolathur [ Ward No.64 ] Murugan Nagar 5th Street 9. (Kolathur [ Ward No.64 ] Murugan Nagar Second Street 10. Kolathur [ Ward No.64] Arjun Nagar 11. Kolathur [ Ward
25,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] Jagannathan Street 2. Kolathur [ Ward No.65 ] Vegavathi Street 3. Kolathur [ Ward No.65 ] Vegavathi Street Ext 4. Kolathur [ Ward No.65 ] Rajaji Nagar Muthu Street 5. Kolathur [ Ward No.65 ] Rajaji Nagar Peter Street 6. Kolathur [ Ward No.65 ] Rajaji Nagar Rathinam Avenue 999. OVERSEAS ELECTORS.
26,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] Rajai Nagar Ganga Street 2. Kolathur [ Ward No.65 ] Rajaji Nagar Venkataragava Street 3. Kolathur [ Ward No.65 ] Rajaji Nagar Kamarajar Street 4. Kolathur [ Ward No.65 ] Rajaji Nagar Rohini Street 5. Kolathur [ Ward No.65 ] Rajaji Nagar Kalamegam Street 6. Kolathur [ Ward No.65 ] Rajaji Nagar Subash Street 7. Kolathur [ Ward No.65 ] Rajaji Nagar Bharathi Street 8. Kolathur [ Ward No.65 ] Sivan Street 9. Kolathur [ Ward No.65 ] Sashtri Avenue 999. OVERSEAS ELECTORS.
27,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] Rajaji Nagar Gokul 1st Street 2. Kolathur [ Ward No.65 ] Rajaji Nagar Gokul 2nd Street 3. Kolathur [ Ward No.65 ] Thanthai Periyar Kudil 4. (Kolathur [ Ward No.65 ] V.V. Nagar 1st Street 5. Kolathur [ Ward No.65 ] V.V. Nagar Ext 6. Kolathur [ Ward No.65 ] V.V. Nagar 2nd Street 7. Kolathur [ Ward No.65 ] V.V. Nagar 3rd Street 8. Kolathur [ Ward No.65 ] V.V. Nagar 4th Street 999. OVERSEAS ELECTORS.
28,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] V.V. Nagar 5th Street 2. Kolathur [ Ward No.65 ] V.V. Nagar 6th Street 3. Kolathur [ Ward No.65 ] Kamarajar Nagar 1st Street 4. Kolathur [ Ward No.65 ] Kamarajar Nagar 2nd Street 5. Kolathur [ Ward No.65 ] Annai Indira Nagar 1st Avenue 6. Kolathur [ Ward No.65 ] Annai Indira Nagar 2nd Avenue 7. Kolathur [ Ward No.65 ] Annai Indira Nagar Continue 999. OVERSEAS ELECTORS.
29,"Kulapati Dr.S.Balakrishna Joshi Gurukulam Matric Hr Sec School,2nd Street V V Nagar,Kolathur,Chennai-600099",1. G K M Colony [ Ward No.67 ] Sathiyavanimuthu Street 2. Kolathur [ Ward No.65 ] Kennedy Street G K M Colony 26th Street 999. OVERSEAS ELECTORS.
30,"Kulapati Dr.S.Balakrishna Joshi Gurukulam Matric Hr Sec School,2nd Street V V Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.64] Kennedy Nagar Ext Varalakshmi Nagar 2. Kolathur [ Ward No.65 ] Punitha Sagayamadha Street G K M Colony 27th Street 3. Kolathur [ Ward No.65 ] G K M Colony 28th Street Anand Balavinyagar koil street 999. OVERSEAS ELECTORS.
