Sl. No,Polling Station No,"M.S.M.ANANDAN,AIADMK","K. MUTHURATHINAM, DMK","A. MARIARAJ, ANTONY KIT","R.UMANATH,PISU","G. SHIVAKUMAR, DATPA KM","S. SUBRAMANIAN, NTK","K. THINAKARAN, KDA","G.MAYILSAMY,MNM","R. JOTHIMANI, AMMK","M.HAMEED,SHAHULIND","T.SARATHA,IND","A THANGARAJ, IND","R.THUYAMANI,IND","V. MARUTHASALAM, IND","M. MUTHURATHINAM, IND","L. MUTHURATHINAM, IND","K.MURUGESAN,IND","V.RAMESH,IND","M. VIJAYAKUMAR, IND",Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
197,152,0,132,73,0,1,0,19,0,27,0,0,0,0,1,0,1,0,1,0,0,255,0,3,258,0
198,152A,0,313,142,5,0,1,19,0,20,1,0,0,0,1,2,0,0,0,0,0,504,0,4,508,0
199,153,1,260,172,0,0,0,26,0,14,3,0,0,1,1,1,2,0,0,0,0,481,0,5,486,0
200,154,4,290,156,3,0,0,35,0,12,0,1,1,0,1,2,3,0,4,7,0,519,0,0,519,0
201,155,2,442,256,2,0,0,34,1,22,7,0,1,1,3,1,4,0,1,0,0,777,0,2,779,0
202,156,1,326,196,2,0,1,25,0,10,2,0,1,1,0,0,1,0,1,0,0,567,0,4,571,0
203,157,1,294,202,1,0,0,20,0,8,7,0,0,0,2,0,0,0,0,0,0,535,0,2,537,0
204,158,1,220,137,0,0,0,30,0,6,2,1,0,0,1,2,0,1,2,2,0,405,0,1,406,0
205,159,2,224,116,2,0,0,24,0,17,3,0,0,0,0,0,1,0,2,0,0,391,0,4,395,0
206,160,1,233,115,1,1,0,0,1,16,1,0,0,0,0,0,0,0,0,0,0,369,0,1,370,0
207,160A,1,231,113,0,0,0,21,1,24,3,0,0,0,0,0,2,0,1,0,0,397,0,3,400,0
208,161,0,395,231,3,1,0,27,0,24,0,0,0,1,1,11,0,0,2,1,0,697,0,2,699,0
209,162,2,439,163,1,0,0,34,0,20,2,0,0,0,4,16,2,0,0,0,2,685,0,1,686,0
210,163,0,350,288,0,0,0,53,2,28,12,0,0,0,0,0,4,1,2,1,0,741,0,13,754,0
211,164,2,225,172,1,1,0,24,0,12,5,0,0,0,1,1,0,1,2,2,0,449,0,4,453,0
212,165,2,259,76,1,0,1,17,0,17,1,0,0,0,0,0,2,0,1,1,0,378,0,3,381,0
213,166,1,209,175,0,0,0,33,1,16,2,0,0,0,0,0,1,0,0,0,0,438,0,4,442,0
214,167,3,395,161,0,0,0,47,1,22,4,0,0,0,0,1,0,0,0,1,0,635,0,5,640,0
215,168,2,434,227,0,0,1,46,1,32,2,0,0,0,0,0,0,0,1,3,0,749,0,5,754,0
216,169,1,285,131,1,1,0,35,0,15,0,0,0,0,0,3,2,0,0,0,0,474,0,0,474,0
217,169A,1,217,133,1,0,0,26,0,10,2,0,0,0,1,3,1,1,1,0,0,397,0,2,399,0
218,170,1,323,200,2,0,0,92,0,45,1,0,0,3,0,1,1,0,1,1,1,672,0,5,677,0
219,171,0,228,103,0,0,0,28,0,14,1,0,0,3,0,0,1,0,0,0,1,379,0,4,383,0
220,171A,1,193,141,0,0,0,65,0,24,4,0,0,0,0,0,1,0,0,0,0,429,0,3,432,0
221,172,0,285,184,2,0,2,62,0,31,4,0,0,0,1,1,0,0,0,0,0,572,0,5,577,0
222,173,2,215,179,0,0,0,24,0,20,0,0,0,1,0,0,2,1,4,0,0,448,0,4,452,0
223,173A,1,165,224,2,1,0,55,0,20,0,0,0,1,1,0,1,0,0,1,0,472,0,7,479,0
224,174,2,306,231,2,0,0,38,0,9,3,1,0,3,1,0,1,0,1,0,0,598,0,5,603,0
225,175,1,306,196,0,0,0,19,0,7,2,0,0,0,0,1,1,0,2,0,1,536,0,1,537,0
226,176,0,177,113,2,1,0,20,0,14,4,0,0,0,1,0,4,0,0,0,0,336,0,2,338,0
227,176A,2,212,158,1,2,0,36,0,28,1,0,0,0,1,0,0,1,0,1,0,443,0,3,446,0
228,177,3,168,108,1,7,0,48,0,19,1,0,1,0,1,0,1,0,1,0,1,360,0,8,368,0
