Sl. No,Polling Station No,"M.S.M.ANANDAN,AIADMK","K. MUTHURATHINAM, DMK","A. MARIARAJ, ANTONY KIT","R.UMANATH,PISU","G. SHIVAKUMAR, DATPA KM","S. SUBRAMANIAN, NTK","K. THINAKARAN, KDA","G.MAYILSAMY,MNM","R. JOTHIMANI, AMMK","M.HAMEED,SHAHULIND","T.SARATHA,IND","A THANGARAJ, IND","R.THUYAMANI,IND","V. MARUTHASALAM, IND","M. MUTHURATHINAM, IND","L. MUTHURATHINAM, IND","K.MURUGESAN,IND","V.RAMESH,IND","M. VIJAYAKUMAR, IND",Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
480,352,2,295,267,0,0,0,36,0,4,4,0,0,0,2,0,4,0,4,0,2,620,0,4,624,0
481,353,0,261,253,2,1,1,27,0,4,6,0,0,0,5,0,2,0,5,2,0,569,0,2,571,0
482,354,0,308,200,4,0,0,20,0,3,4,0,0,1,2,0,2,0,1,0,0,545,0,3,548,0
483,355,1,221,177,0,0,0,20,0,6,2,0,0,1,2,1,3,0,2,0,0,436,0,2,438,0
484,356,0,278,176,1,0,0,13,0,7,0,0,0,3,3,0,3,0,1,1,0,486,0,1,487,0
485,356A,1,167,120,1,1,0,5,0,2,2,0,0,0,0,0,1,1,0,1,0,302,0,6,308,0
486,357,2,234,100,2,0,0,8,0,4,3,1,0,0,0,0,5,2,3,0,0,364,0,1,365,0
487,357A,0,191,147,0,0,0,13,0,0,2,0,0,1,1,0,3,1,0,0,0,359,0,4,363,0
488,358,1,195,128,1,0,1,15,0,2,0,0,0,0,14,2,1,0,4,0,1,365,0,2,367,0
489,358A,3,267,193,0,1,1,15,0,4,1,0,2,1,21,3,2,0,1,1,2,518,0,1,519,0
490,359,1,288,132,2,2,1,23,0,3,0,0,0,1,75,1,3,0,7,0,2,541,0,2,543,0
491,360,1,167,143,1,0,0,9,2,3,0,0,0,0,30,1,1,0,3,0,1,362,0,1,363,0
492,360A,1,220,101,0,0,1,13,0,3,1,0,0,1,44,0,1,0,6,0,3,395,0,2,397,0
493,361,1,264,135,1,0,2,14,0,7,1,0,0,1,14,4,3,0,5,1,0,453,0,2,455,0
494,361A,2,293,154,1,0,0,6,0,0,0,0,0,0,14,3,0,1,0,0,0,474,0,2,476,0
495,362,2,410,266,1,2,0,24,0,6,4,0,0,0,42,1,5,3,1,0,0,767,0,4,771,0
496,363,3,379,198,4,1,0,44,0,10,12,2,0,1,1,3,6,0,2,1,0,667,0,6,673,0
497,364,1,249,160,0,2,0,15,0,9,0,0,0,1,6,1,2,1,3,4,1,455,0,2,457,0
498,365,0,146,185,1,0,0,14,0,3,0,0,1,0,1,2,0,1,1,0,0,355,0,2,357,0
499,365A,1,140,230,2,1,1,26,0,2,2,1,1,1,2,1,0,1,0,3,0,415,0,1,416,0
500,366,3,240,151,2,1,1,19,0,11,2,0,0,1,3,3,0,0,2,1,1,441,0,1,442,0
501,367,1,210,102,2,0,0,12,0,4,3,0,0,0,2,1,0,0,1,1,0,339,0,3,342,0
502,367A,1,189,111,0,0,1,25,1,3,2,0,0,0,4,0,4,0,0,0,0,341,0,2,343,0
503,368,2,261,150,1,0,1,38,0,17,2,1,1,0,1,0,2,0,1,0,0,478,0,3,481,0
504,369,0,214,232,0,0,1,37,0,22,2,1,2,0,2,1,2,0,0,0,0,516,0,4,520,0
505,370,2,167,94,1,0,1,22,1,10,6,0,0,1,1,0,2,0,2,0,0,310,0,0,310,0
506,371,1,251,184,1,0,0,24,1,22,8,0,0,1,1,1,0,1,7,2,2,507,0,4,511,0
507,372,4,289,162,1,1,0,24,0,10,2,0,0,1,2,0,1,0,2,1,0,500,0,7,507,0
508,373,1,380,213,1,0,1,41,0,17,10,0,2,0,3,3,1,0,7,1,0,681,0,3,684,0
509,374,2,141,142,2,0,1,20,0,14,2,0,0,0,1,0,0,0,0,0,0,325,0,2,327,0
510,374A,0,208,152,0,0,0,42,0,17,3,1,0,0,1,0,4,0,3,0,0,431,0,2,433,0
511,375,1,243,280,2,0,0,32,0,5,5,0,1,0,0,2,1,0,1,2,0,575,0,2,577,0
512,376,1,420,154,1,0,0,22,0,10,5,0,1,1,2,0,1,0,5,9,4,636,0,5,641,0
513,377,1,237,258,1,0,0,41,0,1,3,0,0,0,3,0,2,0,2,0,1,550,0,2,552,0
514,378,5,346,199,1,1,2,17,1,7,3,0,1,2,2,0,2,0,1,1,0,591,0,1,592,0
515,379,2,307,152,0,0,1,20,0,6,2,1,0,1,1,1,2,0,2,0,0,498,0,3,501,0
516,380,1,372,175,0,3,0,10,2,6,5,0,0,0,0,0,5,1,1,1,1,583,0,1,584,0
517,381,3,339,228,2,1,0,23,0,9,9,2,2,0,5,1,3,2,2,3,0,634,0,6,640,0
518,382,0,413,264,3,1,1,42,0,21,3,1,1,2,4,2,5,2,3,0,0,768,0,5,773,0
519,383,0,207,114,0,1,0,12,0,7,2,0,1,0,1,1,0,1,4,0,0,351,0,3,354,0
520,384,1,297,205,1,0,1,69,0,13,5,0,0,0,1,4,1,2,3,0,1,604,0,3,607,0
521,384A,1,232,111,0,1,0,30,0,1,1,0,0,0,0,0,1,0,0,0,0,378,0,0,378,0
522,385,2,254,188,0,0,1,81,0,9,1,0,0,1,1,0,4,1,1,4,0,548,0,1,549,0
523,386,4,433,242,4,0,0,119,0,2,1,0,0,1,1,2,1,1,2,0,1,814,0,3,817,0
524,387,1,135,175,2,3,0,36,0,11,1,0,0,1,3,1,2,2,2,2,1,378,0,5,383,0
525,387A,1,233,192,3,1,0,42,0,6,2,0,0,0,5,0,1,0,1,1,0,488,0,2,490,0
526,388,2,307,248,4,1,0,33,2,9,13,0,0,0,4,3,5,1,8,4,0,644,0,3,647,0
527,389,1,237,209,0,1,1,31,0,10,5,0,0,1,2,2,0,1,4,1,0,506,0,2,508,0
528,390,1,283,195,4,0,0,55,1,15,1,1,0,0,3,1,2,0,1,0,0,563,0,6,569,0
529,391,1,319,183,1,0,1,14,1,9,6,0,1,0,1,1,1,0,2,2,2,545,0,4,549,0
530,392,2,270,124,0,0,1,32,0,16,0,0,1,1,0,2,1,0,1,0,0,451,0,2,453,0
531,392A,2,333,107,2,0,0,48,0,12,1,0,0,1,0,2,1,1,4,0,0,514,0,0,514,0
532,393,1,489,164,0,1,0,39,0,27,1,0,1,0,0,3,0,0,1,0,0,727,0,2,729,0
533,394,0,162,87,0,0,0,17,0,7,1,0,0,0,0,0,1,0,0,0,0,275,0,2,277,0
534,395,2,409,163,2,0,0,34,1,6,1,0,0,0,3,3,2,0,2,1,0,629,0,4,633,0
535,395A,2,208,65,0,0,0,20,3,3,1,0,1,0,2,2,2,1,2,0,0,312,0,0,312,0
536,396,2,407,201,2,2,0,27,0,7,1,0,0,0,0,0,3,0,1,0,0,653,0,2,655,0
537,397,4,479,174,2,1,1,33,1,16,3,1,0,0,0,2,1,0,0,1,2,721,0,4,725,0
538,398,0,436,214,2,0,0,43,0,6,8,0,0,1,0,1,0,0,0,0,0,711,0,1,712,0
539,399,2,275,171,0,0,0,18,0,4,2,0,0,2,0,0,0,0,3,0,0,477,0,2,479,0
540,400,3,347,250,3,1,0,31,0,7,1,1,0,0,1,1,0,0,0,1,0,647,0,1,648,0
541,401,0,288,147,0,1,0,15,0,5,2,1,0,1,0,0,0,1,3,2,0,466,0,2,468,0
542,402,0,451,202,1,0,0,29,0,4,3,0,0,0,3,2,1,0,0,1,1,698,0,3,701,0
543,403,0,224,211,3,2,1,25,0,4,2,0,1,0,0,2,1,0,2,0,0,478,0,3,481,0
544,403A,1,250,224,3,1,0,16,0,7,3,1,0,0,1,1,1,2,4,2,1,518,0,6,524,0
545,404,2,334,266,4,0,0,48,0,4,1,0,0,0,1,1,2,1,3,5,4,676,0,2,678,0
546,405,1,228,193,4,0,0,20,2,11,7,1,1,2,2,2,8,1,1,0,1,485,0,3,488,0
547,406,2,234,151,5,2,0,16,0,4,2,0,0,2,3,2,3,1,3,0,0,430,0,3,433,0
548,407,1,317,219,1,0,0,18,0,9,4,0,0,2,0,2,3,1,13,3,0,593,0,5,598,0
549,"No.of
Votes
Recorded
on Postal
Ballot
Papers",3,466,996,0,2,0,54,0,32,12,0,0,3,3,0,2,0,3,1,4,1581,98,9,1688,0
