Sl. No,Polling Station No,R KARTHIKEYAN.,J BADUSHA. SULTHAN,LARENEG EMAN K NAGAJOTHI.,EHT V MUNIYASAMY.,S SROTCELE,C VETRIKUMARAN.,OT NI,K K. THIRUVALAVAN. ARASU,ANBUMANIKANDAN TAMILSOORIYAN.K,K BASHA. SULTHAN,B SEBASTHIYAN.,IARUDAM M PREMKUMAR.,TSEW N RAMU.,M VENKATESAN.,rednet de,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
79,51,145,4,150,2,1,5,53,52,0,0,0,0,1,1,0,5,419,0,419,0
80,51(A),115,4,189,0,0,6,37,26,0,0,0,0,0,1,0,2,380,0,380,0
81,52,145,15,162,0,0,4,40,62,0,0,0,0,0,0,0,4,432,0,432,0
82,52(A),139,11,208,1,0,2,32,28,1,0,1,0,0,0,0,5,428,0,428,0
83,53,134,7,118,1,0,7,26,46,0,0,0,0,0,0,0,4,343,0,343,0
84,53(A),119,4,149,0,0,3,25,17,1,0,0,0,0,1,0,6,325,0,325,0
85,54,172,5,143,0,0,4,29,43,0,0,0,0,1,0,0,7,404,0,404,0
86,54(A),146,2,178,3,0,3,36,25,0,0,0,0,0,2,0,9,404,0,404,0
87,55,148,9,131,4,0,0,55,41,0,1,0,0,0,1,2,2,394,0,394,0
88,55(A),128,6,171,1,0,2,41,20,0,1,0,0,0,1,0,1,372,0,372,0
89,56,121,10,103,0,0,3,33,38,0,0,0,0,1,0,0,3,312,0,312,0
90,56(A),119,6,119,1,1,1,36,18,1,0,0,0,0,0,0,2,304,0,304,0
91,57,151,12,159,0,0,14,37,41,0,0,0,0,0,0,1,3,418,0,418,0
92,57(A),137,10,198,0,0,6,34,20,1,1,0,0,1,0,2,2,412,0,412,0
93,58,136,6,123,3,0,1,28,25,0,0,0,0,0,0,0,2,324,0,324,0
94,58(A),108,2,138,2,1,5,19,27,0,0,0,0,1,0,0,1,304,0,304,0
95,59,116,5,116,0,0,4,44,37,0,1,0,0,0,0,0,1,324,0,324,0
96,59(A),119,1,141,0,0,2,49,23,0,0,0,0,1,0,0,2,338,0,338,0
97,60,143,7,104,1,0,7,26,41,0,0,0,0,0,0,0,5,334,0,334,0
98,60(A),142,5,110,2,0,8,43,12,1,0,0,0,0,0,0,1,324,0,324,0
99,61,157,1,93,1,0,10,24,42,0,0,0,1,1,0,0,1,331,0,331,0
100,61(A),161,2,133,1,0,12,26,15,2,1,0,0,0,0,1,0,354,0,354,0
101,62,145,4,117,0,0,12,32,59,0,0,0,1,0,0,0,7,377,0,377,0
102,62(A),144,2,150,0,0,4,31,31,1,0,0,0,0,0,0,2,365,0,365,0
103,63,145,7,118,0,0,10,29,43,0,0,0,0,0,0,0,3,355,0,355,0
104,63(A),140,0,121,0,0,11,31,29,0,0,0,0,1,0,0,5,338,0,338,0
105,64,163,11,128,0,0,5,51,46,0,0,0,0,0,1,0,4,409,0,409,0
106,64(A),138,5,161,0,0,7,49,27,1,0,1,0,0,0,0,3,392,0,392,0
107,65,183,13,223,2,0,5,67,63,0,0,0,0,1,0,1,10,568,0,568,0
108,66,184,11,172,0,0,8,42,46,0,0,0,0,0,1,0,4,468,0,468,0
109,67,200,3,187,0,1,6,48,66,0,0,0,1,0,0,0,3,515,0,515,0
110,68,165,14,168,1,0,9,35,30,0,0,0,0,0,0,0,6,428,0,428,0
111,69,194,11,226,0,0,11,37,53,1,0,0,0,0,1,0,4,538,0,538,0
112,70,159,7,159,1,0,8,41,40,0,0,1,0,0,0,0,4,420,0,420,0
113,71,178,10,234,0,0,4,35,44,0,0,0,0,0,0,0,2,507,0,507,0
114,72,187,9,213,1,2,7,19,57,0,0,0,0,0,0,0,3,498,0,498,0
115,73,153,6,202,1,0,33,27,48,0,0,1,0,0,1,0,2,474,0,474,0
116,74,278,10,185,0,0,10,53,58,1,1,0,1,0,0,0,7,604,0,604,0
117,75,182,16,161,0,0,11,37,65,0,0,0,0,1,1,0,7,481,0,481,0
118,75(A),138,9,205,3,1,11,56,30,0,0,1,0,1,2,1,7,465,0,465,0
119,76,104,4,228,0,1,0,23,36,0,0,0,0,0,1,0,0,397,0,397,0
120,77,176,4,175,2,0,15,30,45,0,0,0,0,0,1,0,1,449,0,449,0
121,77(A),159,1,214,0,0,4,33,21,0,0,1,0,0,2,0,4,439,0,439,0
122,78,190,13,314,1,0,6,27,46,0,0,0,0,0,1,0,2,600,0,600,0
123,78(A),118,6,458,2,0,6,15,10,1,0,0,1,0,1,0,1,619,0,619,0
124,79,184,1,207,0,0,6,32,26,0,0,0,0,0,4,0,3,463,0,463,0
125,79(A),129,1,304,1,0,7,35,24,0,0,0,0,0,3,0,2,506,0,506,0
126,80,375,2,364,0,2,1,22,32,0,0,0,0,0,2,0,2,802,0,802,0
127,81,250,14,399,3,0,5,6,49,0,0,0,0,0,9,0,6,741,0,741,0
128,82,156,6,250,1,0,11,6,45,0,0,0,0,0,0,0,5,480,0,480,0
129,83,310,13,340,3,0,6,10,48,0,0,1,0,0,3,1,2,737,0,737,0
130,84,247,13,330,1,0,8,13,53,0,0,0,0,0,1,0,1,667,0,667,0
131,85,186,7,209,0,1,3,2,16,0,0,0,0,0,0,0,0,424,0,424,0
132,85(A),167,4,273,2,0,0,2,3,0,0,0,0,1,4,0,3,459,0,459,0
133,86,201,3,233,2,0,2,1,22,0,0,0,1,0,4,1,2,472,0,472,0
