Polling Station No.,Building,Polling Areas
27,"Saint Antony Middle School ,South Terraced Building West Side, Vilangudi Koodalnagar-625018","1.Madurai (C) Vilangudi (P) Anjal Nagar 1st Street Ward 1 , 2.Madurai (C) Vilangudi (TP) Anjal Nagar 2nd Street Ward 1 , 3.Madurai (C) Vilangudi (TP) Anjal Nagar 3rd Street Ward 1 , 4.Madurai (C) Vilangudi (TP) Anjal Nagar 1St Cross Street Ward 1 , 5.Madurai (C) Vilangudi (TP) Anjal Nagar 2nd Cross Street Ward 1 , 6.Madurai (C) Vilangudi (TP) Anjal Nagar 3rd Cross Street Ward 1 , 7.Madurai (C) Vilangudi (TP) Anjal Nagar 4th Cross Street Ward 1 , 8.Madurai (C) Vilangudi (TP) Malligai Street Shanthi Nagar LIC Colony Ward 1 , 9.Madurai (C) Vilangudi (TP) Mullai Street Shanthi Nagar LIC Colony Ward 1 , 10.Madurai (C) Vilangudi (TP) Kurunji Street 3rd Street Shanthi Nagar Ward 1 , 11.Madurai (C) Vilangudi (TP) Balaji Street 4th Street Ward 1 , 12.Madurai (C) Vilangudi (TP) Ilango Street 5th Street Ward 1 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
28,"Saint Antony Middle School ,North Buliding East Side 2nd "" A"" Class, Koodalnagar-625018","1.Madurai (C) Vilangudi (TP) Shenthamarai 6th Street Ward 1 , 2.Madurai (C) Vilangudi (TP) R M S Colony 1st Street Ward 1 , 3.Madurai (C) Vilangudi (TP) R M S Colony 2nd Street Ward 1 , 4.Madurai (C) Vilangudi (TP) R M S Colony 3rd Street Ward 1 , 5.Madurai (C) Vilangudi (TP) R M S Colony New Colony 4th Street Ward 1 , 6.Madurai (C) Vilangudi (TP) Palamedu Main Road Ward 1 , 7.Madurai (C) Vilangudi (TP) Raj Nagar 1st Street Ward 1 , 8.Madurai (C) Vilangudi (TP) Raj Nagar 2nd Street Ward 1 , 9.Madurai (C) Vilangudi (TP) Raj Nagar 3rd Street Ward 1 , 10.Madurai (C) Vilangudi (TP) Raj Nagar 4th Street Ward 1 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
29,"Saint Antony Middle School ,South Terraced Building West Wing, Vilankudi, Koodalnagar-625018","1.Madurai (C) Vilangudi (TP) Chokkalinga Nagar 1st Street Ward 1 , 2.Madurai (C) Vilangudi (TP) Chokkalinga Nagar 2nd Street Ward 1 , 3.Madurai (C) Vilangudi (TP) Chokkalinga Nagar 3rd Street Ward 1 , 4.Madurai (C) Vilangudi (TP) Chokkalinga Nagar 4th Street Ward 1 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
30,"Saint Antony Middle School ,Front Building Facing South, Class -II B Room, Vilangudi Koodalnagar-625018","1.Madurai (C)Vilangudi (TP) Chockalinga Nagar 5th Street Ward 1 , 2.Madurai (C)Vilangudi (TP) Chokkalinga Nagar 5th Street 1st Cross Street Ward 1 3.Madurai (C)Vilangudi (TP) Chokkalinga Nagar 5th Street 2nd Cross Street Ward 1 4.Madurai (C)Vilangudi (TP) Chokkalinga Nagar 5th Street 3rd Cross Street Ward 1 5.Madurai (C)Vilangudi (TP) Chokkalinga Nagar 5th Street 4th Cross Street Ward 1 6.Madurai (C)Vilangudi (TP) Chokkalinga Nagar 5th Street 5th Cross Street Ward 1 7.Madurai (C)Vilangudi (TP) Chokkalinga Nagar 6th Street Ward 1 , 8.Madurai (C)Vilangudi (TP) Chokkalinga Nagar 7th Street Ward 1 , 9.Madurai (C)Vilangudi (TP) Chokkalinga Nagar Main Road Ward 1 , 10.Madurai (C)Vilangudi (TP) Chokkalinga Nagar Krishnasamy Nagar Ward 1 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
31,"Saint Antony Middle School ,South Terreced Building No-4, West Wing, Vilangudi Koodalnagar-625018","1.Madurai (C) Vilangudi (TP) Pillaiyar Kovil Koodal Nagar 1st Street Ward 1 , 2.Madurai (C) Vilangudi (TP) Koodal Nagar 2nd Street Ward 1 , 3.Madurai (C) Vilangudi (TP) Koodal Nagar 3rd Street Ward 1 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
32,"Saint Antony Middle School ,Front Building Facing South, Class II C-Room, Vilankudi Koodalnagar-625018","1.Madurai (C) Vilangudi (TP) Koodal Nagar 4th Street Kamarajar Street Ward 1 , 2.Madurai (C) Vilangudi (TP) Koodal Nagar 5th Street Chinnaiah Raj Compound Ward 1 , 3.Madurai (C) Vilangudi (TP) Koodal Nagar 5th Street Kaveri Street Ward 1 , 4.Madurai (C) Vilangudi (TP) Koodal Nagar 6th Street Vaigai Veedhi Ward 1 , 5.Madurai (C) Vilangudi (TP) Koodal Nagar 7th Street Pattel Street Ward 1 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
33,"Saint Antony Middle School ,South Side Building East Side Terreced Building West Side Vilangudi-625018","1.Madurai (C) Vilangudi (TP) Koodal Nagar 8th Street Kamaraj Nagar Ward 1 , 2.Madurai (C) Vilangudi (TP) Koodal Nagar 9th Street Kalaivanan Street Ward 1 , 3.Madurai (C) Vilangudi (TP) Koodal Nagar 10th Street Ravindranath Tagore Ward 1 , 4.Madurai (C) Vilangudi (TP) Koodal Nagar 11th Street Jahir Ussain Street Ward 1 , 5.Madurai (C) Vilangudi (TP) Annaisaratha Street Ward 1 , 6.Madurai (C) Vilangudi (TP) Koodal Nagar 12th Street Thiru Vi Ka Street Ward 1 , 7.Madurai (C) Vilangudi (TP) Koodal Nagar 13th Street Azad Street Ward 1 , 8.Madurai (C) Vilangudi (TP) Chellaiah Nagar 1st Street Ward 1 , 9.Madurai (C) Vilangudi (TP) Chellaiah Nagar 2nd Street Ward 1 , 10.Madurai (C) Vilangudi (TP) Chellaiah Nagar 3rd Street Ward 1 , 11.Madurai (C) Vilangudi (TP) Jesudoss Nagar 1st Street Ward 1 , 12.Madurai (C) Vilangudi (TP) Jesudoss Nagar 2nd Street Ward 1 , 13.Madurai (C) Vilangudi (TP) Appadurai Nagar 1st Street Ward 1 , 14.Madurai (C) Vilangudi (TP) Appadurai Nagar 2nd Cross Street Ward 1 , 15.Madurai (C) Vilangudi (TP) Appadurai Nagar 3rd Cross Street Ward 1 , 16.Madurai (C) Vilangudi (TP) Appadurai Nagar 4th Street Ward 1 , 17.Madurai (C) Vilangudi (TP) Appadurai Nagar 5th Street Ward 1 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
34,"Saint Antony Middle School ,South Terreced Builiding East Wing Middle Portion Vilangudi Koodal Nagar -625018","1.Madurai (C) Vilangudi (SP) Ashok Nagar 1st Street Ward 1 , 2.Madurai (C) Vilangudi (P) Ashok Nagar 2nd Street Ward 1 , 3.Madurai (C) Vilangudi (SP) Ashok Nagar 3rd Street 1 , 4.Madurai (C) Vilangudi (SP) Ashok Nagar 4th Street Ward 1 , 5.Madurai (C) Vilangudi (SP) L.I.C. Colony Thamarai Veethi Ward 1 , 6.Madurai (C) Vilangudi (TP) TNHB H TYPE Ward 1 , 7.Madurai (C) Vilangudi (TP) TNHB M1 Quarters Ward 1 , 8.Madurai (C) Vilangudi (TP) TNHB M2 Quarters Ward 1 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
35,"Saint Antony Middle School ,South Building Eastern Portion, Vilankudi Koodalnagar-625018","1.Madurai (C) Vilangudi (SP) Rayilar Nagar 1st Street Ward 1 , 2.Madurai (C) Vilangudi (SP) Rayilar Nagar 2nd Street Ward 1 , 3.Madurai (C) Vilangudi (SP) Rayilar Nagar 3rd Street Ward 1 , 4.Madurai (C) Vilangudi (SP) Rayilar Nagar 4th Street Ward 1 , 5.Madurai (C) Vilangudi (SP) Rayilar Nagar 5th Street Ward 1 , 6.Madurai (C) Vilangudi (SP) Rayilar Nagar 6th Street Ward 1 , 7.Madurai (C) Vilangudi (SP) Rayilar Nagar 6th 1st Cross Street Ward 1 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
36,"Panchayat Union Middle School ,Strong Building West Side Building 1st Portion Vilankudi-625018","1.Madurai (C) Vilangudi (SP) Income Tax 1st Colony Ward 23 , 2.Madurai (C) Vilangudi (SP) Income Tax Colony 2nd Street Ward 23 , 3.Madurai (C) Vilangudi (SP) Income Tax Colony 3rd Street Ward 23 , 4.Madurai (C) Vilangudi (SP) Income Tax Colony 4th Street Ward 23 , 5.Madurai (C) Vilangudi (SP) Income Tax Colony 5th Street Ward 23 , 6.Madurai (C) Vilangudi (SP) Income Tax Colony Church Veethi Ward 23 , 7.Madurai (C) Vilangudi (SP) Karpaga Vinayagar Kovil Street Ward 23 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
