Polling Station No.,Building,Polling Areas
26,"Amala Annai R.C. Hr.Sec.School, Northern Block, East Block Northern Side, T.Sinthalaicheri","1.T.Meenachipuram (R.V), T.Sinthalaicheri (P) Ward-2 Kuchanur Colony Street , 2.T.Meenachipuram (R.V), T.Sinthalaicheri (P) Ward-2 Chinnamanur Salai , 3.T.Meenachipuram (R.V), T.Sinthalaicheri (P) Ward-2 Thevaram Salai , 4.T.Meenachipuram (R.V), T.Sinthalaicheri (P) Ward-3 East Street , 5.T.Meenachipuram (R.V), T.Sinthalaicheri (P) Ward-3 Bodi Salai , 6.T.Meenachipuram (R.V), T.Sinthalaicheri (P) Ward-3 Thevaram Road , 7.T.Meenachipuram (R.V), T.Sinthalaicheri (P) Ward-3 Adi Dravidar Colony Street"
27,"Amala Annai R.C. Hr.Sec.School, Southern Side, 9th Std. Room, T.Sinthalaicheri","1.T.Meenachipuram (R.V), T.Sinthalaicheri (P) Ward-2 Middle Street , 2.T.Meenachipuram (R.V), T.Sinthalaicheri (P) Ward-2 Chekkadi Street , 3.T.Meenachipuram (R.V), T.Sinthalaicheri (P) Ward-2 Keeraikadai Street , 4.T.Meenachipuram (R.V), T.Sinthalaicheri (P) Ward-2 Savadi Street , 5.T.Meenachipuram (R.V), T.Sinthalaicheri (P) Ward-2 Kalyanamandapa Street , 6.T.Meenachipuram (R.V), T.Sinthalaicheri (P) Ward-2 Church Street , 7.T.Meenachipuram (R.V), T.Sinthalaicheri (P) Ward-3 Pillaiyar Kovil Street"
28,"Mariammal Aided Ele. School, North Block, Western Side, Bomminayakkanpatti.","1.T.Meenachipuram (R.V), T.Siinthalaicheri (P) Bomminayakanpatti Ward-4 Adidravidar colony"
29,"Mariammal Aided Ele. School, North Block, East Side, Bomminayakkanpatti.","1.T.Meenachipuram (R.V), T.Siinthalaicheri (P) Bomminayakanpatti Ward-4 Mariammal School , 2.T.Meenachipuram (R.V), T.Siinthalaicheri (P) Bomminayakanpatti Ward-4 Church Street , 3.T.Meenachipuram (R.V), T.Siinthalaicheri (P) Bomminayakanpatti Ward-4 Ration Shop Street , 4.T.Meenachipuram (R.V), T.Siinthalaicheri (P) Bomminayakanpatti Ward-4 Mariamman Kovil Street 5.T.Meenachipuram (R.V), T.Siinthalaicheri (P) Bomminayakanpatti Ward-4 Kaliamman Kovil Street 6.T.Meenachipuram (R.V), T.Siinthalaicheri (P) Bomminayakanpatti Ward-4 North"
30,"Cheif Minister Noonmeals CentreNo.31, Western Side, T.Alagarnayakkanpatti","Street 1.T.Meenachipuram (R.V) And (P) Ward-1 T.Alagarnayakanpatti Pillayar Kovil , 2.T.Meenachipuram (R.V) And (P) Ward-1 T.Alagarnayakanpatti West Street , 3.T.Meenachipuram (R.V) And (P) Ward-1 T.Alagarnayakanpatti Adidiravidar Colony , 4.T.Meenachipuram (R.V) And (P) Ward-2 T.Ovulapuaram West Street , 5.T.Meenachipuram (R.V) And (P) Ward-2 T.Ovulapuaram East Colony , 6.T.Meenachipuram (R.V) And (P) Ward-2 T.Ovulapuaram B.C. Colony"
31,"Cheif Minister Noonmeals CentreNo.55, Eastern Side, T.Alagarnayakkanpatti","1.T.Meenachipuram (R.V) And (P) Ward-1 T.Alagarnayakanpatti East Street , 2.T.Meenachipuram (R.V) And (P) Ward-1 T.Alagarnayakanpatti Petchiyamman Kovil , 3.T.Meenachipuram (R.V) And (P) Ward-2 T.Ovulapuram East Street , 4.T.Meenachipuram (R.V) And (P) Ward-2 T.Ovulapuaram Noon Meal Centre Street , 5.T.Meenachipuram (R.V) And (P) Ward-2 T.Ovulapuaram Water Tank Street , 6.T.Meenachipuram (R.V) And (P) Ward-2 T.Ovulapuaram North Colony"
32,"Panchayat Union Ele School S.S.A Building, T.Mettupatti","1.T.Meenachipuram (R.V) And (P) Ward-2 Naidu Street , 2.T.Meenachipuram (R.V) And (P) Ward-2 Milk Firm Street , 3.T.Meenachipuram (R.V) And (P) Ward-2 Pillayar Kovil Street , 4.T.Meenachipuram (R.V) And (P) Ward-2 Kamarajar Street , 5.T.Meenachipuram (R.V) And (P) Ward-2 Petchiamman Kovil Street , 6.T.Meenachipuram (R.V) And (P) Ward-2 South Street , 7.T.Meenachipuram (R.V) And (P) Ward-2 Milk Firm Street , 8.T.Meenachipuram (R.V) And (P) Ward-2 Thevaram Main Road , 9.T.Meenachipuram (R.V) And (P) Ward-2 North West Colony , 10.T.Meenachipuram (R.V) And (P) Ward-2 North Colony"
33,"Panchayat Union Ele. School New Building, Northern Side Block 4, T.Meenatchipuram","1.T.Meenachipuram (R.V) And (P) Ward-3 Pillayar Kovil Street , 2.T.Meenachipuram (R.V) And (P) Ward-3 West Adidravidar Colony , 3.T.Meenachipuram (R.V) And (P) Ward-3 Middle Street , 4.T.Meenachipuram (R.V) And (P) Ward-3 East Street , 5.T.Meenachipuram (R.V) And (P) Ward-3 Rajeev Nagar"
34,"Panchayat Union Ele. School, Entrance Northern Side, T.Meenachipuram","1.T.Meenachipuram (R.V) And (P) Ward-3 Alagar Kovil Street , 2.T.Meenachipuram (R.V) And (P) Ward-3 Old Water Tank Street , 3.T.Meenachipuram (R.V) And (P) Ward-3 Santhana Mariamman Kovil Street , 4.T.Meenachipuram (R.V) And (P) Ward-3 Kaliamman Kovil Street 5.T.Meenachipuram (R.V) And (P) Ward-3 West Street , 6.T.Meenachipuram (R.V) And (P) Ward-3 Old Adidravidar Colony , 7.T.Meenachipuram (R.V) And (P) Ward-3 North Street , 8.T.Meenachipuram (R.V) And (P) Ward-3 T.Mennatchipuram Main Road"
35,"Hindu Middle School Additional Building, Pannaipuram","1.Pannaipuram (R.V) And (TP) Ward-4 Harijana North Street , 2.Pannaipuram (R.V) And (TP) Ward-4 Harijana Middle Street , 3.Pannaipuram (R.V) And (TP) Ward-4 Harijana Savadi Street , 4.Pannaipuram (R.V) And (TP) Ward-4 Harijana South Street , 5.Pannaipuram (R.V) And (TP) Ward-6 Pattalamman Kovil Street , 6.Pannaipuram (R.V) And (TP) Ward-6 Church Street 7.Pannaipuram (R.V) And (TP) Ward-6 Kaliamman Kovil Street , 8.Pannaipuram (R.V) And (TP) Ward-5 High Way Road Street , 9.Pannaipuram (R.V) And (TP) Ward-5 Middle Street 10.Pannaipuram (R.V) And (TP) Ward-5 Main Street 11.Pannaipuram (R.V) And (TP) Ward-5 Bommayasamy Kovil Street , 12.Pannaipuram (R.V) And (TP) Ward-5 Bajanamadathu Street , 13.Pannaipuram (R.V) And (TP) Ward-5 East Street"
