Sl. No,Polling Station No,M ALAGAR MNM,S ANBARASI Katchi,S VASANTHAKUMAR,LARENEG EMAN J M VOLTAIRE Centre (Communist) CPI,EHT M JEYAPAL Kazagam,S SROTCELE J SITHICK ABUBAKKAR,OT T VISHWAKARMA RAAM,D ISMAIL,N KUPPUSAMY,. J KESAVARAJAH,P SANKARAPANDI,IARUDAM,K THEIVAMMAL,HTRON R NATARAJAN,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
112,75(A),142,234,36,31,0,1,6,0,0,0,0,1,0,0,2,3,456,0,456,0
113,76,81,117,28,30,0,0,2,0,1,0,0,0,0,0,0,1,260,0,260,0
114,76(A),73,112,37,21,0,0,2,1,0,0,0,0,0,0,0,2,248,0,248,0
115,77,103,268,24,72,2,0,20,1,0,1,0,1,1,0,1,11,505,0,505,0
116,77(A),124,311,16,41,0,0,14,0,0,1,0,0,0,3,7,7,524,0,524,0
117,78,121,385,60,68,1,1,20,0,0,0,1,0,0,4,5,10,676,0,676,0
118,79,93,165,51,27,1,0,5,0,0,1,0,0,0,0,0,4,347,0,347,0
119,80,140,148,28,22,0,1,14,0,0,0,0,0,0,0,0,7,360,0,360,0
120,80(A),147,162,43,24,0,0,8,0,0,0,0,0,0,0,1,5,390,0,390,0
121,81,210,300,35,62,1,0,11,0,0,0,2,0,0,0,0,4,625,0,625,0
122,82,130,222,47,38,2,0,7,0,0,0,0,0,0,0,0,7,453,0,453,0
123,83,95,168,33,24,0,0,6,1,0,0,0,0,0,1,0,7,335,0,335,0
124,83(A),84,166,50,24,0,1,9,0,0,1,1,1,0,0,0,3,340,0,340,0
125,84,95,141,35,39,2,0,7,0,0,0,0,0,0,1,0,4,324,0,324,0
126,84(A),100,155,40,18,0,0,7,0,0,1,0,0,0,0,0,4,325,0,325,0
127,85,76,181,21,34,0,0,4,0,1,0,0,0,0,0,0,0,317,0,317,0
128,85(A),81,224,32,25,1,0,2,0,0,1,0,0,0,0,0,5,371,0,371,0
129,86,66,226,16,43,1,0,8,0,0,0,0,0,0,0,0,5,365,0,365,0
130,86(A),70,251,21,28,1,0,2,0,0,2,0,1,1,2,0,6,385,0,385,0
131,87,87,319,8,58,1,0,8,0,3,0,0,0,0,0,0,5,489,0,489,0
132,87(A),114,320,14,23,1,0,11,0,0,0,0,1,1,0,0,7,492,0,492,0
133,88,63,270,10,34,2,0,12,0,0,0,0,0,0,0,0,1,392,0,392,0
134,88(A),58,302,18,24,0,0,10,2,0,0,1,1,2,0,3,2,423,0,423,0
135,89,121,165,46,47,0,0,8,0,0,1,0,0,0,1,0,3,392,0,392,0
136,89(A),135,172,53,41,0,0,5,0,1,1,0,0,0,0,2,3,413,0,413,0
137,90,132,296,44,54,0,0,10,0,0,0,1,0,0,0,1,7,545,0,545,0
138,91,160,179,41,45,0,1,3,0,0,1,0,0,0,0,0,4,434,0,434,0
139,92,92,326,64,55,0,2,7,1,0,0,0,0,1,0,0,4,552,0,552,0
140,93,69,151,30,32,0,0,5,0,1,0,0,0,0,0,0,7,295,0,295,0
141,93(A),71,161,34,18,0,1,3,0,0,1,0,0,0,0,0,2,291,0,291,0
142,94,116,212,46,48,1,0,10,0,0,1,0,0,0,1,0,2,437,0,437,0
