Polling Station No.,Building,Polling Areas
29,"Govt. Kallar Elementary School, Western Building South Side, Devathanapatti.","1.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-8 Pallivasal Keelatheru , 2.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-8 Alamin Nagar , 3.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-8 Pallivasal Street , 4.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-8 Karuppanan Lane , 5.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-8 Main Road , 6.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-8 Majalar Dam Road"
30,"Panchayat Union Elementary School, Southern Building, Attanampatti.","1.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-9 Jakkammal Kovil Street , 2.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-9 Perumalsamy Kovil Street , 3.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-9 Main Street , 4.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-9 Alagarsamy Nayakkar Street , 5.Devathanapatti Bit II (.V), Devathanapatti (T.P) Ward-9 Kunjathammal Street , 6.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-9 Muthalamman Kovil Street"
31,"Panchayat Union Elementary School, New Building, Satthakovilpatti.","1.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-11 Water Tank Street , 2.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-11 North Godi Street , 3.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-11 Paramakrishnan Street , 4.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-11 Colony Street , 5.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-11 Perumal Kovil Street , 6.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-11 Sendrayan Lane , 7.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-11 Savadi Street , 8.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-11 Veeranagoundar Street , 9.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-11 Perumal Chetty Street , 10.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-11 South Street , 11.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-11 North Street , 12.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-11 North Savadi Street , 13.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-11 Satha Kovilpatti"
32,"Govt. Kallar Elementary School, Southern New Building, Pullakkapatti.","1.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-12 Muthalamman Kovil Street , 2.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-12 Pulavanar Lane , 3.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-12 Angathevar Street , 4.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-12 Water Tank Street , 5.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-12 Colony Street , 6.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-12 Muniappan Kovil Street , 7.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-12 Vellaipoyan Street , 8.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-12 Pillaiyar Kovil Street , 9.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-12 School Building Street , 10.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-12 Muniyandi Kovil Street , 11.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-12 Manpanai Pandasalai , 12.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-12 Kaliamman Kovil Street , 13.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-12 Nayakkar Street , 14.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-12 Pandagasalai Street"
33,"C.S.I.. School, Ground Floor, Devathanapatti","1.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-14 Water Tank Street , 2.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-14 Chithiran Street , 3.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-14 Savadi Street"
34,"Noon Meal Center, East Colony, Eastern Side, Devathanapati.","1.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-15 Colony Street D.No.1-219"
35,"Noon Meal Center, East Colony, Western Side, Devathanapatti.","1.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-16 Water Tank Street , 2.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-16 Bomminaickanpatti Road , 3.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-16 Ponraj Street , 4.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-16 Makkasu Street , 5.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-16 Mayan Street , 6.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-16 Kakkan Street , 7.Devathanapatti Bit II (R.V), Devathanapatti (T.P) Ward-16 South Street"
36,"Kallar Elementary School, Eastern Building, T.Kamakkapatti.","1.Devathanapatti Bit I (R.V), Devathanapatti (T.P) Ward-5 Vellaichamy Thevar Street , 2.Devathanapatti Bit I (R.V), Devathanapatti (T.P) Ward-5 Mayandithevar Street , 3.Devathanapatti Bit I (R.V), Devathanapatti (T.P) Ward-5 Kodaikanal Road , 4.Devathanapatti Bit I (R.V), Devathanapatti (T.P) Ward-5 Ponnaiahthevar Street , 5.Devathanapatti Bit I (R.V), Devathanapatti (T.P) Ward-5 Pethanathevar Street , 6.Devathanapatti Bit I (R.V), Devathanapatti (T.P) Ward-5 Kamakkapatti Road"
37,"Panchayat Union Elementary School, North Building, West Side, G.Kallupatti.","1. Genguvarpatti Bit I (R.V), G.Kallupatti (P) G.Kallupatti Block 2 2.Genguvarpatti Bit I (R.V), G.Kallupatti (P) G.Kallupatti Block 3"
38,"Panchayat Union Elementary School G.Kallupatti, G.Kallupatti","1.Genguvarpatti Bit I (R.V), G.Kallupatti (P) G.Kallupatti Block 4 , 2 . G e n g u v arpatti Bit I (R.V), G.Kallupatti (P) Middle Street , 3.Genguvarpatti Bit I (R.V), G.Kallupatti (P) G.Kallupatti Chitteyar Street , 4.Genguvarpatti Bit I (R.V), G.Kallupatti (P) Pillaimar Savadi Street"
39,"Panchayat Union Elementary School, Office Building,G.Kallupatti.","1.Genguvarpatti Bit 1(R.V),G.Kallupatti(p) G.Kallupatti Block-7-Bit-1"
40,"Panchayat Union Elementary School,North Building, G.Kallupatti.","1.Genguvarpatti Bit I (R.V), G.Kallupatti (P) G. Kallupatti Block 5"
41,"Govt. Hr. Secondary School, Main Building, West Building G.Kallupatti.","1.Genguvarpatti Bit 1(R.V),G.Kallupatti(p) G.Kallupatti Block-5-Bit-1"
42,"Govt. Hr. Secondary School, East New Building, G.Kallupatti.",1. G. Kallupatti Block 5
43,"Panchayat Union Elementary School, South-East Building, G.Kallupatti.","1.Genguvarpatti Bit I (R.V), G.Kallupatti (P) G.Kallupatti Block 6"
44,"Panchayat Union Elementary School, New Building South Side, G.Kallupatti.","1.Genguvarpatti Bit I (R.V), G.Kallupatti (P) G.Kallupatti Block 8"
45,"Panchayat Union Elementary School, SouthWest Buliding, Genguvarpatti.","1.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-1 Mathari North Street , 2.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-1 Kombai Road , 3.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-1 Pushbarani Nagar"
46,"Panchayat Union Elementary School,South Building, Western Side, Genguvarpatti.","1.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-3 Pattalamman Kovil Street , 2.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-3 Bagavathi Nagar , 3.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-3Main Road , 4.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-6 Pajanaimada Street"
47,"Panchayat Union Elementary SchoolSouth Building, Middle Side, Genguvarpatti.","1.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-4 Kombaithevar Street , 2.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-4 Vannath Street 3.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-4 Ponnangu servai Street , 4.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-4 Mokkan chettiar Street , 5.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-7 Savadi Street 6.Ward-12 Agarhar Attru Pathai Street 7.Ward-12 Agaraharam Street"
48,"Panchayat Union Elementary School, North New Building, Eastern Side, Genguvarpatti.","1.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-5 Alamara Street , 2.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-5 Boyamar Street , 3.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-5 Main Road , 4.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-5 Nalluthevar Street , 5.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-5 Ponnaiyakonar Street , 6.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-5 Melachavadi Street"
49,"Panchayat Union Elementary School, North New Building,Western Portion, Genguvarpatti.","1.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-6 Company Locality Street , 2.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-6 Kalinaickan Puliyamara Street , 3.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-6 Muthaliar Street , 4.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-6 Naidu Street , 5.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-6 Veeranapillai Street , 6.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-7 Barber Street , 7.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-7 Thayammal Street"
50,"Panchayat Union Elementary School, Eastern Building, North Side, Genguvarpatti","1.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-8 Raja Street , 2.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-8 Ibrahimja Street , 3.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-8 Mookkarowther Street , 4.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-8 Usaiyappa Street , 5.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-9 Lebbai Street , 6.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-9 Palani Chettiar Street , 7.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-9 Bazaar Street , 8.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-9 Pallivasal Street , 9.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-9 Kathar Sayabu Street ,"
51,"Panchayat Union Elementary School, Anganwadi Centre, Genguvarpatti.","10.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) 1.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-10 Pallar West Street , 2.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-10 Ramar Kovil Street , 3.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-10 Pallar East Street , 4.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Genguvarpatti , 5.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-9 Kuyavar Street , 6.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-9 Ponraj Naidu Street"
52,"Panchayat Union Elementary School, West New Building, North Side, Genguvarpatti.","1.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-11 Harijana colony , 2.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-11 Sevakudumban Street , 3.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-11 Pallar Street , 4.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-12 Vellai Pabbu Street ,"
53,"Anganwadi Centre, Paalapatti.","1.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-13 Pallapatti Paraiyar Street 2.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-13 Karuppiah Naiyakkar Street , 3.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-13 Chinnaiya Nayakkar Street , 4.Genguvarpatti Bit I (R.V), Genguvarpatti (T.P) Ward-13 Nadu Street"
54,"Panchayat Union Elementary School, New Building, Eastern Portion, Sriram Nagar, Genguvarpatti.","1.Genguvarpatti Bit II (R.V), Genguvarpatti (T.P) Ward-15 Sri Ram Nagar , 2.Genguvarpatti Bit II (R.V), Genguvarpatti (T.P) Ward-15 Periyakulam Main Road , 3.Genguvarpatti Bit II (R.V), Genguvarpatti (T.P) Ward-15 Middle Street ,"
55,"Anganwadi Centre, Sengulathupatti","1.Genguvarpatti Bit II (R.V), Genguvarpatti (T.P) Ward-15 Pallar Keelatheru (Sengulathupatti) 2.Genguvarpatti Bit II (R.V), Genguvarpatti (T.P) Ward-15 South Street, 3.Genguvarpatti Bit II (R.V), Genguvarpatti (T.P) Ward-15 Chellakannu Street, 4.Genguvarpatti Bit II (R.V), Genguvarpatti (T.P) Ward-15 Thangammal Street, 5.Genguvarpatti Bit II (R.V), Genguvarpatti (T.P) Ward-15 Sengulathupatti"
56,"Government Kallar Elementary School, Sl.No.193, South Building, Kottarpatti, Genguvarpatti","1.Genguvarpatti Bit II (R.V), Genguvarpatti (T.P) Ward-14 Thevar North Street (Kottarpatti) , 2.Genguvarpatti Bit II (R.V), Genguvarpatti (T.P) Ward-14 Mela Street (Kottarpatti) , 3.Genguvarpatti Bit II (R.V), Genguvarpatti (T.P) Ward-14 Thevar Middle Street (Kottarpatti) , 4.Genguvarpatti Bit II (R.V), Genguvarpatti (T.P) Ward-14 Thevar East Street (Kottarpatti) , 5.Genguvarpatti Bit II (R.V), Genguvarpatti (T.P)"
57,"Panchayat Union Middle School, South Building, D.Vadipatti","Ward-14 Kendiyan Street (Kottarpatti) 1.Silvarpatti (R.V), D.Vadipatti (P) Block 1 D.Vadipatti , 2.Silvarpatti (R.V), D.Vadipatti (P) Block 2 D.Vadipatti , 3.Silvarpatti (R.V), D.Vadipatti (P) Block 3 D.Vadipatti , 4.Silvarpatti (R.V), D.Vadipatti (P) Block 4 D.Vadipatti , 5.Silvarpatti (R.V), D.Vadipatti (P) Block 5 D.Vadipatti"
