Polling Station No.,Building,Polling Areas
22,"Panchayat Union Elementary School, Pakkuvetti","1.Pakkuvetti north street ward 1 , 2.Pakkuvetti middle street ward 1 , 3.Pakkuvetti middle street 2 ward 1 , 4.Pakkuvetti south street ward 1 , 5.Pakkuvetti kanmaistreet ward 1 , 6.Uppangulam 1st street ward 2 , 7.Uppangulam 2nd street ward 3 , 8.Uppangulam 3rd street ward 2"
23,"Panchayat Union Middle School, West Portion, Karungulam","1. Uppangulam 4th street ward 2 , 2.Uppangulam 5th street ward 3 , 3.Uppankulam Vinayagar koil street ward 3 , 4.Karungulam TV.Room street ward4 , 5.Karungulam school street ward 4 , 6. Karungulam middle street ward 4 , 7.Karungulam south street ward 4"
24,"Panchayat Union Elementary School, Seganathapuram","1.Ulaganadai north street ward 9 , 2. Ulaganadai south street ward 2 , 3.Seganathapuram 4th street ward 8 4.Seganathapuram 1st street ward 8 , 5.Seganathapuram 2nd street ward 8 , 6.Seganathapuram 3rd street ward 8 , 7.Seganathapuram 5th street ward 8 , 8.Seganathapuram south street ward 8 , 9.Kidarikulam north street ward 7 , 10.Udayarkoottam north street ward 6 , 11.Udayarkootam south street ward 6 , 12.Kolipathi north street ward 5 , 13.Kolipathi southstreet ward 5"
25,"Iqbal High School, North Building, Kamuthi","1.Kamuthi (T.P) Vannar street ward 4 , 2.Kamuthi (T.P) L.F.road ward 1 , 3.Kamuthi (T.P) Vellaiyapuram ward 2 , 4.Kamuthi (T.P) Vellaiyapuram Madathu street ward1 , 5.Kamuthi (T.P) Vellaiyapuram colony ward 2 , 6.Kamuthi (T.P) Vellaiyapuram Sooriyadevar street ward 1 , 7.Kamuthi (T.P) Vellaiyapuram Devar mada street ward 1 , 8.Kamuthi (T.P) Vellaiyapuram North street ward1 , 9.Kamuthi (T.P) Aranmanai medu ward1 , 10.Kamuthi (T.P)Aranmanai medu colony ward1"
26,"Kalaviruthi Elementary School, West Side, North Portion, Kamuthi","1.Kamuthi (T.P) Manukmaliya palli street ward 4 , 2.Kamuthi (T.P) Varusai ibrahim street ward 4 , 3.Kamuthi (T.P) Hajiyar street ward 3 , 4.Kamuthi (T.P) Middle street ward 3 , 5.Kamuthi (T.P) Abdulla street ward 3 , 6.Kamuthi (T.P) Pallivasal street ward 3 , 7.Kamuthi (T.P) Local fund road ward 3 , 8.Kamuthi (T.P) Periya pallivasal street ward 5 , 9.Kamudhi (T.P) A.S.Street Ward 11 , 10.Kamuthi (T.P) Bakkir ampalam street ward 14 , 11.Kamuthi (T.P) Msulim bajar ward 6 , 12.Kamuthi (T.P) Bismillah tharga street ward 4"
27,"Kalaviruthi Elementary School, East Side, North Portion, Kamuthi","1.Kamuthi (T.P) Pallakkukara street ward 6 , 2.Kamudhi (T.P) Periya Pallivasal East street Ward 6 , 3.Kamuthi (T.P) Allahpichai street ward 6 , 4.Kamuthi (T.P) Vetrilaikara street ward 6 , 5.Kamuthi (T.P) Musapukani ambalam street ward 5 , 6.Kamuthi (T.P) Tharga road ward 5 , 7.Kamudhi (T.P) Mohamed Ambalam Kottagai street Ward 5 , 8.Kamuthi (T.P) Puthupavadi street ward 5 , 9.Kamuthi (T.P) Musafarkani Ambalam Kottagai street , 10.Kamuthi (T.P) Periya Pallivasal street Ward 4 , 11.Kamuthi (T.P) Chinna pallivasal street ward 5 , 12.Kamuthi (T.P) Abdul karim street ward 5 , 13.Kamuthi (T.P) NallaIbrahim street , 14.Kamuthi (T.P) Tharha street Ward 6 , 15.Kamuthi (T.P) Veppangulam Samsu Ravuther street , 16.Kamuthi (T.P) Muslim bajar ward 6 , 17.Kamuthi (T.P) Pariya pallivasal street ward 5"
28,"Khastriya Nadar Boys Higher Secondary School, Southern Building, Eastern Portion, Room No.10, Kamuthi","1.Kamuthi (T.P) Makamai kadai street ward 12 , 2.Kamuthi (T.P) Seeni nadar street ward 12 , 3.Kamuthi (T.P) Raja nadar street ward 12 , 4.Kamuthi (T.P) South muthukulathur road ward 13 , 5.Kamuthi (T.P) Muthu nagar ward 13 , 6.Kamuthi (T.P) Pananthoppu ward 13 , 7.Kamuthi (T.P) Pettaistreet ward 13 , 8.Kamuthi (T.P) Palanisamy nadar street ward 13 , 9.Kamuthi (T.P) Oorkavalan koil street ward 13 , 10.Kamuthi (T.P) Kalai nadar street ward 13 , 11.Kamuthi (T.P) Perumal nadar street ward 13 , 12.Kamuthi (T.P) Narkarastreet ward 13 , 13.Kamuthi (T.P) Nadar bajar ward 14 , 14.Kamuthi (T.P)CSM Compoundu (Ward 15)"
29,"Khastriya Nadar Boys Higher Secondary School, Southern Building, Western Portion, Room No.11, Kamuthi","1.Kamuthi (T.P) Athidravidar north street ward 13 , 2.Kamuthi (T.P) Ahtidravidar east street ward 13 , 3.Kamuthi (T.P) Athidravidar north street 2 ward 13 , 4.Kamudhi (T.P) Kaliamman kovil street Ward 15 , 5.Kamuthi (T.P) Middle street ward 15 , 6.Kamuthi (T.P) Santhaipettai street ward 15 , 7.Kamuthi (T.P) East street ward 15 , 8.Kamuthi (T.P) Colony north street ward 15 9.Kamuthi (T.P) Colony south street ward 15"
30,"Khastriya Nadar Boys Higher Secondary School, Southern Building, Western Portion, Room No.6, Kamuthi","1.Kamuthi (T.P) Pavadi street ward 11 , 2.Kamuthi (T.P)Valaiyalkara street ward 11 , 3.Kamuthi (T.P) Nadar bajar ward 11 , 4.Kamuthi (T.P) Pettai street ward 11 , 5.Kamuthi (T.P) Anthoniyar street ward 14 , 6.Kamuthi (T.P) Munsif street ward 10 , 7.Kamuthi (T.P) Old Post Office street ward 11 , 8.Kamuthi (T.P) Ammaiyandi nadar street ward 11 , 9.Kamuthi (T.P) Kulimuthu nadar street ward 11 , 10.Kamuthi (T.P) Vannar street ward 11 , 11.Kamuthi (T.P) Muthumariamman koil street ward 11 , 12.Kamuthi (T.P) Kodown street ward 14 , 13.Kamuthi (T.P) Mahamai kadai street ward 12"
31,"Khastriya Nadar Boys Higher Secondary School, Southern Building, Western Portion, Room No.8, Kamuthi","1.Kamuthi (T.P) Anthoniyar street ward 14 , 2.Kamuthi (T.P) Muslim bajar ward 14 , 3.Kamuthi (T.P) Saveriyar street ward 14 , 4.Kamuthi (T.P) Kothanar street ward 14 , 5.Kamuthi (T.P) Nadar bajar ward 14 , 6.Kamuthi (T.P) North muthukulathur road ward 10 , 7.Kamuthi (T.P) Navithar street ward 11 , 8.Kamuthi (T.P) Valakurunatha nadar street ward 12 , 9.Kamuthi (T.P) Kothalamman koil street ward 12 , 10.Kamuthi (T.P) Mottaiya nadar street ward 12"
