Sl. No,Polling Station No,M ESWARI,S G BATCHA SIKKANDAR,EMAN J PANDIAMMAL,LARENEG,EHT B MANI,S SROTCELE S V E NAIDU RAJAKUMAR,OT R ELANGOVAN,SURESH KREMMER,R M KRISHNAPRABBU,. N SATHIYENDRAN,IARUDAM S SIVASANKAR,R K RAJASURIYAA,LARTNEC,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
200,134(A),0,201,65,1,11,15,33,0,1,1,0,0,0,0,3,331,0,331,0
201,135,1,423,83,0,11,60,37,0,0,6,1,0,0,0,1,623,0,623,0
202,136,0,433,75,1,25,35,36,0,2,4,1,0,0,1,6,619,0,619,0
203,137,0,293,57,0,15,28,25,0,0,9,0,0,0,0,2,429,0,429,0
204,137(A),1,299,65,0,15,20,24,1,0,4,0,0,0,0,1,430,0,430,0
205,138,0,173,107,0,4,39,32,0,2,4,0,0,0,0,3,364,0,364,0
206,139,0,300,157,2,10,43,73,0,3,7,0,0,0,0,7,602,0,602,0
207,140,2,177,87,0,7,23,40,0,1,4,0,0,0,0,6,347,0,347,0
208,141,1,177,91,0,7,26,37,0,0,4,0,0,0,9,2,354,0,354,0
209,141(A),1,139,70,1,7,17,38,0,0,2,0,0,0,7,4,286,0,286,0
210,142,0,166,80,0,1,26,51,0,0,8,1,0,0,2,4,339,0,339,0
211,143,0,173,66,0,3,24,22,0,0,1,0,0,0,0,5,294,0,294,0
212,144,0,228,56,0,17,51,22,0,2,7,4,2,0,1,1,391,0,391,0
213,144(A),1,249,74,2,23,23,24,0,1,8,0,0,0,2,0,407,0,407,0
214,145,3,500,84,0,23,30,27,0,1,2,2,0,0,1,0,673,0,673,0
215,146,1,261,73,0,11,29,26,0,1,2,0,0,0,0,0,404,0,404,0
216,147,0,214,66,1,7,24,34,0,1,3,3,0,0,2,7,362,0,362,0
217,147(A),1,184,60,0,6,13,32,1,0,3,0,0,0,0,2,302,0,302,0
218,148,1,212,50,0,14,20,16,0,0,2,1,0,0,0,0,316,0,316,0
219,148(A),0,235,65,1,6,12,16,0,0,0,0,0,1,2,1,339,0,339,0
220,149,2,214,94,1,11,29,27,0,0,6,0,0,0,1,4,389,0,389,0
221,150,0,324,19,0,21,21,12,0,0,7,1,0,0,0,0,405,0,405,0
222,150(A),1,319,28,0,15,19,16,1,0,2,0,0,1,0,1,403,0,403,0
223,151,0,192,81,0,9,28,31,0,0,8,1,0,0,0,1,351,0,351,0
224,151(A),0,197,118,1,14,21,20,0,0,5,0,0,1,1,2,380,0,380,0
225,152,0,393,72,1,10,46,21,0,0,14,1,0,0,1,2,561,0,561,0
226,153,0,252,61,0,14,16,27,0,0,3,2,0,0,0,2,377,0,377,0
227,153(A),1,244,60,0,9,18,21,0,0,3,3,1,0,0,4,364,0,364,0
228,154,0,203,61,0,19,39,38,0,0,4,0,0,0,1,1,366,0,366,0
229,154(A),2,211,97,0,17,18,36,0,0,2,0,0,1,0,2,386,0,386,0
230,155,1,371,65,1,37,35,18,0,0,1,0,0,0,0,3,532,0,532,0
231,156,0,385,57,0,38,21,11,0,0,5,1,1,0,0,5,524,0,524,0
232,157,0,161,65,1,3,26,37,0,0,2,0,0,0,2,3,300,0,300,0
233,157(A),1,144,70,0,2,9,43,0,1,2,1,0,0,2,2,277,0,277,0
234,158,0,244,67,0,6,30,28,0,0,14,0,0,0,0,10,399,0,399,0
235,158(A),0,281,105,0,8,21,17,0,0,7,3,0,0,2,0,444,0,444,0
236,159,1,300,79,0,8,27,29,1,0,10,1,0,0,0,2,458,0,458,0
237,160,1,210,157,4,11,26,28,0,1,10,3,0,1,1,6,459,0,459,0
238,161,0,196,92,0,7,29,33,0,1,5,1,0,0,3,1,368,0,368,0
239,162,0,200,83,2,16,56,15,0,0,10,0,0,0,1,0,383,0,383,0
240,162(A),1,194,130,1,10,31,17,0,3,8,0,1,0,1,3,400,0,400,0
241,163,0,161,63,1,1,44,25,0,1,3,4,0,0,0,1,304,0,304,0
242,164,0,123,37,0,1,28,13,0,0,13,1,0,0,0,0,216,0,216,0
243,165,0,182,70,1,2,47,23,0,0,5,1,0,0,0,4,335,0,335,0
244,166,0,146,46,0,4,48,16,0,0,2,1,0,0,3,1,267,0,267,0
245,167,2,384,50,1,6,25,24,1,1,1,0,0,0,0,2,497,0,497,0
246,167(A),0,400,69,2,5,16,27,0,1,4,1,0,1,4,4,534,0,534,0
247,168,2,346,55,0,3,29,29,1,0,4,0,0,0,0,2,471,0,471,0
248,168(A),1,366,89,0,2,16,23,0,0,4,0,0,0,3,3,507,0,507,0
249,169,1,355,44,0,3,34,33,0,0,3,2,0,0,3,3,481,0,481,0
250,169(A),0,374,85,0,7,8,22,2,0,3,3,1,2,4,2,513,0,513,0
251,170,1,206,30,0,24,14,14,0,0,1,1,0,0,0,1,292,0,292,0
252,170(A),0,257,38,0,21,5,16,1,1,0,1,1,0,0,3,344,0,344,0
253,171,1,295,108,4,39,24,45,0,1,6,1,0,0,1,0,525,0,525,0
254,172,0,150,69,2,12,32,55,0,2,9,2,0,0,0,1,334,0,334,0
255,172(A),1,186,92,1,9,20,41,2,3,2,0,0,1,0,3,361,0,361,0
256,173,0,266,228,2,14,41,70,0,1,6,0,2,1,0,6,637,0,637,0
257,174,2,187,127,2,2,27,33,0,0,9,2,0,0,0,1,392,0,392,0
258,175,0,245,116,1,7,45,64,1,0,3,1,0,0,0,7,490,0,490,0
259,176,0,227,156,1,7,31,58,0,1,10,1,0,0,0,8,500,0,500,0
260,177,3,250,129,0,8,38,43,0,0,3,1,0,1,0,4,480,0,480,0
261,178,0,171,134,1,1,29,71,0,0,1,1,0,1,2,7,419,0,419,0
262,179,1,275,141,2,10,39,40,1,0,7,0,0,0,1,4,521,0,521,0
263,180,1,179,110,1,5,23,43,0,0,7,2,1,0,0,9,381,0,381,0
264,181,0,189,135,1,3,24,38,0,0,5,1,0,0,0,6,402,0,402,0
265,181(A),0,159,134,0,2,10,50,1,0,3,0,1,0,1,8,369,0,369,0
266,182,0,317,203,0,23,50,73,4,0,18,0,0,0,0,5,693,0,693,0
267,183,0,126,148,1,4,21,28,0,0,5,1,0,0,0,3,337,0,337,0
268,183(A),2,103,114,2,2,9,40,1,0,2,1,0,0,0,2,278,0,278,0
269,184,1,269,153,0,3,34,64,0,1,7,2,0,0,0,6,540,0,540,0
270,185,1,135,115,0,4,14,37,0,0,4,2,0,0,0,3,315,0,315,0
271,186,0,197,265,3,3,20,68,2,0,6,0,0,0,0,6,570,0,570,0
272,187,0,134,149,2,3,14,30,0,0,2,1,0,0,0,9,344,0,344,0
273,187(A),0,110,99,1,4,13,36,0,1,1,0,0,0,1,5,271,0,271,0
274,188,0,263,240,4,22,40,73,0,0,27,1,0,0,3,9,682,0,682,0
275,189,0,58,143,1,0,17,43,0,0,5,0,1,0,0,8,276,0,276,0
276,190,1,98,212,3,2,19,49,1,1,6,0,0,0,0,15,407,0,407,0
277,190(A),0,75,193,1,0,15,50,0,1,5,1,0,1,0,14,356,0,356,0
278,191,0,161,169,0,8,29,47,1,0,3,0,0,1,0,6,425,0,425,0
