Sl. No,Polling Station No,O.S.MANIAN,S.K.VETHARATHINAM,P.S.ARUMUGAM,emaN,eht K.RAJENDRAN,LARENEG srotcelE DR.T.SUNDARAVADIVE LAN,S ALI MOHAMED,OT R.RAMAMURTHY,T.RAMAJAYAM,TRAP ALNT R.KATHIRVEL,I MAYNARADEV P.V.THEENATHAYALAN,V.VEERAKUMAR,Total,LS.ONTotalNo.ofElectorsinAssemblyConstituencyNo.NameoftheAssemblyConstituency,Total Valid Votes,Rejected Votes,Total Votes
261,220,1,295,311,2,45,0,3,0,2,2,0,7,668,0,4,672,0
262,221,1,328,236,7,50,0,1,0,1,1,3,4,632,0,2,634,0
263,222(M),0,192,169,2,35,0,2,0,0,1,0,0,401,0,2,403,0
264,222A(W),4,254,185,0,25,0,3,0,0,0,5,1,477,0,3,480,0
265,223,3,343,276,8,25,1,12,0,0,1,1,0,670,0,3,673,0
266,224(M),1,258,208,1,23,0,0,0,0,0,0,0,491,0,3,494,0
267,224A(W),1,359,190,1,10,0,1,1,0,0,0,4,567,0,1,568,0
268,225(M),3,271,186,4,18,0,0,0,2,0,0,0,484,0,1,485,0
269,225A(W),6,329,203,1,9,0,1,0,0,0,4,3,556,0,3,559,0
270,226,2,389,353,4,35,0,0,0,1,0,0,1,785,0,2,787,0
271,227,1,298,229,0,36,0,0,0,0,0,1,0,565,0,0,565,0
