Sl. No,Polling Station No,Raja.N Makkal Katchi Sakthi Desiya,G Kamalakannan. Tamilnadu Ilangyar Katchi,Karthikeyan.R. Tamilar Katchi Naam,Sarathbabu Maiam Needhi Makkal,Subashree Arasiyal Makkal Anaithu,Suresh.R.Dr. Manavadhikaa Federal Bhartiya r,Thameem Mohammed M Ansari. India Democratic of Party Social,Chinnadurai Rajesh South Democratic of National India Party,Vincent.J India (Athawale) Republican of Party,Anbarasu.E Independent,Anbarasu.S Independent,M Anbarasu. Independent,M Kumar. Ashok Independent,Mohammed Ali Independent,Lincon.A Abraham Independent,Sathiyaraj.P Independent,Saravanan.K Independent,Saravanan.C Independent,S.V. Saravanan Independent,Nithiyanandam.S Independent,Raji.B Independent,Sridhar.S Independent,Sridhar.S Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
47,32 AW,204,116,1,2,19,32,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,381,0,381,0
48,33,156,72,0,1,13,20,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,267,0,267,0
49,34 M,248,154,0,3,62,26,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,501,0,501,0
50,34 AW,215,161,0,1,29,31,0,0,2,0,0,1,0,0,0,0,2,1,1,0,0,0,1,0,0,3,448,0,448,0
51,35 M,283,111,0,3,55,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,466,0
52,35 AW,257,146,0,2,28,17,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,3,459,0,459,0
53,36,223,119,0,0,50,20,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,419,0,419,0
54,37 M,221,163,0,2,57,23,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,471,0,471,0
55,37 AW,227,151,0,0,29,21,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,4,437,0,437,0
56,38 M,120,157,1,0,39,9,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,333,0,333,0
57,38 AW,173,196,1,1,17,17,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,3,416,0,416,0
58,39 M,235,163,0,1,59,16,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2,481,0,481,0
59,39 AW,297,153,1,0,29,15,0,0,4,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,503,0,503,0
60,40,243,114,1,3,41,24,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,431,0,431,0
61,41 M,238,121,1,1,37,12,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,416,0,416,0
62,41 AW,231,144,0,0,22,11,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,413,0,413,0
63,42 M,227,97,0,1,28,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,365,0,365,0
64,42 AW,216,94,1,0,17,15,0,0,0,0,0,0,0,0,0,0,5,2,0,0,2,0,1,1,0,3,357,0,357,0
65,43,359,219,0,3,60,21,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4,669,0,669,0
66,44 M,210,120,1,1,46,40,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,428,0,428,0
67,44 AW,208,124,0,1,37,43,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,1,0,4,423,0,423,0
68,45,303,198,0,1,42,34,1,0,6,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,9,598,0,598,0
69,46 M,201,208,0,0,71,14,0,0,10,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,5,513,0,513,0
70,46 AW,232,207,2,0,23,14,0,0,5,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,8,495,0,495,0
71,47 M,215,116,1,0,45,29,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,409,0,409,0
72,47 AW,250,123,0,0,22,20,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,419,0,419,0
73,48 M,270,131,1,1,66,28,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,505,0,505,0
74,48 AW,238,140,1,1,42,32,0,0,4,0,0,1,0,1,0,2,2,1,0,0,0,0,0,0,0,5,470,0,470,0
75,49 M,229,119,0,2,49,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,420,0,420,0
76,49 AW,217,154,0,0,22,16,0,0,2,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,4,421,0,421,0
