Sl. No,Polling Station No,Ananthalakshmi Party,OT Ganesan Lakshmi Dravida Kazhagam,EHT K. Kannan Katchi,UDANLIMAT ot( ISAKAVIS S. Karuppasamy Puratchi,EVITALSIGEL eb desu htob M. R. Kalyanasundari Kanagapriya Katchi,ees rof G. Samikkalai Kazagam,)c()(C ItraP yratnemailraP M.G.R. Nambbi Party Makkal Kazhagam,MORF dna P. Palanichamy,S. Mugunthan MNM,ISAKAVIS ) G. Jeevanantham,C. Ashokkumar,P. Anbalagan,R. Ganesan,N. Karthik,D. Kesavakumar,S. Thangaraj,M. Dharmalingam,S. Pandiarajan,N. Balakrishnan,G. Mayilvaganan,M. Marimuthu,E. Lakshmanan,M. Kumar Vinoth,T. Mary Joys,No.of,egaP No.of,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
106,76,309,1,136,0,0,0,82,3,0,1,17,0,0,1,0,1,2,0,1,0,0,0,0,6,0,0,560,0,8,568,0
107,77,356,3,119,2,1,0,105,6,1,0,10,0,0,1,0,1,1,1,1,2,0,1,0,4,0,0,615,0,8,623,0
108,78,212,1,71,0,1,0,36,3,0,0,6,0,1,0,0,1,2,1,1,0,1,0,0,1,1,2,341,0,3,344,0
109,79,329,2,104,0,0,0,71,4,0,0,8,0,0,0,1,1,2,0,1,0,0,1,0,0,0,0,524,0,2,526,0
110,80M,276,0,106,1,4,1,66,2,0,1,13,1,0,2,0,0,3,1,2,0,0,0,0,0,1,1,481,0,3,484,0
111,80A(W),320,2,134,4,2,1,40,3,0,0,6,0,2,0,0,2,5,1,1,0,0,0,0,0,0,0,523,0,0,523,0
112,81M,239,0,158,0,1,0,62,15,2,1,4,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,486,0,2,488,0
113,81A(W),252,5,234,2,1,0,25,13,0,0,2,0,2,0,0,4,2,1,0,0,0,0,1,1,1,0,546,0,1,547,0
114,82,177,0,80,0,2,0,53,6,0,0,9,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,332,0,1,333,0
115,83,254,1,128,0,3,0,112,18,0,0,17,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,537,0,5,542,0
116,84,268,2,137,2,0,0,130,13,1,0,19,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,578,0,12,590,0
117,85,211,2,161,1,1,0,61,29,0,1,12,0,0,0,1,6,2,2,2,0,0,0,0,0,0,0,492,0,7,499,0
118,86,311,3,185,0,3,0,98,20,0,0,10,0,0,1,1,1,5,1,1,0,0,0,1,0,0,0,641,0,8,649,0
119,87M,127,1,118,0,0,2,80,34,1,0,20,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,386,0,4,390,0
120,87A(W),119,2,159,0,0,0,54,23,0,0,14,0,0,1,1,2,4,2,0,1,1,0,0,0,0,0,383,0,5,388,0
121,88M,180,0,111,2,0,0,84,19,0,0,13,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,412,0,3,415,0
