Polling Station No.,Building,Polling Areas
347,"Panchayat Union Middle School, Senneri South Facing","1. Thiruvadisulam, Ward 3 Melporunthavakkam, 2. Thiruvadisulam, Ward 3 Keelporunthavakkam, 3. Thiruvadisulam, Ward 3 Manjamalai St, 4. Periya putheri P Senneri V, Ward 3 Thiruporur Salai Vadakku Street, 5. Periya putheri P Senneri V, Ward 3 Hanumanthapuram, 6. Periya putheri P Senneri V, Ward 3 Osuramman Koil Street, 7. Periya putheri P Senneri V, Ward 3 Kalyanaramasamy Koil Street, 8. Periya putheri P Senneri V, Ward 3 Bajanai Koil Street, 9. Periya Putheri P Senneri V, Ward 3 Durgaiyamman Koil Street, 10. Periya Putheri P Senneri V, Ward 3 Irular kudiyiruppu, 11. Pariya Phthari (v), Ward 1 Chenneri, 999. OVERSEAS ELECTORS"
348,"St.Joseph Higher Secondary School, Chengalpattu West Face","1. Chengalpattu, Ward 1 kanchipuram high road, 999. OVERSEAS ELECTORS"
349,"St.Joseph Higher Secondary School, Chengalpattu West Face Room No 3","1. Chengalpattu, Ward 1 Bharathi street, 2. Chengalpattu, Ward 1 Annai Anjugam Nagar, 3. Chengalpattu, Ward 1 Kalathu Mettu St, 999. OVERSEAS ELECTORS"
350,"St.Joseph Higher Secondary School, Chengalpattu West Face Room No 3","1. Chengalpattu, Ward 1 v p singh, 2. Chengalpattu, Ward 1 Annai Anjugam Nagar, 3. Chengalpattu, Ward 1 Kalathu Mettu 1st Street, 4. Chengalpattu, Ward 1 Kalathu Mettu St, 5. Chengalpattu, Ward 1 JCK Nagar 1st st, 999. OVERSEAS ELECTORS"
351,"St.Joseph Higher Secondary School, Chengalpattu Room No 2 west facing","1. Chengalpattu, Ward 1 JCK Nagar 2nd Street, 2. Chengalpattu, Ward 1 JCK Nagar 3rd Street, 3. Chengalpattu, Ward 1 JCK Nagar 4th Street, 4. Chengalpattu, Ward 1 JCK Nagar 5th Street, 5. Chengalpattu, Ward 1 JCK Nagar 6th Street, 6. Chengalpattu, Ward 1 JCK Nagar 7th Street, 7. Chengalpattu, Ward 1 JCK Nagar Main Road, 8. Chengalpattu, Ward 1 JCK Nagar Continue, 9. Chengalpattu, Ward 1 Writer Sabapathi St, 10. Chengalpattu, Ward6 Esuraman Koil St, 11. Chengalpattu, Bharathi Nagar, 12. Chengalpattu, MALIGAI STREET, 13. Chengalpattu, KANCHIPURAM POLICE QUATRAS, 999. OVERSEAS ELECTORS"
352,"St.Joseph Higher Secondary School, West Face Chengalpattu Room No 4","1. Chengalpattu, Ward 1 balasubramaniyam st, 2. Chengalpattu, Ward 6 Natham Mettu St 1st Cross St, 3. Chengalpattu, Ward 6 Natham Mettu 2ndSt, 4. Chengalpattu, Ward 6 Natham 3rd Cross St, 5. Chengalpattu, Ward 6 Natham Nadu st, 6. Chengalpattu, Ward 5 Masuthi Malai St, 999. OVERSEAS ELECTORS"
353,"St.Columbas Hr.Sec School, North Face Chengalpattu","1. Chengalpattu, Ward 2 court compound, 2. Chengalpattu, Ward 2 Anna Salai, 3. Chengalpattu, Ward 2 Railway Colony North, 4. Chengalpattu, Ward 2 Railway Colony, 5. Chengalpattu, Ward 15 Karimedu, 6. Chengalpattu (T), S.I.S. Quarters, 999. OVERSEAS ELECTORS"
354,"St.Columbas Hr.Sec School, Chengalpattu West Face Room No 5","1. Chengalpattu, Ward 11 vedhappar st, 999. OVERSEAS ELECTORS"
355,"St.Columbas Hr.Sec School, Chengalpattu West Face Room No 6","1. Chengalpattu, Ward 3 Chinnappan Koil St, 2. Chengalpattu, Ward 3 Gandhi Salai, 3. Chengalpattu, Ward 3 Bajar St, 999. OVERSEAS ELECTORS"
356,"St.Columbas Hr.Sec School, North Face south side building Chengalpattu","1. Chengalpattu, Ward 4 pasi st, 2. Chengalpattu, Ward 4 School St, 3. Chengalpattu, Ward 4 Aliar St, 4. Chengalpattu, Ward 4 Syed Yakoof St, 5. Chengalpattu, Ward 4 Jaffer St, 6. Chengalpattu, Ward 4 Old Police Station Street, 7. Chengalpattu, Ward 4 TP Road, 8. Chengalpattu, Ward 4 Valluvar St, 9. Chengalpattu, Ward 4 Ahamed Meeran St, 10. Chengalpattu, YAKUIP SHEIP STREET, 11. Chengalpattu, MATHURIVEERAIN KOIL STREET, 999. OVERSEAS ELECTORS"
357,"St.Joseph Higher Secondary School, west face Chengalpattu, Room No.4","1. Chengalpattu, Ward 5 Kesvanar st, 2. Chengalpattu, Ward 5 Chinnarathinam Street, 3. Chengalpattu, Ward 4 Partha sarathi Street, 999. OVERSEAS ELECTORS"
358,"St.Joseph Higher Secondary School, west face Chengalpattu Room No.5","1. Chengalpattu, Ward 6 Natham Colony, 2. Chengalpattu, Ward 6 Kathaan St, 3. Chengalpattu (M), Ward 5 Sulai Athimulam Street, 4. Chengalpattu (M), Periyarathinam Street, 5. Chengalpattu (M), Masuthi Malai Street, 999. OVERSEAS ELECTORS"
359,"Natham Municipal School, Chengalpattu East Facing Room No.1","1. Chengalpattu(M), Ward 7 Kailasanathar Koil Street, 2. Chengalpattu(M), Ward 7 Muthan street, 3. Chengalpattu(M), Ward7 Nehru Street, 4. Chengalpattu, Ward 7 Mummalai street, 5. Chengalpattu(M), Ward 7 Ambedkar street, 6. Chengalpattu(M), Ward 7 Thanthai Periyar Street, 7. Chengalpattu(M), Ward 7 Thiruvalluvar Street, 8. Chengalpattu(M), Ward7 Annai Therasa Street, 9. Chengalpattu(M), Ward 7 Patchaiyamman Koil Street, 10. Chengalpattu(M), Ward 7 Nethaji Street, 11. Chengalpattu(M), Kakkanji Street, 12. Chengalpattu (M), Arinar Anna Street, 999. OVERSEAS ELECTORS"
360,"Natham ICDS, Chengalpattu East Facing","1. Chengalpattu(M), Ward7 Periyarathina Street, 2. Chengalpattu, Ward 7 Malai road, 3. Chengalpattu, Ward 7 veerapathira st, 4. Chengalpattu, Ward8 Kokkaiyamman koil street, 999. OVERSEAS ELECTORS"
361,"Vadamalai Municipal Middle School, Chengalpattu West Facing","1. Chengalpattu, Ward8 thatanmalai 1st kurukku line, 2. Chengalpattu, Ward 8 Dukkumara kuttai st, 999. OVERSEAS ELECTORS"
362,"Vadamalai Municipal Middle School, Chengalpattu East Facing","1. Chengalpattu, Ward 9 Dattanmalai 2nd st, 2. Chengalpattu, Ward 10 dattanmalai 3rd st, 3. Chengalpattu, Ward 10 Dattanmalai 4th st, 999. OVERSEAS ELECTORS"
363,"Vadamalai Municipal Middle School, Chengalpattu West Facing 2nd Std class Rooom","1. Chengalpattu, Ward Thattan Mali Street, 999. OVERSEAS ELECTORS"
364,"Vadamalai Municipal Middle School, Chengalpattu West Facing 3rd Std class Rooom","1. Chengalpattu (M), Ward 10 Thattan Malai Street, 2. Chengalpattu, Ward 9 KK 1st street, 999. OVERSEAS ELECTORS"
365,"Vadamalai Municipal Middle School, Chengalpattu East Facing 4th Std","1. Chengalpattu, Ward 9 KK 2nd street, 2. Chengalpattu, K.k.Nagar, 999. OVERSEAS ELECTORS"
366,"Vadamalai Municipal Middle School, ICDS, Chengalpattu East Facing 1st Std","1. Chengalpattu (M), Ward 11 Sundara Vinayagar Koil 1st Street, 2. Chengalpattu, Ward11 Sundara vinayaga koil 2nd street, 3. Chengalpattu, Ward 11 Sundara vinayaga koil 3rd street, 4. Chengalpattu, Ward 9 Kalaignar Karunanithi St, 999. OVERSEAS ELECTORS"
367,"Vadamalai Municipal Middle School, ICDS, Chengalpattu West Facing 5th Std","1. Chengalpattu, Ward 11 Vedappar St Main Road, 2. Chengalpattu, Ward 11 Vedappar 1st Street, 3. Chengalpattu (M), Ward 11 Vedappar 2nd Street, 4. Chengalpattu, Ward 11 Vedappar IIIrd St, 5. Chengalpattu (M), Ward 11 Vedappar 4th Street, 6. Chengalpattu, Ward 11 Vedappar 5th St, 999. OVERSEAS ELECTORS"
368,"St. Colombus Higher Secondary School, Chengalpattu","1. Chengalpattu (M), Ward 13 Gandhi Salai, 2. Chengalpattu, Ward 13 Gandhi Road 1st st, 3. Chengalpattu, Ward 13 Gadhi Road 2nd st, 4. Chengalpattu, Ward 13 Gandhi salai Malai Poonga, 999. OVERSEAS ELECTORS"
369,"St. Colombus Higher Secondary School, Chengalpattu","1. Chengalpattu, Ward 12 geevanandam 1st st, 2. Chengalpattu, Ward 12 Geevanandam 2nd St, 3. Chengalpattu, Ward 12 Geevanandam 3rd St, 4. Chengalpattu, Ward 12 Chunnambhukara St, 5. Chengalpattu, Ward 12 Karuppu Chetti Kulam, 999. OVERSEAS ELECTORS"
370,"CSI Alison Primary School, Chengalpattu West Facing","1. Chengalpattu, Ward 13 sundaramoorthy vinayagar koil st, 999. OVERSEAS ELECTORS"
371,"CSI Alison Primary School, Chengalpattu West Facing 5th Std","1. Chengalpattu, Ward 13 Anna Salai, 999. OVERSEAS ELECTORS"
372,"St.Joseph Primary School, Tamil Medium, Vedachala Nagar, Chengalpattu North Facing 2nd Std","1. Chengalpattu, Ward 14 rajaji st, 2. Chengalpattu, Ward 14 Periyar St, 3. Chengalpattu, Ward 14 Kulunthiamman Koil St, 4. Chengalpattu, Ward 17 Eshwaran Koil St, 5. Chengalpattu, Ward 17 V.O.C. St, 6. Chengalpattu, Ward 14 Periyar St 1st Cross St, 7. Chengalpattu, Ward 14 Periyar St 2nd Cross St, 8. Chengalpattu, Ward 14 Periyar St 3rd Cross St, 9. Changalpattu (M), Ward 1 Pariyachati Street, 999. OVERSEAS ELECTORS"
373,"St. Joseph's Primary School, Chengalpattu East facing west side buildings","1. Chengalpattu, Ward 14 rajaji st, 2. Chengalpattu, Ward 15 Pilliyar Kulam, 3. Chengalpattu, Ward 15 Ciment G.S.T. Road, 4. Chengalpattu, Ward 15 Railway Colony, 5. Chengalpattu, Ward 15 Thimmaraja kulam, 999. OVERSEAS ELECTORS"
374,"St.Joseph Primary School, Tamil Medium, Vedachala Nagar, Chengalpattu North Facing","1. Chengalpattu, Ward 16 cn mahadevan st, 2. Chengalpattu, Ward 16 Counsilar Devarasanar St, 3. Chengalpattu, Ward 16 Varadhanar St, 999. OVERSEAS ELECTORS"
375,"St.Joseph Primary School, Tamil Medium, Vedachala Nagar, Chengalpattu North Facing 2nd Std","1. Chengalpattu, Ward 16 Chairman Ekambaranar St, 2. Chengalpattu, Ward 16 Devadas St, 3. Chengalpattu, Ward 16 Azhagesan Street, 999. OVERSEAS ELECTORS"
376,"St.Joseph Primary School, Tamil Medium, Vedachala Nagar, Chengalpattu North Facing 2nd Std","1. Chengalpattu, Ward 17,7 periya manikkara st, 999. OVERSEAS ELECTORS"
377,"Sri Ramakrishna Mission Vidhayalaya Girls Higher Sec. School, Chengalpattu South Facing","1. Chengalpattu, Ward 18 illupai thoppu, 2. Chengalpattu, Ward 22 Ragavanar St, 999. OVERSEAS ELECTORS"
378,"Sri Ramakrishna Mission Vidhayalaya Girls Higher Sec. School, Chengalpattu South Facing","1. Chengalpattu, Ward 17,18 chinna maniakkara st, 999. OVERSEAS ELECTORS"
379,"CSI Alison Girls Higher Sec. School, Chengalpattu East Facing","1. Chengalpattu, -ward 19 navalar nedunchelian st, 2. Chengalpattu, Ward 19 Angalamman Koil St, 999. OVERSEAS ELECTORS"
380,"CSI Alison Girls Higher Sec. School, Chengalpattu East Facing 7th Std","1. Chengalpattu, Ward 19 Thirupur Kumaran St, 2. Chengalpattu, Ward 19 Kalaivanar N.S.K St, 3. Chengalpattu, Ward 19 Anna Salai, 4. Chengalpattu, MATHURAIVEERANKOVIL ST, 5. Chengalpattu, Old GST Road, 999. OVERSEAS ELECTORS"
381,Arignar Anna Municipal Boys High School West Facing,"1. Chengalpattu, Ward 20,22 gandhi salai, 999. OVERSEAS ELECTORS"
382,Arignar Anna Municipal Boys High School West Facing 7th Std,"1. Chengalpattu, Ward 20 gangai amman koil st, 2. Chengalpattu, Ward 21 Murugesanar St, 3. Chengalpattu, Ward 20 Karpoora Chetti Kulam, 999. OVERSEAS ELECTORS"
383,"Aringer Anna Government Boys High School, Anna Salai, Chengalpattu(old) North Facing","1. Chengalpattu, Ward 19 anna salai, 2. Chengalpattu, Ward 19 Kuppusamy St, 999. OVERSEAS ELECTORS"
384,"Aringer Anna Government Boys High School, Anna Salai, Chengalpattu(old) South Facing","1. Chengalpattu, Ward 22 kamarajar st, 2. Chengalpattu, Ward 22 Ma.Po.Ci. Nagar, 3. Chengalpattu, Ward 28 Gandhi Salai, 4. Chengalpattu, ANNA SALI, 999. OVERSEAS ELECTORS"
