Sl. No,Polling Station No,SELVARAJ.V Jananayaga Katchi Indiya,ROHINI.T Katchi Tamilar Naam,SANKAR.P Independent,CHANDRASEKARAN. C Independent,THIYAGARAJAN.C Independent,DINESH.C Independent,DURAIRAJ.S Independent,PRASATH.S Independent,MUTHUSAMY.C Independent,RANCHITH.C Independent,RAMESH.R Independent,RAMASAMY.K.V Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
154,122,206,411,1,8,36,0,8,0,0,0,0,0,0,0,0,670,0,5,675,0
155,123,287,287,3,2,53,2,2,0,0,0,0,1,0,1,3,641,0,9,650,0
156,124,335,274,0,5,32,2,19,0,0,0,1,0,1,0,3,672,0,9,681,0
157,125M,168,176,1,1,44,0,4,0,0,0,0,1,1,1,0,397,0,2,399,0
158,125A(W),226,194,0,1,33,0,8,0,0,0,1,0,0,2,1,466,0,13,479,0
159,126,94,119,1,0,7,0,14,0,0,0,0,0,0,0,0,235,0,4,239,0
160,127M,163,327,0,1,15,0,3,0,0,0,0,0,0,0,0,509,0,6,515,0
161,127A(W),226,304,0,0,9,0,0,0,0,0,0,0,0,0,0,539,0,2,541,0
162,128,379,262,1,1,23,0,10,0,0,0,0,1,0,1,2,680,0,12,692,0
163,129,271,297,1,4,29,0,6,0,0,0,0,0,0,0,1,609,0,8,617,0
164,130,153,370,5,18,20,0,16,0,1,0,0,0,0,0,3,586,0,6,592,0
165,131,284,333,3,5,45,0,32,0,0,0,0,1,0,0,2,705,0,10,715,0
166,132M,191,235,1,1,17,0,12,0,0,0,0,0,0,0,0,457,0,3,460,0
167,132A(W),227,243,1,0,8,0,11,0,0,0,0,0,0,1,10,501,0,10,511,0
168,133M,164,206,1,1,16,0,2,0,0,0,0,0,0,0,1,391,0,2,393,0
169,133A(W),206,209,1,0,6,0,5,0,0,0,0,0,0,0,4,431,0,11,442,0
170,134M,172,203,0,4,18,1,39,0,0,0,0,0,0,0,0,437,0,5,442,0
171,134A(W),216,250,2,0,9,2,31,0,0,0,0,0,0,0,2,512,0,7,519,0
172,135,221,289,1,0,52,1,15,0,0,0,0,0,0,0,1,580,0,6,586,0
173,136,200,203,2,0,42,2,8,0,0,0,1,1,0,0,0,459,0,5,464,0
174,137,204,300,3,0,24,0,9,0,0,0,1,1,0,1,1,544,0,4,548,0
175,138,102,194,2,1,26,0,100,2,1,3,0,1,0,0,1,433,0,1,434,0
176,139,158,399,2,2,41,1,37,0,0,0,0,0,0,1,3,644,0,6,650,0
