Sl. No,Polling Station No,G.HARI ADMK,D.KRISHNAMURTHY DMDK,S.CHANDRAN DMK,N.MAGENDIRAN BSP,L.AKILA NTK,MALAI M.D.THANIGAI IJK,S.MANICKAM AIJMK,M.HARI IND,K.CHANDRAN IND,T.CHANDRAN IND,SURESHA.J.IND,S.SHETTU IND,D.PAULRAJ IND,VIJAYANP.V.IND,Total Valid Votes,Rejected Votes,Total Votes
348,291,385,2,182,1,7,0,0,1,0,0,0,0,3,2,583,0,4,587
349,292M,147,6,217,2,18,4,0,0,0,0,0,0,0,0,394,0,9,403
350,292A(W),160,4,212,1,3,0,0,1,0,0,0,0,1,0,382,0,5,387
351,293,243,10,312,0,19,3,0,0,0,0,0,0,1,1,589,0,5,594
352,294,242,13,463,3,47,6,0,0,1,0,0,0,2,1,778,0,7,785
353,295M,149,9,240,0,31,0,0,1,0,0,0,0,0,0,430,0,2,432
354,295A(W),164,8,232,2,13,1,0,3,0,0,0,0,3,0,426,0,9,435
355,296M,148,22,202,0,23,2,0,1,0,0,0,0,0,0,398,0,4,402
356,296A(W),168,11,190,0,15,1,0,0,0,0,0,0,0,1,386,0,3,389
357,297,188,12,322,2,35,4,1,1,0,1,0,0,2,0,568,0,5,573
358,298,184,5,283,0,35,3,0,0,0,0,1,0,1,0,512,0,16,528
359,299,164,3,308,2,23,2,1,0,0,0,0,0,1,0,504,0,4,508
360,300,138,9,226,0,22,5,0,2,0,0,0,0,0,0,402,0,6,408
361,301,186,13,310,1,26,2,1,0,0,0,0,0,0,1,540,0,0,540
362,302,168,15,391,1,23,0,0,1,0,0,0,0,2,0,601,0,7,608
363,303,211,12,360,2,20,1,0,1,0,0,0,0,11,1,619,0,5,624
364,304,206,4,223,0,31,3,0,1,0,0,0,0,0,1,469,0,5,474
365,305M,167,8,236,0,43,1,1,0,0,1,0,0,0,0,457,0,4,461
366,305A(W),222,8,213,0,24,1,0,1,0,1,0,0,6,3,479,0,7,486
367,306M,132,3,235,0,20,1,0,0,0,0,0,0,2,0,393,0,4,397
368,306A(W),189,4,221,2,8,2,1,0,1,0,0,0,7,0,435,0,3,438
369,307M,174,8,211,0,32,1,0,0,0,0,1,0,1,0,428,0,2,430
370,307A(W),223,5,202,1,15,2,0,2,0,1,0,0,3,0,454,0,2,456
371,308,248,10,391,2,22,5,1,0,0,0,0,0,1,1,681,0,5,686
372,309M,103,7,240,2,33,0,0,0,0,0,0,0,1,0,386,0,1,387
373,309A(W),126,4,288,3,21,0,0,1,0,0,0,0,1,0,444,0,1,445
374,310,174,10,266,3,19,2,0,0,0,0,0,1,0,0,475,0,6,481
375,311M,161,5,201,1,46,2,0,0,0,0,0,0,1,1,418,0,2,420
376,311A(W),184,7,213,1,22,0,0,2,0,0,0,1,4,2,436,0,6,442
377,312M,145,7,210,1,23,7,0,2,1,0,2,0,0,1,399,0,5,404
378,312A(W),163,3,209,1,13,5,0,0,0,0,1,0,0,1,396,0,2,398
379,313,230,15,460,4,36,7,0,4,0,1,0,0,1,1,759,0,10,769
380,314M,124,10,215,1,26,1,0,0,0,0,0,0,0,0,377,0,5,382
381,314A(W),116,9,236,2,7,0,0,2,0,0,0,1,1,0,374,0,0,374
382,315,200,6,398,1,34,1,0,0,0,0,1,0,1,0,642,0,6,648
383,316,193,1,314,1,14,4,0,1,0,0,1,0,2,1,532,0,1,533
384,317M,192,10,320,2,29,3,0,0,0,0,0,0,2,0,558,0,5,563
385,317A(W),213,8,331,1,16,2,0,0,0,1,0,0,0,2,574,0,3,577
386,318,316,12,352,4,38,3,0,0,0,0,0,0,1,0,726,0,6,732
387,319M,130,5,165,1,26,2,0,0,0,0,0,0,0,0,329,0,2,331
388,319A(W),135,6,161,1,11,1,1,0,0,0,0,0,1,0,317,0,0,317
389,320M,124,3,207,1,30,3,0,1,0,0,0,0,0,1,370,0,3,373
390,320A(W),132,5,206,0,13,1,0,0,0,0,0,0,0,0,357,0,1,358
391,321,138,3,356,0,22,4,0,2,0,0,1,0,3,2,531,0,10,541
392,322,159,6,238,1,39,3,0,0,0,0,0,0,0,0,446,0,4,450
393,323,257,9,346,5,33,0,0,0,0,1,0,0,10,3,664,0,5,669
394,324,267,3,366,0,62,1,0,2,1,0,0,0,6,2,710,0,4,714
395,325,359,10,259,3,34,0,0,3,0,0,0,1,1,1,671,0,3,674
396,326,292,15,317,2,59,1,0,2,0,0,1,1,2,1,693,0,9,702
397,327,306,8,283,1,41,2,0,1,0,0,0,0,0,0,642,0,3,645
398,328,365,16,320,2,54,2,3,2,0,0,0,0,1,0,765,0,4,769
399,329,368,14,372,3,49,1,0,4,0,0,1,5,5,2,824,0,11,835
