Sl. No,Polling Station No,C Raghu Party Samaj Bahujan,Hussain H Bakshq Abid of (Athawale) Party Republican India,L M Ravi Katchi Makkal Sakthi Desiya,A V A Kassali Makkal Katchi Paatali,Tabrez Party Sultan Tipu,K Idris Mohammed Jananayaka Katchi Indiya,Rioz Mohamed Katchi Makkal Arasiyal Anaithu,M S Jayasimmaraja Katchi Tamilar Naam,K Anandan Independent,C Kannan Independent,P Ganesan Independent,S Krishnadasan Independent,S Chandranathan Independent,Srinivasan Independent,H Kumar Senthil Independent,P Dilliraj Independent,Nagarajan Independent,K Balaji Independent,C Balaji Independent,E Manikandan Independent,T Gopal Madhana Independent,Hussain Mohammed Independent,Muniyandi Independent,E Ravi Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
92,58,188,3,0,0,4,89,0,13,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,331,0,4,335,0
93,58A,173,1,0,0,5,86,0,15,1,21,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,304,0,5,309,0
94,59,309,6,1,2,5,179,2,21,0,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,573,0,9,582,0
95,60,254,2,0,0,2,61,1,10,1,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,353,0,4,357,0
96,60A,281,4,2,1,3,59,0,11,0,14,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,377,0,4,381,0
97,61,281,0,0,1,2,49,0,11,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,371,0,2,373,0
98,61A,285,1,0,0,2,59,0,7,0,7,0,0,1,0,1,1,1,1,2,0,0,1,0,1,3,0,373,0,3,376,0
99,62,293,1,0,0,3,20,1,5,1,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,342,0,5,347,0
100,62A,309,2,0,0,1,13,0,2,0,10,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,341,0,1,342,0
101,63,300,1,0,1,11,31,2,12,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,386,0,5,391,0
102,63A,294,2,0,0,4,26,0,5,0,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,342,0,3,345,0
103,64,218,2,0,0,3,49,2,13,0,15,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,305,0,5,310,0
104,64A,224,1,0,0,2,37,1,5,0,12,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,286,0,4,290,0
