Sl. No,Polling Station No,S Rajaram,M Muthulakshmi,Abubacker K.A.M. Muhammed,emaN M Ayyadurai,udanlimaT,eht R Ayyadurai,srotcelE T Raja Avani,evitalsigeL K Krishnan Radha,R Ponnusamy Raja,A Ganesan,R Krishnan,ITRAP A Sankar,R Subramanian Siva,S Seenivasan,rullanayadaK R Poologaraj,K Mariduraipandian,S Muruganantham,P Raji,G Velammal,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
69,51A(W),234,6,49,1,17,41,0,1,0,1,2,0,0,0,0,4,1,0,1,0,3,361,0,4,365,0
70,52,226,7,44,1,18,52,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,351,0,3,354,0
71,53,249,7,61,2,58,153,2,1,0,1,1,0,0,0,1,2,1,0,0,0,0,539,0,8,547,0
72,54M,195,10,40,1,41,86,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,378,0,4,382,0
73,54A(W),237,7,51,1,22,82,1,0,1,0,3,0,0,1,1,3,1,0,2,1,2,416,0,2,418,0
74,55,376,7,10,4,51,91,2,1,0,0,0,0,0,0,0,5,1,0,0,1,1,550,0,6,556,0
75,56,321,15,49,1,65,257,1,0,0,0,0,0,0,0,1,1,1,0,1,0,3,716,0,3,719,0
76,57,448,15,173,1,24,34,0,0,0,0,0,0,0,1,0,3,14,0,6,1,0,720,0,1,721,0
77,58,231,6,11,0,32,177,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,458,0,3,461,0
78,59,207,9,8,0,18,154,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,401,0,1,402,0
79,60M,219,4,24,1,41,142,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,438,0,4,442,0
80,60A(W),206,8,23,3,34,141,1,0,0,1,1,0,0,1,2,2,2,0,0,1,1,427,0,5,432,0
81,61,382,6,44,0,39,200,0,1,0,0,1,1,0,0,3,3,1,1,1,0,2,685,0,3,688,0
82,62,148,3,40,0,24,337,0,0,0,1,2,0,0,0,0,3,4,0,2,0,0,564,0,4,568,0
83,63M,42,1,36,0,10,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,382,0,2,384,0
84,63A(W),48,1,29,0,3,318,0,1,0,0,2,0,1,0,0,0,1,1,0,0,0,405,0,1,406,0
85,64,48,0,7,0,5,48,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,113,0,3,116,0
86,65M,310,2,45,0,22,61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,441,0,2,443,0
87,65A(W),325,4,49,0,19,60,0,0,1,0,0,0,0,0,1,2,3,0,2,1,0,467,0,3,470,0
88,66,184,3,108,0,10,44,0,0,0,0,1,0,0,2,1,3,3,0,2,1,1,363,0,0,363,0
89,67,224,3,33,1,31,215,1,0,1,3,1,0,0,2,8,6,1,0,0,2,1,533,0,6,539,0
90,68,300,4,266,0,16,45,0,2,0,0,0,0,0,4,0,3,3,1,12,3,0,659,0,2,661,0
91,69,126,2,53,1,12,40,0,0,0,0,0,0,0,2,0,2,0,0,2,1,0,241,0,2,243,0
92,70,389,4,129,0,36,203,0,0,0,0,0,0,0,1,0,6,9,1,2,0,1,781,0,4,785,0
93,71,222,8,15,1,39,296,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,585,0,4,589,0
94,72,199,4,122,0,20,50,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,399,0,2,401,0
95,73,347,11,48,0,31,126,0,0,0,0,0,3,0,0,0,9,2,0,3,1,6,587,0,3,590,0
96,74,397,12,68,0,29,98,0,1,0,1,0,1,0,1,1,3,3,1,0,1,3,620,0,3,623,0
97,75,243,0,98,0,59,257,0,0,0,2,4,0,2,1,2,2,2,0,2,0,3,677,0,1,678,0
98,76,213,5,31,1,25,59,1,0,0,0,0,0,0,0,0,0,4,0,1,1,1,342,0,2,344,0
99,77,229,3,216,1,7,37,2,0,0,0,0,0,0,1,0,1,0,0,3,0,1,501,0,3,504,0
100,78M,119,0,112,3,61,115,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,415,0,1,416,0
101,78A(W),145,4,125,1,17,108,0,0,2,0,2,1,1,3,1,0,0,0,0,4,0,414,0,2,416,0
102,79,203,8,109,2,24,73,0,0,0,1,0,0,1,2,2,2,0,1,4,0,0,432,0,2,434,0
103,80,306,5,84,5,20,184,7,1,1,0,1,1,0,1,0,3,2,1,3,3,2,630,0,6,636,0
104,81,138,2,211,0,3,22,0,0,1,0,0,0,0,1,0,4,2,0,4,1,0,389,0,0,389,0
105,82,186,3,391,0,3,113,1,0,0,0,0,1,0,3,3,0,0,0,8,0,1,713,0,1,714,0
106,83,141,4,214,3,34,196,3,0,1,0,2,0,0,2,1,5,2,1,2,0,1,612,0,0,612,0
107,84,24,0,38,0,7,215,2,1,0,0,2,0,0,2,0,1,0,0,0,0,0,292,0,3,295,0
108,85M,41,1,78,0,19,196,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,338,0,0,338,0
109,85A(W),34,1,105,0,10,221,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,377,0,1,378,0
110,86,87,3,93,2,19,270,3,0,0,1,2,0,0,0,1,1,2,1,3,1,0,489,0,7,496,0
111,87,109,4,180,1,16,148,2,0,0,0,0,1,1,1,0,2,0,0,1,0,1,467,0,1,468,0
112,88M,76,2,54,1,18,176,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,332,0,2,334,0
113,88A(W),84,0,57,0,3,218,2,0,0,0,1,1,0,0,0,1,2,0,4,0,3,376,0,1,377,0
114,89,201,8,66,0,26,190,0,2,1,0,1,0,0,2,1,4,2,0,1,0,1,506,0,1,507,0
115,90,76,4,101,0,15,193,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,395,0,1,396,0
116,91M,123,1,93,1,32,70,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,326,0,1,327,0
117,91A(W),136,1,108,2,8,82,1,1,0,0,2,2,0,3,3,4,1,0,1,0,0,355,0,1,356,0
118,92M,101,0,188,1,9,30,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,334,0,0,334,0
119,92A(W),108,6,273,1,8,25,0,0,1,0,1,0,0,10,3,1,1,0,4,1,0,443,0,1,444,0
120,93M,296,2,45,0,17,126,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,489,0,1,490,0
121,93A(W),295,2,42,0,12,129,3,0,0,0,1,1,0,0,1,6,2,0,0,0,0,494,0,0,494,0
122,94,96,1,25,0,28,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,0,1,644,0
123,95M,187,7,37,0,22,146,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,404,0,2,406,0
124,95A(W),222,5,40,1,15,160,1,0,0,0,1,0,1,1,1,5,2,1,1,1,1,459,0,1,460,0
125,96M,297,3,21,0,13,55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,390,0,2,392,0
126,96A(W),339,3,35,0,16,56,1,0,0,0,1,0,0,1,1,6,0,1,0,0,0,460,0,0,460,0
127,97,74,2,52,0,8,297,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,437,0,3,440,0
128,98,532,3,77,2,22,126,1,0,0,0,0,2,0,1,1,4,4,2,1,0,7,785,0,4,789,0
129,99M,37,0,29,0,10,274,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,354,0,1,355,0
130,99A(W),29,3,35,1,12,381,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,467,0,2,469,0
131,100M,26,0,30,0,23,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,328,0,2,330,0
132,100A(W),25,2,30,1,8,376,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2,448,0,2,450,0
133,101,30,0,49,0,7,453,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,546,0,0,546,0
134,102M,16,0,35,0,8,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,314,0
135,102A(W),16,0,43,0,7,348,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,418,0,0,418,0
136,103,24,1,30,0,16,571,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,645,0,1,646,0
137,104,22,0,43,0,3,410,0,0,0,1,1,1,0,1,1,0,0,0,2,0,2,487,0,4,491,0
138,105,23,1,58,0,21,526,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,635,0,0,635,0
139,106M,14,0,41,0,15,272,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,345,0,0,345,0
140,106A(W),15,0,61,1,8,405,1,0,0,0,4,0,1,2,0,1,0,0,1,2,2,504,0,2,506,0
141,107,21,0,43,2,17,322,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,412,0,5,417,0
142,108,329,0,13,0,7,135,0,0,0,1,0,0,0,2,5,1,3,2,0,1,1,500,0,3,503,0
143,109,327,6,38,0,15,196,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,588,0,1,589,0
144,110,164,4,68,1,41,112,0,0,0,1,0,0,0,1,2,2,7,0,4,6,2,415,0,2,417,0
145,111,221,2,81,3,31,208,3,0,0,0,2,0,0,1,4,4,3,2,2,1,2,570,0,3,573,0
146,112,182,4,76,1,41,249,2,0,1,2,9,2,0,3,4,2,2,0,1,0,1,582,0,0,582,0
147,113,380,8,256,2,23,101,1,2,0,0,0,0,1,1,1,6,2,1,3,1,0,789,0,4,793,0
148,114,162,1,122,3,9,114,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,419,0,2,421,0
149,115,154,2,171,1,8,203,1,0,0,0,0,0,0,2,0,0,1,0,1,1,0,545,0,3,548,0
150,116,200,1,174,2,21,120,1,1,0,0,1,2,2,1,0,4,0,0,0,0,3,533,0,2,535,0
151,117,227,7,80,0,39,297,0,0,1,0,0,0,0,1,1,3,2,0,0,1,2,661,0,0,661,0
152,118,172,5,161,1,17,247,0,1,1,0,2,1,0,4,2,0,1,0,4,2,4,625,0,1,626,0
153,119M,143,1,110,0,11,73,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,342,0,1,343,0
154,119A(W),192,7,106,0,7,95,2,0,1,1,0,0,1,1,2,2,0,0,0,1,5,423,0,3,426,0
155,120,66,2,72,2,11,342,1,0,0,1,1,0,0,1,0,3,1,0,0,0,4,507,0,2,509,0
156,121M,90,0,87,1,20,177,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,381,0,1,382,0
157,121A(W),157,1,62,0,10,227,3,0,0,0,0,0,1,2,0,2,1,1,1,3,2,473,0,3,476,0
158,122,140,0,289,0,9,60,2,0,0,0,0,0,1,9,1,4,2,0,4,1,0,522,0,3,525,0
159,123M,142,0,252,0,6,37,1,0,0,0,1,0,0,0,0,0,0,3,2,1,2,447,0,1,448,0
160,123A(W),215,3,227,1,7,33,1,2,0,0,1,0,1,2,2,5,3,0,1,0,0,504,0,0,504,0
161,124,264,3,138,1,7,99,1,0,1,0,3,0,0,7,1,4,4,0,2,0,0,535,0,2,537,0
162,125,341,3,229,0,12,35,1,0,0,1,0,1,0,5,3,6,7,0,8,2,1,655,0,3,658,0
163,126,68,0,70,1,9,240,0,0,0,0,2,1,0,4,1,2,1,0,1,0,3,403,0,2,405,0
164,127,213,2,152,0,27,237,0,0,0,0,1,0,0,0,0,1,0,1,7,2,0,643,0,6,649,0
165,128M,223,5,69,0,63,93,1,1,0,0,0,0,0,1,0,3,1,1,1,0,0,462,0,3,465,0
166,128A(W),250,12,61,2,35,80,1,0,0,1,1,0,1,1,0,1,4,2,2,1,1,456,0,3,459,0
167,129,434,7,174,0,46,150,1,0,0,0,1,0,0,1,3,4,3,0,2,2,1,829,0,9,838,0
168,130,338,3,72,1,20,153,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,593,0,5,598,0
169,131,197,9,71,1,40,257,2,0,0,0,1,0,0,0,0,2,0,0,3,0,2,585,0,2,587,0
170,132,183,3,150,1,17,164,1,1,0,0,0,0,0,2,0,1,1,0,2,0,0,526,0,2,528,0
171,133M,153,8,132,0,23,93,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,413,0,2,415,0
172,133A(W),152,8,153,0,8,100,1,0,0,1,1,0,2,1,1,1,1,0,1,0,2,433,0,2,435,0
173,134,409,5,92,2,47,116,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,677,0,4,681,0
174,135,204,6,63,1,11,151,2,0,0,0,0,0,0,1,2,3,3,1,1,0,0,449,0,4,453,0
175,136,318,3,42,1,23,146,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,537,0,2,539,0
