Sl. No,Polling Station No,Sundararajan .S AIADMK,DMKK.M.Rajesh,KTMT C. Sivalingam,K. Sengodan MNM,A. Chellamuthu AMMK,PIMK.Settu,S. Shobana NTK,IPG P. Ravikumar,A. Arokiasami IND,M. Gunasekaran IND,S. Gopalakrishnan IND,V. Sathishkumar IND,R. Sengoten IND,C. Durairaj IND,M. Palaniyappan IND,M. Bakkiyamani IND,K. Prabhu IND,P. Manivel IND,P. Vijayakumar IND,"INDK.Vijayan,@Viji",T. Vengadachalam IND,I. Jaganathan IND,M. Jagannathan IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
49,38,270,274,7,7,2,1,30,3,2,2,0,1,0,1,1,4,2,1,0,0,0,0,0,608,0,0,608
50,39,269,417,4,4,7,1,31,4,2,1,0,1,0,0,1,3,1,0,0,0,0,0,0,746,3,0,749
51,40,187,246,2,4,5,1,17,1,0,0,2,1,0,0,2,2,0,1,0,0,0,0,0,471,2,0,473
52,41,277,495,5,8,6,0,28,3,0,1,1,0,3,2,0,2,7,2,1,0,1,1,1,844,2,0,846
53,42,280,346,4,10,4,0,46,2,0,0,2,0,4,2,1,4,1,2,0,1,0,1,2,712,2,0,714
54,43,263,301,2,4,1,1,19,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,596,7,0,603
55,44,335,212,2,3,0,0,14,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,573,2,0,575
56,45,394,253,2,4,2,0,15,1,2,0,0,0,0,0,1,4,2,1,0,0,0,0,1,682,3,0,685
57,46M,241,149,1,7,1,0,47,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,451,7,0,458
58,46A(W),265,154,0,4,0,0,17,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,445,2,0,447
59,47,228,318,2,5,0,0,22,0,2,0,0,0,0,1,2,2,0,2,0,0,0,0,1,585,2,0,587
60,48,366,264,2,3,1,0,19,1,1,1,1,1,0,1,1,5,1,1,0,0,0,0,1,670,2,0,672
61,49M,260,167,1,4,1,1,53,0,0,0,0,0,0,1,0,2,1,1,0,0,0,1,1,494,2,0,496
62,49A(W),297,168,2,5,1,0,19,2,0,0,0,0,1,1,1,7,0,0,0,0,0,0,0,504,2,0,506
63,50,192,234,6,4,0,0,39,2,3,0,1,0,1,1,7,1,0,0,0,0,0,0,2,493,3,0,496
64,51,493,148,4,6,0,0,14,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,670,6,0,676
65,52,206,305,1,6,1,2,40,0,0,0,0,0,0,0,3,2,1,1,1,0,0,0,0,569,5,0,574
66,53M,181,235,1,6,6,0,37,0,0,1,1,0,0,2,1,3,2,0,0,0,0,1,1,478,4,0,482
67,53A(W),212,235,2,6,9,0,13,2,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,486,1,0,487
68,54,352,354,7,3,0,0,50,1,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,773,2,0,775
69,55,177,242,4,3,3,0,25,0,0,0,0,0,1,0,3,3,0,1,0,0,0,0,1,463,3,0,466
70,56,484,302,4,15,10,1,39,0,0,0,0,0,0,1,8,4,0,3,0,0,0,1,1,873,8,0,881
71,57,341,173,2,20,2,1,27,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,569,7,0,576
72,58,315,233,2,4,0,0,69,1,1,1,0,1,0,0,0,3,0,2,0,0,0,0,0,632,5,0,637
73,59,241,501,4,5,0,0,67,0,0,0,0,0,0,1,2,6,2,2,0,0,0,0,1,832,2,0,834
74,60,420,312,2,7,1,0,39,0,1,0,0,0,0,0,2,4,4,7,0,0,0,0,2,801,6,0,807
75,61,273,347,2,5,2,2,57,3,1,0,4,0,1,1,7,5,0,1,2,0,0,1,1,715,11,0,726
