Sl. No,Polling Station No,Desiya Dravida Murpokku Kazhagam HTANAMU .R,D. PERIYASAMY Party Janata Bharatiya,P. RAVICHANDRAN Party Samaj Bahujan,E. ARULDOSS Sakthi Katchi Makkal Desiya,Naam Tamilar Katchi IHCTAMAK .N,R. PRABAKARAN Maiam Needhi Makkal,S. AYYASAMY Independent,M. KARUPPAN Independent,Independent JARAMAK .K,V. KOLANJINATHAN Independent,C. SEENUVASAN Independent,S. SUMATHI Independent,M. NATARAJAN Independent,P. PALANIAMMAL Independent,Above the of None Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
285,230,692,6,169,291,0,0,38,7,1,1,0,0,0,0,3,1,4,521,0,521,0
286,231,769,19,319,204,3,0,38,0,0,0,0,0,0,0,2,1,2,588,0,588,0
287,232,734,12,274,256,2,2,31,2,1,1,0,0,1,1,4,3,3,593,0,593,0
288,233,737,13,154,355,3,0,35,3,0,0,0,2,0,3,7,0,0,575,0,575,0
289,234,737,8,181,303,0,1,57,3,0,0,0,1,0,1,2,2,5,564,0,564,0
290,235,1039,9,492,191,3,0,26,0,0,2,1,1,1,1,6,10,6,749,0,749,0
291,236,841,13,237,313,1,0,27,3,0,1,1,1,3,2,0,1,6,609,0,609,0
292,237M,538,13,159,182,4,1,25,5,3,2,3,2,2,4,3,3,3,414,0,414,0
293,237 A(W),617,4,235,238,3,1,24,2,0,2,0,0,1,0,6,1,2,519,0,519,0
294,238,697,10,161,319,2,1,29,4,0,0,2,0,2,0,2,2,5,539,0,539,0
295,239,772,7,374,164,4,0,18,0,3,0,0,0,0,1,2,0,2,575,0,575,0
296,240,586,4,297,160,1,0,24,5,0,0,0,0,1,0,2,0,0,494,0,494,0
297,241,765,9,348,187,1,0,40,0,1,1,1,0,0,0,3,2,5,598,0,598,0
298,242M,509,7,95,216,1,0,22,2,0,1,0,0,1,1,0,2,2,350,0,350,0
299,242 A(W),555,6,119,267,1,0,14,2,0,1,0,0,0,1,2,0,2,415,0,415,0
300,243,735,40,270,232,2,1,27,3,1,1,0,0,0,1,1,1,8,588,0,588,0
301,244,613,27,134,253,3,1,22,2,1,1,0,1,1,3,3,1,8,461,0,461,0
302,245,749,9,353,209,1,0,15,1,3,1,0,0,2,0,1,1,2,598,0,598,0
303,246,641,24,223,219,1,0,23,5,0,2,0,0,0,2,2,1,3,505,0,505,0
304,247M,541,11,120,223,0,0,32,2,1,3,0,0,0,0,0,0,1,393,0,393,0
305,247 A(W),597,8,111,313,1,2,25,1,0,2,1,0,1,1,7,4,3,480,0,480,0
