Sl. No,Polling Station No,AYITARAHB ATANAJ YTRAP NAHDARAVILAK.TAV,SIVA.PANJAVARNAM PARTY SAMAJ BAHUJAN,L.VENKATESAN KAZHAGAM MURPOKKU DRAVIDA DESIYA,SANKAR.S KATCHI THOZHILALARKAL VISWANATHADOSS THIYAGI VEERATH,SENTHILKUMAR.M KATCHI JANANAYAKA INDIYA,MURUGAN.S KATCHI TAMILAR NAAM,RAJINI.V.R MAKKAL NAADAALUM KATCHI,KATHIRAVAN.K INDEPENDENT,PRAKASH.A INDEPENDENT,MAHESH.M INDEPENDENT,MATHIVANAN.S INDEPENDENT,VIGNESH.M INDEPENDENT,JAYAVINDAN.G INDEPENDENT,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
195,162,80,0,209,92,2,7,15,0,0,1,0,0,0,3,409,0,4,413,0
196,162A,183,1,226,43,0,6,11,0,0,0,1,0,0,0,471,0,6,477,0
197,163,110,0,246,49,1,11,7,0,0,1,1,0,0,0,426,0,8,434,0
198,163A,78,0,189,38,1,18,15,0,0,1,0,0,0,1,341,0,4,345,0
199,164,80,1,201,42,1,9,16,0,0,1,0,0,2,1,354,0,6,360,0
200,164A,71,0,293,43,1,12,16,0,0,1,0,0,0,2,439,0,8,447,0
201,165,86,0,258,71,1,18,21,0,0,2,0,0,3,0,460,0,3,463,0
202,166,96,1,289,78,3,14,25,0,0,0,3,0,2,3,514,0,6,520,0
203,167,121,0,279,138,5,14,17,0,1,1,0,0,1,0,577,0,5,582,0
204,168,93,0,183,88,1,13,9,0,0,0,1,0,0,1,389,0,8,397,0
205,169,83,1,303,58,1,6,16,0,0,1,1,0,1,2,473,0,3,476,0
206,170,120,1,252,70,2,7,14,0,1,0,0,1,0,0,468,0,7,475,0
207,171,118,0,280,63,1,6,47,1,0,2,2,1,6,2,529,0,9,538,0
208,172,115,2,280,66,5,4,33,1,1,1,1,3,3,0,515,0,5,520,0
209,173,61,0,239,29,1,5,14,0,0,0,0,0,0,0,349,0,1,350,0
210,173A,52,0,284,35,1,4,10,0,0,1,0,0,3,0,390,0,0,390,0
211,174,10,0,253,21,0,0,20,0,0,0,0,0,1,0,305,0,0,305,0
212,175,43,0,273,18,1,3,21,0,0,0,0,0,0,0,359,0,1,360,0
213,175A,30,3,294,41,1,3,15,0,0,3,1,1,2,0,394,0,5,399,0
214,176,52,0,257,34,1,8,22,0,0,0,0,0,0,0,374,0,4,378,0
215,177,66,1,330,51,1,1,23,0,0,2,2,0,2,1,480,0,8,488,0
216,177A,49,0,329,40,0,1,18,1,2,2,1,2,3,2,450,0,4,454,0
217,178,73,1,287,60,2,9,16,0,0,0,0,0,2,0,450,0,3,453,0
218,178A,107,2,212,45,4,5,16,0,1,1,0,1,1,0,395,0,4,399,0
219,179,72,0,214,50,0,14,21,0,0,0,0,0,1,0,372,0,6,378,0
220,180,83,1,312,75,0,10,23,0,1,1,0,0,1,1,508,0,9,517,0
221,181,67,0,263,59,2,13,15,0,0,1,0,0,2,0,422,0,10,432,0
222,182,61,2,330,87,2,0,46,1,0,2,0,0,6,1,538,0,5,543,0
223,183,55,0,410,79,2,1,31,0,0,1,0,0,3,1,583,0,2,585,0
224,184,36,1,421,72,2,8,32,0,0,3,0,0,5,2,582,0,2,584,0
225,185,53,1,427,141,7,4,24,1,2,2,1,2,1,2,668,0,3,671,0
226,186,115,0,385,59,1,2,26,0,1,6,0,0,4,0,599,0,7,606,0
227,187,107,0,293,34,1,2,24,1,2,74,0,0,1,2,541,0,4,545,0
228,188,203,5,406,76,2,1,34,0,1,5,1,0,2,2,738,0,7,745,0
229,189,184,3,248,65,2,4,22,1,0,8,0,1,3,0,541,0,9,550,0
230,190,337,2,220,31,0,0,13,2,0,1,1,4,2,1,614,0,7,621,0
231,191,136,3,432,88,1,1,49,0,0,5,1,3,4,3,726,0,10,736,0
232,192,387,1,257,50,0,1,17,1,1,4,2,2,2,3,728,0,5,733,0
