Polling Station No.,Building,Polling Areas
32,"ST.THERASA MIDDLE SCHOOLEASTERN BUILDING, MAIN BUILDING VICKRAMASINGAPURAM","1.Vickramasingapuarm (M) Colony South Street , 2.Vickramasingapuarm (M) Colony Middle Street , 3.Vickramasingapuarm (M) Colony North Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
33,SENAIATHALAIVAR PRIMARY SCHOOLSOUTH BUILDING WESTERN PORTION VICKRAMASINGAPURAM,"1.Vickramasingapuarm (M) Vaithilingapuram North Street , 2.Vickramasingapuarm (M) Vaithialingapuram Road , 3.Vickramasingapuarm (M) Vaithialingapuram Main Road, Vaithilingapuram Middle Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
34,"SENAIATHALAIVAR PRIMARY SCHOOLSOUTH BUILDING EASTERN PORTION, VICKRAMASINGAPURAM","1.Vickramasingapuarm (M) Vaithiyalingapuram West Street , 2.Vickramasingapuarm (M) Vaithiyalingapuram South Street , 3.Vickramasingapuarm (M) Main Road , 4.Vickramasingapuarm (M) Ramalingapuram Middle Lane Street , 5.Vickramasingapuarm (M) Ramalingapuram East Street, Vaithialingapuram Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
35,SENAIATHALAIVAR HIGHER SECONDARY SCHOOLSOUTH BUILDING WESTERN PORTION VICKRAMASINGAPURAM,"1.Vickramasingapuarm (M) Vaithialingapuram Middle Street , 2.Vickramasingapuarm (M) Vaithialingapuram East Street , 3.Vickramasingapuarm (m) Pannimadasamy Kovil Street , 4.Vickramasingapuarm (M) Pannimadasamy Kovil North Street , 5.Vickramasingapuarm (M) Pannimadasamy Kovil South Street , 6.Vickramasingapuarm (M) Meenatchipuram, Chidambara Vinayagar Kovil Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
36,"SENAIATHALAIVAR HIGHER SECONDARY SCHOOLSOUTH BUILDING EASTERN PORTION, VICKRAMASINGAPURAM","1.Vickramasingapuarm (M) Salai Amman Kovil Street , 2.Vickramasingapuram (M) Devasahayapuram West Street , 3.Vickramasingapuram (M) Devasahayapuram North Street , 4.Vickramasingapuram (M) Devasahayapuram South Street , 5.Vickramasingapuram (M) Ramalingapuram North Sreet , 6.Vickramasingapuram (M) Ramalingapuram Middle Street , 7.Vickramasingapuram (M) Ramalingapuram South Street , 8.Vickramasingapuram (M) Ramalingapuram Main Street , 9.Vickramasingapuram (M) Ramalingapuram North Lane , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
37,P.L.W.A HR.SEC.SCHOOLSOUTHERN BUILDING ROOM.NO.12 VICKRAMASINGAPURAM,"1.Vickramasingapuram (M) Vickramasingapuram Main Road , 2.Vickramasingapuram (M) Poonthotta Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
38,P.L.W.A HR.SEC.SCHOOLNORTHERN PORTION ROOM.NO.4 SOUTHERN BUILDING VICKRAMASINGAPURAM,"1.Vickramasingapuram (M) Arunthathiyer Street , 2.Vickramasingapuram (M) Ambalavanapuram Periya Street , 3.Vickramasingapuram (M) Ganiyar Thoppu North Last Street , 4.Vickramasingapuram (M) Ganiyar Thoppu North Strreet, Poonthottam East Street, Gandhipuram Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
39,P.L.W.A HR.SEC.SCHOOLROOM.NO.7 SOUTHERN BUILDING VICKRAMASINGAPURAM,"1.Vickramasingapuram (M) Poonthottam Street , 2.Vickramasingapuram (M) Poonthotta East Street , 3.Vickramasingapuram (M) Gandhipuram Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
40,P.L.W.A HR.SEC.SCHOOLROOM.NO.8 SOUTHERN BUILDING VICKRAMASINGAPURAM,"1.Vickramasingapuram (M) Ambalavanapuram Main Road , 2.Vickramasingapuram (M) Ganiyar Thoppu Middle Street , 3.Vickramasingapuram (M) Ganiyar Thoppu South Street , 4.Vickramasingapuram (m) Ganiyar Thoppu South Last Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
41,"ST.XAVIERS MIDDLE SCHOOLSOUTHERN BUILDING, EASTERN PORTION, IRUDAYAKULAM, VICKRAMASINGAPURAM","1.Vickramasingapuram (M) Ambalavanapuram North Last Street , 2.Vickramasingapuram (M) Ambalavanapuram North Street , 3.Vickramasingapuram (M) Ambalavanapuram East Street , 4.Vickramasingapuram (M) Ambalavanapuram South Street , 5.Vickramasingapuram (M) Ambalavanapuram South Last Street , 6.Vickramasingapuram (M) Gandhi Nagar Main Road , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
