Sl. No,Polling Station No,K VIJAYA Samaj Party Bahujan,ARULMOZHIDEVA .P N Makkal Thannurimai Katchi Tamilaga,R RAMKUMAR Jananayaga Katchi Indiya,K SILAMBARASI Katchi Tamilar Naam,P CHINNUSAMY Of Party India Ganasangam,M JAYANTHI of party India Ambedkarite,P SEERANGAN Independent,S PALANIVEL Independent,S POONGODI Independent,A MANIVANNAN Independent,D MADHIYAZHAGAN Independent,M MUNIYAPPAN Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
91,69,303,325,3,1,1,2,33,0,0,0,0,0,1,2,5,676,0,7,683,0
92,70,169,252,0,1,4,0,26,1,0,0,1,0,0,0,3,457,0,6,463,0
93,71,368,303,1,0,2,1,33,0,0,0,0,0,0,0,1,709,0,3,712,0
94,72,297,433,1,0,5,5,40,0,0,0,0,1,0,0,3,785,0,10,795,0
95,73,363,221,3,2,6,1,16,1,1,0,0,0,0,0,4,618,0,11,629,0
96,74,276,266,2,1,2,0,32,0,0,0,1,0,0,0,7,587,0,3,590,0
97,75,322,203,0,0,9,3,15,1,0,0,1,0,0,0,1,555,0,4,559,0
98,76,376,395,2,1,1,2,41,0,1,0,1,4,4,0,7,835,0,21,856,0
99,77,463,338,1,1,7,1,26,0,1,0,0,0,0,0,0,838,0,3,841,0
100,78,254,334,1,1,2,3,40,0,1,0,1,0,0,0,1,638,0,7,645,0
101,79,131,217,0,1,3,1,24,0,0,0,1,0,0,0,0,378,0,4,382,0
102,80,405,404,1,0,6,6,28,1,0,0,2,1,0,0,5,859,0,11,870,0
103,81M,225,254,1,0,4,6,20,1,0,1,0,0,0,0,0,512,0,3,515,0
104,81A(W),241,220,0,3,2,14,13,0,1,0,1,0,2,1,1,499,0,4,503,0
105,82M,144,307,0,0,3,8,38,3,0,0,1,0,0,0,2,506,0,2,508,0
106,82A(W),198,291,1,0,3,5,16,2,0,0,1,1,0,0,2,520,0,6,526,0
107,83,280,460,3,0,1,16,34,1,1,0,1,0,1,0,2,800,0,4,804,0
108,84,178,276,0,3,3,5,37,0,0,0,0,0,0,0,1,503,0,4,507,0
109,85M,160,289,0,0,4,3,47,0,0,0,0,0,0,0,0,503,0,0,503,0
110,85A(W),196,313,1,1,2,2,21,0,0,0,0,1,0,0,0,537,0,3,540,0
111,86M,159,266,2,1,4,4,50,1,0,0,0,0,1,0,2,490,0,2,492,0
112,86A(W),174,249,2,2,0,0,24,0,0,0,0,1,0,0,3,455,0,11,466,0
113,87,304,424,1,2,3,28,36,1,1,0,3,0,0,0,2,805,0,11,816,0
114,88,252,211,1,0,3,1,35,0,1,0,1,0,0,0,0,505,0,7,512,0
115,89,286,234,1,1,3,13,21,0,1,0,1,0,0,1,2,564,0,11,575,0
116,90,347,250,0,0,3,1,19,0,1,0,0,0,0,0,2,623,0,10,633,0
117,91,283,364,1,1,3,5,24,1,0,0,0,0,0,0,0,682,0,5,687,0
118,92,187,210,1,0,2,1,12,0,1,0,0,0,0,0,1,415,0,9,424,0
119,93,344,321,2,0,35,10,39,0,1,0,1,0,0,1,1,755,0,7,762,0
120,94M,164,268,0,0,2,4,31,0,0,0,0,0,0,0,1,470,0,2,472,0
121,94A(W),219,272,1,0,3,1,8,0,1,1,0,0,0,0,3,509,0,6,515,0
122,95M,184,224,0,0,1,4,23,0,0,0,1,0,0,0,1,438,0,6,444,0
123,95A(W),192,227,1,3,0,3,14,1,0,0,0,0,0,0,0,441,0,4,445,0
124,96,183,226,1,0,4,5,28,0,1,0,1,0,0,0,1,450,0,3,453,0
125,97,211,164,0,0,3,6,33,0,0,0,0,0,0,0,0,417,0,3,420,0
126,98,388,309,0,1,15,2,11,0,0,0,0,1,0,0,0,727,0,13,740,0
127,99,206,337,2,0,4,6,36,0,0,0,1,0,0,0,1,593,0,8,601,0
128,100,361,308,4,0,6,3,39,0,0,0,0,0,0,2,1,724,0,7,731,0
129,101,203,365,2,2,4,5,52,0,0,0,2,2,1,1,2,641,0,6,647,0
130,102,380,218,3,2,3,0,37,1,1,0,0,0,0,0,1,646,0,9,655,0
131,103M,264,173,0,0,4,0,15,0,0,0,0,0,0,0,0,456,0,6,462,0
132,103A(W),294,166,0,0,1,0,8,1,0,0,0,0,0,1,2,473,0,5,478,0
133,104M,251,159,0,0,5,3,37,0,0,1,0,0,0,0,0,456,0,2,458,0
134,104A(W),306,147,1,2,3,0,12,0,1,0,0,0,0,0,0,472,0,3,475,0
135,105,337,264,0,0,1,3,35,1,1,2,0,0,0,0,3,647,0,7,654,0
136,106,164,462,1,2,2,5,27,1,0,0,0,0,0,0,3,667,0,3,670,0
137,107,149,390,0,0,5,0,17,0,0,0,0,0,0,0,2,563,0,7,570,0
138,108,196,352,1,1,6,6,34,0,0,0,0,0,0,0,0,596,0,7,603,0
139,109,244,321,1,0,2,10,49,0,0,0,0,0,0,0,2,629,0,11,640,0
140,110M,142,220,0,0,0,15,41,0,0,0,1,0,0,0,0,419,0,8,427,0
141,110A(W),143,238,1,0,3,14,22,1,0,1,0,1,1,0,0,425,0,10,435,0
142,111,73,178,0,1,3,6,15,0,0,0,0,1,0,0,0,277,0,2,279,0
143,112,225,203,1,1,4,16,23,0,3,0,1,0,0,0,0,477,0,13,490,0
144,113,290,280,1,1,4,8,43,0,1,0,1,0,0,0,2,631,0,10,641,0
145,114M,153,233,1,0,2,4,47,0,1,0,0,0,0,0,0,441,0,4,445,0
146,114A(W),212,229,1,0,1,3,16,1,0,2,1,0,0,1,2,469,0,3,472,0
147,115M,155,180,0,0,4,5,31,1,0,0,0,0,0,0,0,376,0,8,384,0
148,115A(W),180,212,0,0,6,8,10,0,0,1,0,2,0,1,2,422,0,6,428,0
149,116,252,318,2,0,2,15,48,0,1,0,1,0,0,1,1,641,0,12,653,0
150,117,175,318,0,1,8,19,51,0,0,0,1,1,0,0,1,575,0,12,587,0
151,118,245,274,0,1,0,16,36,1,1,0,0,0,0,1,0,575,0,16,591,0
152,119M,157,266,1,1,4,4,50,0,1,1,0,0,0,0,0,485,0,4,489,0
153,119A(W),211,252,2,0,2,1,22,0,1,0,0,0,0,0,1,492,0,6,498,0
154,120M,188,231,0,0,7,8,28,0,0,0,0,1,1,0,0,464,0,9,473,0
155,120A(W),204,231,2,0,1,11,18,0,1,0,2,0,0,1,0,471,0,6,477,0
156,121M,216,245,0,0,3,5,30,0,2,0,0,0,0,0,0,501,0,6,507,0
157,121A(W),254,286,4,1,4,7,14,0,0,0,1,0,0,0,0,571,0,3,574,0
158,122,233,289,1,1,5,11,47,0,0,0,0,0,0,1,0,588,0,14,602,0
159,123,303,226,0,1,5,10,54,0,1,1,0,0,0,0,0,601,0,8,609,0
160,124,313,323,1,2,4,11,44,0,0,0,1,0,0,0,0,699,0,9,708,0
161,125M,151,208,1,0,2,7,33,1,0,0,1,0,0,0,0,404,0,3,407,0
162,125A(W),182,240,2,0,0,6,24,0,0,0,1,0,0,0,1,456,0,4,460,0
163,126M,200,217,0,1,4,6,45,0,0,1,1,0,0,0,0,475,0,4,479,0
164,126A(W),229,250,1,0,1,1,17,2,0,0,0,0,0,0,0,501,0,7,508,0
165,127M,154,282,0,0,0,9,28,0,1,0,0,0,0,0,0,474,0,4,478,0
166,127A(W),190,289,0,1,0,4,23,1,0,0,0,0,0,0,0,508,0,7,515,0
167,128,350,343,2,0,10,20,52,2,1,0,1,0,1,0,0,782,0,8,790,0
168,129,298,307,1,1,2,14,31,0,2,0,0,1,0,0,0,657,0,18,675,0
169,130M,134,302,2,3,7,3,40,1,0,0,0,0,0,0,0,492,0,5,497,0
170,130A(W),168,321,0,0,4,5,21,1,0,0,0,0,0,0,1,521,0,7,528,0
171,131,156,289,1,0,3,11,28,0,0,0,1,0,0,0,1,490,0,7,497,0
172,132,403,345,2,7,2,15,48,0,0,0,1,0,0,1,0,824,0,10,834,0
173,133,266,369,1,0,4,7,30,1,1,0,0,0,0,0,1,680,0,1,681,0
174,134,200,183,1,2,1,1,19,0,2,0,0,0,0,0,1,410,0,9,419,0
175,135M,173,181,0,0,3,7,35,0,0,0,0,0,0,0,0,399,0,4,403,0
176,135A(W),248,165,0,2,1,4,18,0,0,1,0,0,0,0,0,439,0,3,442,0
177,136M,157,230,0,0,4,10,38,0,0,0,1,0,0,1,1,442,0,4,446,0
178,136A(W),195,229,1,0,1,5,20,0,0,0,0,0,0,0,1,452,0,5,457,0
179,137,264,503,2,0,2,5,35,0,0,0,0,0,0,0,5,816,0,11,827,0
180,138,257,318,0,2,3,19,29,0,0,0,1,0,0,0,0,629,0,10,639,0
181,139,302,346,4,1,9,16,32,2,0,0,0,0,0,0,1,713,0,11,724,0
182,140M,218,237,1,1,3,8,46,0,0,0,0,0,0,0,0,514,0,8,522,0
183,140A(W),248,242,1,0,3,4,13,1,0,0,0,1,1,1,1,516,0,6,522,0
184,141,200,326,0,0,1,6,31,0,2,0,0,1,0,0,0,567,0,7,574,0
185,142,292,316,0,0,4,11,43,3,0,0,1,0,0,0,0,670,0,11,681,0
186,143,349,256,1,1,3,5,34,0,0,0,0,0,0,0,0,649,0,11,660,0
187,144,250,374,3,2,7,7,40,0,0,0,0,0,0,0,0,683,0,15,698,0
188,145M,292,183,1,0,7,1,39,0,0,0,0,0,0,0,0,523,0,7,530,0
189,145A(W),335,203,0,0,5,3,18,0,1,0,0,0,0,1,2,568,0,5,573,0
190,146,259,264,1,8,9,6,38,1,1,0,0,0,0,0,1,588,0,5,593,0
191,147,376,319,2,1,8,4,62,1,0,0,0,1,1,0,1,776,0,13,789,0
192,148,204,473,2,2,4,4,65,1,2,0,4,1,1,0,1,764,0,12,776,0
193,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,150,276,339,1,1,2,2,28,0,0,0,0,1,2,1,2,655,0,9,664,0
195,151,282,355,0,0,3,9,32,1,1,0,1,0,0,0,1,685,0,3,688,0
196,152,235,321,1,0,7,2,41,1,1,0,0,0,0,0,0,609,0,13,622,0
197,153,328,499,1,0,8,4,69,1,1,1,0,0,0,0,2,914,0,11,925,0
198,154,207,308,3,1,0,5,79,0,2,0,3,1,1,3,3,616,0,4,620,0
199,155M,263,235,0,0,4,1,40,0,0,0,0,1,0,1,1,546,0,9,555,0
200,155A(W),297,189,4,3,2,1,13,4,1,2,2,0,1,0,7,526,0,18,544,0
201,156,257,382,1,2,1,3,50,0,0,1,1,0,0,0,1,699,0,10,709,0
202,157,361,358,2,1,2,4,55,0,0,0,0,1,0,0,0,784,0,17,801,0
203,158M,209,209,1,0,2,0,38,1,0,0,1,0,0,0,1,462,0,10,472,0
204,158A(W),208,243,0,0,0,0,35,2,1,0,1,1,0,0,0,491,0,9,500,0
205,159,316,370,3,2,1,12,75,1,1,0,0,0,0,2,1,784,0,13,797,0
206,160M,200,279,1,0,2,0,67,1,0,0,0,0,0,0,0,550,0,8,558,0
207,160A(W),246,293,1,2,1,3,23,0,2,1,1,1,1,1,0,576,0,9,585,0
