Polling Station No.,Building,Polling Areas
29,"Good Will High School,Balambigai Nagar 4th Street,Villivakkam,Chennai - 600049.",1. Villivakkam New Ward No.94 Valluvar Nagar kathuvan Kuttai . 2. Villivakkam New Ward No.94 Pudhucheari . 3. Villivakkam New Ward No.94 Sree Rama Krishna Nagar . 4. Villivakkam New Ward No.94 Balaambigai nagar . 5. Villivakkam New Ward No.94 Periyar Nagar 1st Main Road . 6. Villivakkam New Ward No.94 Periyar Nagar 2nd Street . 7. Villivakkam New Ward No.94 Periyar Nagar 3rd Street . 8. Villivakkam New Ward No.94 Rajamangalam 6th Cross Street . 9. Villivakkam New Ward No.94 Rajamangalam 8th Cross Street . 999. OVERSEAS ELECTORS.
30,"Good Will High School,Balambigai Nagar 4th Street,Villivakkam,Chennai - 600049.",1. Villivakkam New Ward No.94 Rajamangalam 6th street 2. Villivakkam New Ward No.94 Rajamangalam 7th Street 999. OVERSEAS ELECTORS.
31,"St Lukes Primary School,North Jaganatha Nagar 1st Main Road Villivakkam chennai-600049.",1. Villivakkam New Ward No.94 Rajamangalam 8th Street 2. Villivakkam New Ward No.94 Baba Nagar 3rd Street 3. Villivakkam New Ward No.94 Baba Nagar 4th Street 999. OVERSEAS ELECTORS.
32,"St Lukes Primary School,North Jaganatha Nagar 1st Main Road Villivakkam chennai-600049.",1. Villivakkam New Ward No.94 North Jeganatha Nagar 4th Street 2. Villivakkam New Ward No.94 North Jeganatha Nagar 5th Street 3. Villivakkam New Ward No.94 Norht Jeganatha Nagar 6th Street 4. Villivakkam New Ward No.94 North Jeganatha Nagar 7th Street 5. Villivakkam New Ward No.94 North Jeganantha Nagar 8th Street 6. Villivakkam New Ward No.94 North Jeganatha Nagar 9th Street 7. 7Villivakkam New Ward No.94 Baba Nagar 5th Street 8. Villivakkam New Ward No.94 Baba Nagar 6th Street . 999. OVERSEAS ELECTORS.
33,"Chennai Corporation Physical Centre,North Jaganatha Nagar 3rd Street Villivakkam Chennai-600049.",1. Villivakkam New Ward No.94 North Jaganathan Nagar 1st Main Road 2. Villivakkam New Ward No.94 North Jeganatha Nagar 2nd Prathana Salai 999. OVERSEAS ELECTORS.
34,"Chennai Corporation Physical Centre,North Jaganatha Nagar 3rd Street Villivakkam Chennai-600049.",1. Villivakkam New Ward No.94 North Jaganathan Nagar 9th Cross Street 2. Villivakkam New Ward No.94 Norht Jeganatha Nagar 10th Street 3. Villivakkam New Ward No.94 North Jeganatha Nagar 1st Street 4. Villivakkam New Ward No.94 North Jeganatha Nagar 3rd Street 5. Villivakkam New Ward No.94 North Jeganatha Nagar 11th Street . 6. Villivakkam New Ward No.94 North Jeganatha Nagar 12th Street 7. Villivakkam New Ward No.94 North Jeganatha Nagar Inaippu 1st Street 8. Villivakkam New Wawrd No.94 North jaganatha Nagar inaippu 2nd street 999. OVERSEAS ELECTORS.
35,"Chennai Corporation Physical Centre,North Jaganatha Nagar 3rd Street Villivakkam Chennai-600049.",1. Villivakkam New Ward No.94 Rajamangalam 5th Street 2. Villivakkam New Ward No.94 Vellarithangal Cross Street 3. Villivakkam New Ward No.94 Vellarithangal 1st Street 4. Villivakkam New Ward No.94 Indira Nager Near North Jeganatha Nagar 999. OVERSEAS ELECTORS.
36,"Government Adi Dravida Welfare Primary School,Rajamangalam Villivakkam,Chennai - 600049.",1. Villivakkam New Ward No.94 Rajamangalam main road 2. Villivakkam New Ward No.94 Rajamangalam 2nd Main Road 3. Villivakkam New Ward No.94 Rajamangalam 2nd Street 4. Villivakkam New Ward No.94 Rajamangalam 3rd Street 5. Villivakkam New Ward No.94 Rajamangalam 4th Street 6. Villivakkam New Ward No.94 Fist Street Raja Mangalam 999. OVERSEAS ELECTORS.
37,"Government Adi Dravida Welfare Primary School,Rajamangalam Villivakkam,Chennai - 600049.",1. Villivakkam New Ward No.94 North redhills road 999. OVERSEAS ELECTORS.
38,"Government High School,Jaganatha Nagar(S) Villivakkam Chennai-600049.",1. Villivakkam New Ward No.94 South Jaganatha Nagar 1st main road 2. Villivakkam New Ward No.94 South Jaganatha Nagar 2nd Main Road 3. Villivakkam New Ward No.94 South Jaganatha Nagar 1st Cross Street 4. Villivakkam New Ward No.94 South Jaganatha Nagar 2nd Cross Street 999. OVERSEAS ELECTORS.
