Sl. No,Polling Station No,evitalsigeL ni,V. PETCHIAMMAL TAMILAGAM PT,S.S. MATHIVANAN TAMILAR NAAM NTK,ITRAP,rullanavedusaV P.L.A. JAYAKUMAR TAMILNADU ILANGYAR KATCHI,G. MUTHUPANDI IND,)CS(,P. MOORTHY RAMA IND,No.of,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
146,119,203,302,0,0,9,16,3,63,2,1,3,602,0,7,609,
147,120,315,296,1,0,10,5,1,101,3,0,1,733,0,5,738,
148,121M,249,65,1,0,1,85,1,35,0,0,1,438,0,4,442,
149,121AW,309,89,7,0,3,83,3,16,0,0,0,510,0,6,516,
150,122,337,152,3,1,1,20,21,51,2,1,5,594,0,8,602,
151,123,205,230,6,2,6,156,2,27,1,0,0,635,0,6,641,
152,124,262,110,2,0,7,33,0,36,2,1,0,453,0,4,457,
153,125,251,126,2,0,3,27,1,33,1,0,0,444,0,2,446,
154,126M,162,150,0,0,6,54,0,48,4,0,0,424,0,7,431,
155,126AW,190,212,2,1,9,26,1,22,1,0,1,465,0,6,471,
156,127M,312,67,0,1,2,10,0,23,1,0,0,416,0,7,423,
157,127AW,359,86,0,1,10,8,1,16,1,0,0,482,0,4,486,
158,128M,366,6,0,0,0,8,0,14,0,0,0,394,0,3,397,
159,128AW,386,1,1,0,0,7,0,2,0,0,0,397,0,6,403,
160,129,674,5,0,0,2,12,0,16,0,0,0,709,0,4,713,
161,130M,289,110,0,0,2,37,1,29,0,0,0,468,0,7,475,
162,130AW,347,118,4,0,3,23,2,10,2,1,0,510,0,2,512,
163,131M,369,15,0,0,0,20,0,16,0,0,0,420,0,1,421,
164,131AW,431,11,0,0,2,11,2,7,0,1,1,466,0,5,471,
165,132,281,128,0,0,6,5,0,25,0,0,0,445,0,2,447,
166,133M,284,21,0,1,0,13,0,11,0,0,0,330,0,1,331,
167,133AW,354,16,0,0,0,4,0,4,0,1,0,379,0,1,380,
168,134,261,354,4,0,11,60,2,55,2,5,3,757,0,4,761,
169,135M,137,233,1,0,8,8,0,29,2,0,1,419,0,4,423,
170,135AW,114,275,1,0,7,6,1,21,0,0,1,426,0,1,427,
171,136,536,130,0,0,7,11,0,21,3,1,0,709,0,5,714,
172,137M,326,6,1,0,0,15,0,15,0,0,0,363,0,2,365,
173,137AW,407,8,1,1,0,6,2,13,0,1,2,441,0,16,457,
174,138,168,410,1,0,12,9,4,61,0,1,1,667,0,6,673,
175,139,183,281,1,0,7,8,0,59,2,0,0,541,0,7,548,
176,140M,139,161,1,0,5,7,0,59,1,1,0,374,0,3,377,
177,140AW,133,196,2,0,5,4,0,43,0,2,0,385,0,4,389,
178,141M,137,216,2,0,5,59,1,64,1,1,1,487,0,3,490,
179,141AW,137,252,3,0,4,46,0,38,2,1,1,484,0,5,489,
180,142M,121,115,3,1,37,2,57,53,1,0,4,394,0,3,397,
181,142AW,129,174,5,3,41,2,22,17,0,3,3,399,0,7,406,
182,143,313,244,3,3,29,14,30,98,5,1,2,742,0,12,754,
183,144,228,188,3,1,10,1,1,69,1,0,1,503,0,9,512,
184,145M,199,142,0,0,16,6,0,100,2,0,0,465,0,5,470,
185,145AW,191,188,3,2,18,3,1,66,0,1,0,473,0,8,481,
186,146M,119,183,2,0,8,19,0,85,4,0,2,422,0,2,424,
187,146AW,109,284,1,1,5,18,1,54,0,0,3,476,0,9,485,
188,147M,127,208,1,0,5,11,0,29,1,0,1,383,0,8,391,
189,147AW,125,252,4,1,7,9,1,26,1,2,2,430,0,9,439,
190,148,238,368,3,1,7,8,0,41,1,1,1,669,0,10,679,
191,149,228,341,1,2,9,30,0,45,1,2,2,661,0,8,669,
192,150,323,167,1,0,4,3,0,46,2,0,1,547,0,7,554,
193,151,404,117,3,0,5,9,11,48,1,1,0,599,0,10,609,
194,152,324,129,1,2,0,0,26,48,2,0,0,532,0,4,536,
195,153M,168,98,0,0,1,0,54,32,4,0,0,357,0,7,364,
196,153AW,216,109,4,0,2,2,28,30,4,1,4,400,0,3,403,
197,154M,246,62,2,0,1,4,0,22,0,0,0,337,0,1,338,
198,154AW,316,56,2,0,3,7,0,11,0,1,1,397,0,8,405,
199,155M,180,87,0,0,1,9,0,38,2,0,0,317,0,1,318,
200,155AW,214,86,1,2,4,8,1,18,2,1,0,337,0,5,342,
201,156,167,194,3,3,2,6,25,29,1,1,5,436,0,8,444,
202,157,377,192,4,1,6,2,13,32,5,0,5,637,0,7,644,
203,158,160,200,1,0,5,29,0,68,4,0,1,468,0,8,476,
204,159,194,325,5,1,15,23,0,40,1,1,1,606,0,9,615,
205,160M,188,174,1,0,17,11,1,73,2,1,0,468,0,6,474,
206,160AW,226,205,2,0,20,10,1,36,3,1,0,504,0,2,506,
