Polling Station No.,Building,Polling Areas
33,"Arul Jothi Vidhyalaya Primary School,New Building South Portion,Puthumanai 3rd Street,Sankarankovil","1.Sankarankovil (M) Ward No 9 Thenappapuram 1st Street , 2.Sankarankovil (M) Ward NO 9 Thenappapuram 2nd Street , 3.Sankarankovil (M) Ward No 10 Puthumanai 2nd Street , 4.Sankarankovil (M) Ward NO 10 Puthumanai 3rd Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
34,"Anganwadi Centre No.4,Puthumanai 3rd Street,Sankarankovil","1.Sankarankovil (M) Ward NO 10 Puthumanai Puthu Street , 2.Sankarankovil (M) Ward No 10 Puthumanai 1st Street , 3.Sankarankovil (M) Ward No 10 Puthumanai 3rd Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
35,"Sengunthar Middle School,Vadakasiammankovil 2nd Street,Sankarankovil","1.SANKARANKOVIL (M) Ward No 8 VADAKASIAMMAN KOVIL FIRST STREET , 2.SANKARANKOVIL (M) Ward NO 8 VADAKASIAMMAN KOVIL SECOND STREET , 3.SANKARANKOVIL (M) Ward No 8 MATHANGKOVIL STREET , 4.SANKARANKOVIL (M) Ward No 8 ZAHIR HUSSAIN STREET , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
36,"Imam Gazzali RAH Oriental Matric School,West wing South Side,Kalugumalai Road,Sankarnakovil","1.Sankarankovil (M) Ward No 15 Kayithey Millath 2nd st , 2.Sankarankovil (M) Ward No 15 Kakithey Millath 3rd st , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
37,"Imam Gazzali RAH Oriental Matric School,West wing North Side,Kalugumalai Road,Sankarnakovil","1.Sankarankovil (M) Ward No 17 Kakithey Millath 4th st , 2.Sankarankovil (M) Ward No 17 Kayithey Millath 5th st , 3.Sankarankovil (M) Ward No 17 Kayithey Millath 6th st , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
38,"Mahathma Nursery and Primary School,West Building South Portion,Sankarankovil","1.Sankarankovil (M) Ward No 7 Gomathiyapuram 6th st , 2.Sankarankovil (M) Ward No 7 Gomathiyapuram 7th st , 3.SANKARANKOVIL (M) Ward No 7 THIRUVUDAIYARPURAM STREET , 4.Sankarankovil (M) Ward No Ramasamiyapuram 6th st , 5.Sankarankovil (M) Ward No 28 Ramasamiyapuram 7th st , 6.Sankarankovil (M) Ward No 28 Ramsamiyapuram 8th St , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
39,"Municipal Middle School,North Building Western Portion,Kakkan Nagar,Sankarankovil","1.SANKARANKOVIL (M) Ward No 16 KAKKAN NAGAR 1ST STREET , 2.SANKARANKOVIL (M) Ward No 16 KAKKAN NAGAR SECOND STREET , 3.SANKARANKOVIL (M) Ward No 16 KAKKAN NAGAR SIXTH STREET , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
40,"Municipal Middle School,South Building West Side,Kakkan Nagar,Sankarankovil","1.Sankarankovil (M) Waard No 16 Kakkan Nagar 3rd Street , 2.Sankarankovil (M) WArd No 16 Kakkan Nagar 4th Street , 3.Sankarankovil (M) Ward No 16 Kakkan Nagar 5th Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
41,"Municipal Middle School,East Wing South Building,Kakkan Nagar,Sankarankovil","1.Sankarankovil (M) Ward No 15 Quaid - e - Milleth Mudukku Street , 2.SANKARANKOVIL(M) Ward No 15 Quaid - e - Milleth New Street , 3.Sankarankovil (M) Ward No 15 Quaid - e - Milleth 1st Street , 4.Sankarankovil (M) Ward No 16 Gandhi Nagar Keela 1st Street , 5.Sankarankovil (M) Ward No 12 Thiruvalluvar Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
42,"24 Manai Telungu Chettiyar Primary School,Main Building Northern Portion,Sankarankovil.","1.SANKARANKOVIL (M) Ward No 11 PUTHUMANAI FOURTH STREET , 2.SANKARANKOVIL (M) Ward No 11 PUTHUMANAI FIFTH STREET , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
