Sl. No,Polling Station No,A. GOMATHI Party Samaj Bahujan,P. KABILARASAN Maiam Needhi Makkal,N. THIYAGASUNDARAM Ilangyar Nadu Katchi Tamil,M. THIYAGARAJAN Tamilagam Puthiya,M.A. BANU NASEEMA Democratic India of Party Social,R. VINOTHINI Katchi Tamilar Naam,R.S.A. AMANULLAH Independent,T. ANBAZHAGAN Independent,J. PANNEERSELVAM Independent,A. HALITH MOHAMED Independent,S. MUTHARASAN Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
81,66,299,1,93,1,1,2,7,57,1,1,2,0,0,465,0,4,469,0
82,67,444,0,159,4,1,1,6,108,1,0,3,1,2,730,0,3,733,0
83,68,233,5,272,1,3,2,5,130,0,0,4,1,3,659,0,6,665,0
84,69,201,5,112,5,0,1,4,130,0,0,2,2,2,464,0,2,466,0
85,70,174,0,87,5,2,1,13,71,0,0,2,0,0,355,0,1,356,0
86,70(A),214,0,99,12,0,1,17,73,0,0,5,0,1,422,0,3,425,0
87,71,169,3,172,8,1,0,35,110,2,0,5,2,1,508,0,2,510,0
88,72,226,2,131,0,2,0,57,45,0,1,2,0,1,467,0,4,471,0
89,73,259,2,61,1,0,0,78,97,0,0,3,2,2,505,0,1,506,0
90,74,265,0,27,1,0,0,80,60,1,0,4,0,0,438,0,4,442,0
91,75,339,1,22,2,0,0,69,39,0,0,1,0,0,473,0,0,473,0
92,76,313,1,15,4,0,1,77,29,0,0,0,0,0,440,0,2,442,0
93,77,267,1,17,0,0,0,72,39,0,0,0,1,0,397,0,2,399,0
94,78,366,0,11,1,0,0,121,66,2,0,2,1,1,571,0,5,576,0
95,79,324,0,105,4,0,0,8,80,0,0,4,0,0,525,0,4,529,0
96,80,284,0,187,7,0,1,11,117,0,0,1,1,0,609,0,3,612,0
97,81,311,12,239,6,0,2,12,154,2,0,5,4,0,747,0,5,752,0
98,82,233,9,126,3,0,0,5,102,0,0,0,0,0,478,0,3,481,0
99,82(A),246,9,143,2,0,1,2,76,1,0,1,3,2,486,0,3,489,0
100,83,171,1,195,2,0,0,5,75,0,0,2,0,0,451,0,3,454,0
101,84,434,23,231,6,2,1,7,136,0,0,2,0,0,842,0,6,848,0
102,85,251,3,206,2,0,0,2,100,0,1,2,1,0,568,0,9,577,0
103,86,270,0,129,3,2,0,1,62,0,0,1,0,1,469,0,4,473,0
104,87,260,0,116,3,1,3,7,86,0,0,1,0,0,477,0,0,477,0
105,87(A),279,5,116,0,0,3,6,61,0,2,2,2,0,476,0,6,482,0
106,88,442,6,183,7,1,1,2,121,0,0,2,0,1,766,0,6,772,0
107,89,516,0,204,8,1,1,3,90,0,0,2,0,2,827,0,5,832,0
108,90,246,1,153,1,0,1,6,65,0,0,1,0,0,474,0,3,477,0
109,90(A),277,1,165,7,1,1,2,31,0,0,0,1,1,487,0,6,493,0
110,91,577,9,180,5,1,0,6,85,0,0,0,1,1,865,0,3,868,0
111,92,276,0,231,10,0,1,11,117,0,0,3,2,0,651,0,6,657,0
112,93,236,2,201,11,1,0,7,67,0,0,0,1,0,526,0,4,530,0
113,94,232,4,231,10,7,0,6,53,0,0,1,1,0,545,0,9,554,0
114,95,341,5,231,5,0,0,9,86,1,0,2,0,0,680,0,1,681,0
115,96,301,3,173,17,2,0,25,90,2,1,3,0,2,619,0,7,626,0
116,97,272,6,295,7,1,0,13,98,1,0,2,0,1,696,0,9,705,0
117,98,284,2,217,12,4,0,2,78,0,0,1,0,0,600,0,4,604,0
118,99,382,2,226,14,2,1,5,68,1,0,1,1,0,703,0,7,710,0
119,100,231,2,167,10,3,1,4,84,0,0,0,0,0,502,0,1,503,0
120,100(A),253,1,252,5,3,1,2,50,0,0,1,1,0,569,0,3,572,0
121,101,352,1,199,26,2,3,11,130,0,2,4,0,0,730,0,14,744,0
122,102,170,0,60,30,6,2,3,51,1,0,2,0,0,325,0,5,330,0
123,102(A),188,1,61,25,8,0,3,33,0,0,3,0,0,322,0,1,323,0
124,103,219,2,93,13,2,0,5,68,0,0,0,0,0,402,0,1,403,0
125,103(A),263,0,96,15,1,0,6,38,0,1,0,0,0,420,0,2,422,0
126,104,222,2,55,13,3,1,12,36,1,0,0,0,0,345,0,4,349,0
127,104(A),210,4,73,19,1,0,7,33,0,0,0,0,0,347,0,3,350,0
128,105,232,0,81,36,8,1,4,39,0,1,1,1,1,405,0,4,409,0
129,106,318,0,191,24,5,0,11,39,0,0,1,0,0,589,0,11,600,0
130,107,244,0,146,23,5,0,9,68,0,3,1,0,1,500,0,10,510,0
131,108,188,0,110,9,4,0,6,57,0,0,1,1,1,377,0,1,378,0
132,108(A),181,1,122,19,1,0,5,44,1,0,1,1,0,376,0,5,381,0
133,109,189,0,88,17,6,0,6,47,0,1,0,1,0,355,0,4,359,0
134,109(A),179,1,78,24,4,0,0,38,0,0,0,1,2,327,0,3,330,0
135,110,209,0,145,22,5,1,12,56,0,0,1,0,0,451,0,7,458,0
136,110(A),234,2,149,27,1,0,10,36,0,0,6,0,4,469,0,7,476,0
137,111,197,1,118,21,5,0,10,47,0,0,8,0,0,407,0,7,414,0
