Sl. No,Polling Station No,oT( lareneG C KUMAR. ASHOK Makkal katchi,eb desu rof ot ASA FAROOK. UMAR Democratic ia IND,gnidrocer eht limaT A BASHA. KAREEM Ulama Council,eeS( eht udaN V PARTHIBAN. Party Youth Development,)( gnitov evitalsigeL S.P MANI. Pensioners Party,tcudnoC ta traP MAHARUNNISHA Tamilar NTK,morf I S RAJA. Needhi MNM,seluR rehto eht L MURUGAN. IND,) naht deifiton RUBMA. P KANTH. RAJI IND,V.A GEORGE. IND,)snoitatS,rof noitpo,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
235,165AW,189,1,353,0,23,1,0,0,9,6,0,0,1,583,0,2,585,0
236,166M,161,17,212,1,12,0,0,0,25,4,0,1,0,433,0,5,438,0
237,166AW,241,10,204,0,11,0,0,0,12,2,0,1,0,481,0,4,485,0
238,167M,43,1,302,0,5,0,1,0,10,3,0,0,1,366,0,0,366,0
239,167AW,56,1,280,0,4,0,0,0,8,2,0,0,0,351,0,1,352,0
240,168M,69,0,266,0,20,0,0,1,13,5,0,0,0,374,0,2,376,0
241,168AW,88,0,260,1,9,0,0,0,6,2,0,0,0,366,0,5,371,0
242,169M,104,0,245,0,6,0,0,0,3,4,0,0,0,362,0,2,364,0
243,169AW,123,0,223,1,3,0,0,0,0,9,1,1,0,361,0,3,364,0
244,170,139,1,380,2,4,0,0,0,13,19,0,0,0,558,0,8,566,0
245,171,305,3,190,0,3,0,0,4,15,19,0,0,0,539,0,7,546,0
246,172,298,4,144,0,4,0,0,1,33,24,4,0,0,512,0,13,525,0
247,173,344,1,174,1,2,0,0,0,81,4,0,0,0,607,0,2,609,0
248,174,375,1,235,1,0,0,1,5,35,26,0,0,0,679,0,13,692,0
249,175M,197,1,201,0,5,0,1,3,39,11,2,0,0,460,0,7,467,0
250,175AW,217,2,191,0,3,1,0,1,19,12,2,1,0,449,0,9,458,0
251,176,408,0,182,1,3,0,0,8,38,20,1,0,0,661,0,12,673,0
252,177,401,4,244,0,2,0,0,0,37,11,0,0,1,700,0,5,705,0
253,178M,257,0,188,1,5,1,1,1,74,4,0,0,0,532,0,4,536,0
254,178AW,334,3,161,2,4,0,0,0,35,6,1,0,1,547,0,4,551,0
255,179,254,3,310,0,9,0,0,0,53,5,0,0,4,638,0,1,639,0
256,180,426,4,232,0,3,0,0,0,75,15,0,1,1,757,0,4,761,0
257,181,403,4,177,0,4,1,1,1,70,12,1,1,1,676,0,8,684,0
258,182,180,3,265,3,2,0,1,1,31,3,2,3,0,494,0,4,498,0
259,183,331,1,192,1,3,0,1,0,47,11,0,0,2,589,0,8,597,0
260,184,307,5,206,0,2,0,0,1,46,5,1,0,0,573,0,6,579,0
261,185,203,0,113,0,3,0,0,0,27,12,0,1,1,360,0,4,364,0
262,186,255,0,332,0,5,1,0,0,46,10,1,1,2,653,0,4,657,0
263,187,252,0,265,0,12,0,0,0,50,10,1,1,0,591,0,7,598,0
264,188M,163,0,200,0,4,0,0,0,24,1,0,0,0,392,0,5,397,0
265,188AW,219,1,187,0,0,0,0,0,15,1,0,3,0,426,0,4,430,0
266,189,243,3,314,1,3,0,0,0,35,7,0,3,1,610,0,5,615,0
267,190,329,2,214,0,1,0,0,1,37,5,1,1,2,593,0,2,595,0
268,191M,208,1,52,1,6,0,0,0,110,4,0,0,0,382,0,1,383,0
269,191AW,293,3,54,1,3,2,1,0,98,6,1,1,2,465,0,5,470,0
270,192,267,2,280,0,2,0,0,0,27,12,0,1,0,591,0,5,596,0
271,193,282,0,369,3,3,0,0,0,29,3,0,1,0,690,0,4,694,0
272,194,287,1,220,1,3,0,0,0,44,17,1,0,1,575,0,7,582,0
273,195,370,3,282,0,2,0,1,0,35,10,0,1,0,704,0,9,713,0
274,196M,188,0,154,0,1,0,0,0,35,4,1,0,0,383,0,3,386,0
275,196AW,239,2,178,1,1,0,1,0,21,7,0,0,0,450,0,2,452,0
276,197,335,3,291,0,7,0,1,1,65,11,0,1,1,716,0,9,725,0
277,198,189,2,315,1,2,0,0,1,26,1,0,0,0,537,0,4,541,0
278,199M,199,0,202,0,5,0,1,0,24,5,0,0,0,436,0,4,440,0
279,199AW,223,3,222,0,3,0,1,0,7,5,1,0,0,465,0,6,471,0
280,200M,222,3,204,0,4,0,0,0,34,11,1,0,0,479,0,4,483,0
281,200AW,295,1,205,1,1,0,0,0,6,9,1,2,0,521,0,8,529,0
282,201,354,2,288,1,5,0,0,0,38,3,1,0,0,692,0,6,698,0
283,202M,204,10,208,0,1,0,0,0,50,6,0,0,0,479,0,2,481,0
284,202AW,252,9,236,0,1,0,1,0,32,4,0,1,0,536,0,3,539,0
285,203,364,1,277,0,2,1,0,0,36,3,0,1,0,685,0,5,690,0
286,204,295,5,370,2,7,0,0,1,48,1,1,0,0,730,0,2,732,0
287,205,425,3,226,0,5,0,0,0,26,1,1,0,0,687,0,3,690,0
288,206M,297,0,122,0,0,0,0,0,32,1,1,0,0,453,0,6,459,0
289,206AW,341,8,128,0,1,1,0,0,12,0,2,1,1,495,0,4,499,0
290,207M,211,3,207,3,2,0,0,0,47,3,0,0,0,476,0,3,479,0
291,207AW,237,2,194,4,0,1,0,1,14,2,5,1,0,461,0,8,469,0
292,208,368,3,344,2,1,1,0,3,62,4,0,0,2,790,0,7,797,0
293,209,307,2,282,0,3,0,0,0,30,2,0,0,0,626,0,6,632,0
294,210M,162,2,186,0,3,0,0,0,28,2,1,0,0,384,0,3,387,0
295,210AW,207,0,159,0,2,1,0,0,12,5,0,0,0,386,0,1,387,0
296,211M,143,2,172,0,2,1,0,0,19,0,1,0,0,340,0,0,340,0
297,211AW,174,6,173,0,1,0,0,0,4,3,0,1,0,362,0,5,367,0
298,212,190,1,252,1,3,0,0,1,17,1,0,3,0,469,0,4,473,0
299,213,203,4,282,3,0,1,1,4,17,3,3,6,0,527,0,6,533,0
300,214,248,3,301,2,1,0,0,1,60,3,1,0,3,623,0,2,625,0
