Sl. No,Polling Station No,MAULAANA.JMH AASSAN National Congress Indian,VELU.C Party Samaj Bahujan,KANCHANA.R Murpokku Katchi Makkal Tamizhaga,GEETHA Party Generation People’s New,KEERTHANA.M Katchi Tamilar Naam,CHANDRAN.A Katchi Makkal MGR,"® BABU,IAS Dr.SANTHOSH Maiam Needhi Makkal",JAYAKUMARI.V.L REVATHI Ilangyar katchi Tamilnadu,PAUL.J VICTOR of (Athawale) Party Republican India,VENKATESHAN.D Katchi Makkal Arasiyal Anaithu,YESUDASAN.G Independent,KANNAN.K Independent,GOKUL.S Independent,SIVARAMAN.V Independent,AZHAGAN.A TAMIL Independent,MAHALAKSHMI.N Independent,BALAJI MURALI Independent,VIGNESH.M Independent,VETRISELVAN.A Independent,KANNAN.S JOTHI Independent,HARIHARAN.V Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
423,242,167,154,0,0,2,48,4,0,57,4,0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,167,603,0
424,242(A),159,158,0,0,2,44,5,0,57,6,0,0,0,0,0,3,2,2,0,0,0,0,2,440,0,159,599,0
425,243,132,116,0,1,1,58,4,0,56,2,0,0,0,0,0,1,1,0,0,0,0,0,0,372,0,132,504,0
426,243(A),135,146,2,0,2,34,1,0,59,1,0,0,0,1,0,1,3,1,0,0,0,0,0,386,0,135,521,0
427,244,167,180,3,0,3,31,6,0,47,0,0,0,0,0,1,2,1,1,0,0,0,1,1,444,0,167,611,0
428,245,142,157,0,0,0,14,3,0,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,370,0,142,512,0
429,246,119,176,2,0,1,40,1,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,1,396,0,119,515,0
430,246(A),124,168,1,0,1,12,3,0,56,1,0,0,0,0,0,2,0,2,0,1,1,0,2,374,0,124,498,0
431,247,115,101,1,0,0,29,10,0,49,1,0,0,0,1,0,0,0,0,0,0,0,0,0,307,0,115,422,0
432,247(A),117,95,2,0,1,19,7,0,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,117,411,0
433,248,175,110,0,0,2,34,4,0,69,4,0,0,0,0,0,0,1,0,0,0,0,0,1,400,0,175,575,0
434,248(A),153,109,0,1,1,17,0,0,56,3,0,0,0,0,0,0,0,0,0,0,0,0,1,341,0,153,494,0
435,249,182,101,0,0,0,43,6,0,69,3,0,0,0,0,0,0,0,1,1,0,0,0,1,407,0,182,589,0
436,249(A),186,89,0,2,0,27,5,0,71,0,0,0,1,0,0,0,0,1,0,0,0,0,1,383,0,186,569,0
437,250,198,106,0,1,0,44,5,1,59,2,0,0,0,0,0,0,0,4,0,0,0,0,0,420,0,198,618,0
438,250(A),197,120,0,1,0,32,4,0,50,2,0,0,0,0,0,0,1,1,0,0,0,0,0,408,0,197,605,0
439,251,219,94,0,0,0,56,7,0,65,2,0,0,0,0,0,0,0,1,0,0,0,1,0,445,0,219,664,0
440,251(A),182,106,1,0,0,36,8,0,42,1,0,0,0,0,0,0,0,1,1,0,0,0,0,378,0,182,560,0
441,252,137,130,0,0,1,19,1,0,77,2,0,0,0,0,0,0,0,0,11,0,0,1,0,379,0,137,516,0
442,253,217,89,1,0,0,51,13,0,63,1,0,0,0,1,0,2,0,0,0,0,0,0,0,438,0,217,655,0
443,253(A),237,112,0,0,0,40,7,0,58,0,0,1,0,1,0,0,1,0,0,0,0,1,0,458,0,237,695,0
444,254,116,110,0,0,0,21,1,1,77,1,0,0,0,1,0,0,0,0,0,0,0,0,1,329,0,116,445,0
445,254(A),104,99,1,1,0,8,1,0,76,3,0,0,0,0,0,0,0,0,0,0,0,1,2,296,0,104,400,0
446,255,184,138,0,0,2,71,4,0,41,1,0,0,0,0,0,0,1,0,0,0,0,0,1,443,0,184,627,0
447,255(A),154,167,1,0,1,41,3,0,38,1,0,0,0,1,2,1,5,1,0,0,0,0,1,417,0,154,571,0
448,256,77,114,0,0,1,18,4,0,26,0,0,0,0,0,0,3,0,0,0,1,0,0,0,244,0,77,321,0
449,256(A),55,112,0,0,0,12,3,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,219,0,1,220,0
450,257,113,122,0,0,0,23,6,0,69,1,0,0,0,1,0,0,0,0,0,0,0,0,1,336,0,3,339,0
451,257(A),113,109,1,1,0,17,1,0,61,0,0,0,0,0,0,1,0,1,1,0,0,0,2,308,0,1,309,0
452,258,214,100,0,0,0,49,1,0,41,2,0,0,0,1,0,0,0,0,0,0,0,1,0,409,0,2,411,0
453,258(A),220,108,0,0,2,39,0,0,31,2,1,0,0,0,1,1,2,0,0,0,0,0,1,408,0,1,409,0
454,259,227,99,1,1,0,63,2,0,19,2,0,0,0,0,0,0,1,0,0,0,0,0,0,415,0,3,418,0
455,259(A),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,260,141,133,0,0,0,49,2,0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0,1,394,0
457,260(A),133,151,1,0,1,28,2,0,72,4,1,0,0,0,0,0,2,0,0,0,0,0,1,396,0,0,396,0
458,261,105,97,0,1,0,28,0,0,51,1,0,0,0,1,0,1,0,0,0,1,0,0,0,286,0,1,287,0
459,261(A),82,119,0,0,1,18,1,0,57,0,0,0,1,1,0,1,0,0,1,1,0,0,0,283,0,2,285,0
460,VVPAT-34,156,113,1,0,0,32,5,0,33,5,0,1,1,0,0,1,0,0,1,0,0,0,0,349,0,4,353,0
461,VVPAT-35,168,216,1,1,0,29,11,0,90,1,1,1,0,0,0,1,0,1,0,1,0,2,0,524,0,8,532,0
