Sl. No,Polling Station No,"M.ANANDH,TamilarKatchiNaam-5-","GOPALAKRISHNG.AN,NeedhiMaiamMakkal-6-","M.AYYAPPAN,Independent-8-","GURUMOORTHI,D.Independent-9-","SUBRAMANIAN,P.Independent-01-","P.PRAKASH,Independent-11-","VIJAYAKUMAR,C.Independent-21-",Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
203,159,335,258,33,10,33,1,1,0,0,0,671,0,4,675,0
204,160,393,304,74,5,37,0,3,0,2,0,818,0,11,829,0
205,161,237,247,28,1,112,0,0,0,0,0,625,0,3,628,0
206,162,199,238,20,4,169,1,1,0,1,0,633,0,2,635,0
207,163,250,215,18,3,80,1,1,0,0,2,570,0,1,571,0
208,164,469,327,48,3,23,2,1,0,0,1,874,0,2,876,0
209,165,392,282,37,5,26,1,2,0,0,0,745,0,8,753,0
210,166,365,302,19,0,40,1,0,0,1,0,728,0,2,730,0
211,167,264,205,27,1,139,2,1,0,0,0,639,0,0,639,0
212,168,187,226,20,4,23,0,0,0,0,0,460,0,2,462,0
213,168(A),208,228,11,4,23,0,2,0,0,1,477,0,1,478,0
214,169,321,274,30,19,21,0,1,1,0,0,667,0,5,672,0
215,170,324,301,62,3,82,1,1,1,1,1,777,0,7,784,0
216,171,174,160,27,1,91,1,2,1,0,1,458,0,0,458,0
217,171(A),180,177,21,3,102,1,5,2,0,1,492,0,5,497,0
218,172,448,44,36,2,7,0,0,0,0,0,537,0,1,538,0
219,173,240,41,26,1,14,0,0,1,0,0,323,0,0,323,0
220,173(A),377,32,28,2,15,0,1,0,0,0,455,0,1,456,0
221,174(A),245,42,30,3,9,0,0,0,0,1,330,0,2,332,0
222,174,386,25,22,7,5,0,0,0,0,1,446,0,2,448,0
223,175,252,182,18,17,11,1,1,0,1,0,483,0,8,491,0
224,176,185,189,33,16,4,0,1,0,0,1,429,0,7,436,0
225,177,233,332,34,16,30,0,0,0,0,0,645,0,12,657,0
226,178,228,238,61,12,3,0,1,0,1,1,545,0,5,550,0
227,179,468,163,52,14,13,1,1,3,0,1,716,0,5,721,0
228,180,302,193,38,37,6,0,1,0,0,1,578,0,7,585,0
229,181,190,115,26,23,10,0,0,2,1,0,367,0,4,371,0
230,181(A),187,111,17,23,7,1,1,0,0,0,347,0,6,353,0
231,182,335,112,28,42,5,0,0,0,2,0,524,0,4,528,0
232,183,156,103,20,16,4,0,0,0,1,0,300,0,2,302,0
233,183(A),200,130,14,11,1,0,1,1,1,0,359,0,5,364,0
234,184,105,174,19,20,11,0,0,1,0,0,330,0,6,336,0
235,184(A),105,204,12,22,21,0,0,0,0,0,364,0,2,366,0
236,185(A),223,194,34,13,14,0,0,0,3,0,481,0,5,486,0
237,185,246,242,27,14,25,0,0,1,2,1,558,0,4,562,0
238,186,412,144,65,16,7,2,0,2,0,0,648,0,7,655,0
239,187,195,173,34,9,4,0,0,0,1,0,416,0,6,422,0
240,188,193,189,31,16,10,0,0,0,0,0,439,0,9,448,0
241,188(A),217,205,13,13,8,0,2,0,0,0,458,0,3,461,0
242,189,391,212,42,17,12,0,0,3,1,0,678,0,7,685,0
243,190,206,352,24,9,10,1,2,1,3,1,609,0,8,617,0
244,191,362,203,60,21,17,0,1,1,1,0,666,0,5,671,0
245,192,296,238,49,11,5,0,0,0,0,1,600,0,9,609,0
246,193,163,230,32,8,26,0,0,2,1,2,464,0,2,466,0
247,194,349,214,45,9,20,0,1,0,0,1,639,0,6,645,0
248,195,234,67,43,2,4,0,0,0,0,0,350,0,2,352,0
249,195(A),333,77,25,4,7,0,1,1,0,1,449,0,3,452,0
250,196,112,215,20,14,9,0,0,1,0,0,371,0,10,381,0
251,196(A),90,225,13,23,7,0,0,0,0,1,359,0,8,367,0
252,197,219,207,38,17,13,2,0,0,0,1,497,0,4,501,0
253,198,154,225,10,15,9,1,1,0,0,0,415,0,8,423,0
254,199,223,226,32,24,8,0,1,1,0,0,515,0,8,523,0
255,200,162,188,21,10,21,1,2,1,0,0,406,0,7,413,0
256,200(A),164,205,20,15,15,0,0,1,0,0,420,0,10,430,0
257,201,298,178,39,37,4,1,1,1,0,0,559,0,7,566,0
258,202,230,257,13,29,3,0,1,1,0,0,534,0,9,543,0
259,203,154,196,16,22,17,0,0,0,0,0,405,0,7,412,0
260,203(A),134,184,13,19,20,0,0,0,0,1,371,0,4,375,0
261,204,155,284,16,28,6,0,2,0,0,0,491,0,5,496,0
262,205,135,152,13,14,8,0,0,1,0,0,323,0,8,331,0
263,205(A),133,163,16,6,8,0,0,0,0,0,326,0,4,330,0
264,206(A),173,125,35,28,5,0,0,0,0,0,366,0,6,372,0
