Sl. No,Polling Station No,Alagaapuram .Mohanraj.R DMDK,"BSPS.Selvan,Tamil",A. Rajendran DMK,PMKR.Arul,PIM A. Kathirvel,KIT J. Karthikeyan,KPMA A. Senthilkumar,A. Thiyagarajan MNM,S. Nagammal NTK,KTMT R. Muthusamy,Dhesiya KM R. Vijayakumar,A. Inbaraj IND,S. Kathavarayan IND,INDM.Gopi,R Gopinath IND,G. Chandrasekaran IND,M. Sabbapathi IND,S. Sarathkumar IND,S. Sivaraman IND,M. Thiyagarajan IND,C. Natarajan IND,D. Balaji IND,M. Mayakannan IND,M. Marimuthu IND,A. Murugan IND,R. Ramkumar IND,B. Rajendiran IND,M. Jeevanantham IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
170,130M,4,0,188,233,0,0,0,20,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,476,3,0,479
171,130A(W),1,0,206,203,1,0,1,23,14,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,2,459,2,0,461
172,131,7,0,209,204,0,2,0,52,34,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,512,6,0,518
173,132M,7,2,167,166,0,0,0,27,22,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,395,5,0,400
174,132A(W),1,1,145,187,1,1,0,24,17,1,1,1,0,0,0,0,1,2,0,4,1,0,1,0,0,1,2,0,392,2,0,394
175,133,22,2,197,231,0,0,0,40,28,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,522,5,0,527
176,134,5,1,146,210,0,1,1,53,29,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,451,7,0,458
177,135,1,1,222,243,0,1,1,55,31,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,561,6,0,567
178,136,2,3,231,282,1,0,0,30,28,0,3,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,586,11,0,597
179,137M,2,0,142,117,0,0,0,34,17,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,315,6,0,321
180,137A(W),3,1,118,106,0,0,0,40,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,285,3,0,288
181,138M,5,0,174,210,1,2,0,34,23,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,455,6,0,461
182,138A(W),4,0,149,203,0,1,0,33,17,0,1,0,1,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,414,1,0,415
183,139,1,0,108,106,0,2,0,71,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,304,4,0,308
184,140M,6,1,156,263,2,1,0,10,28,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,471,5,0,476
185,140A(W),2,0,124,257,1,2,0,9,24,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,1,0,428,4,0,432
186,141,11,1,309,360,0,2,0,17,18,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,722,7,0,729
