Sl. No,Polling Station No,Alagaapuram .Mohanraj.R DMDK,"BSPS.Selvan,Tamil",A. Rajendran DMK,PMKR.Arul,PIM A. Kathirvel,KIT J. Karthikeyan,KPMA A. Senthilkumar,A. Thiyagarajan MNM,S. Nagammal NTK,KTMT R. Muthusamy,Dhesiya KM R. Vijayakumar,A. Inbaraj IND,S. Kathavarayan IND,INDM.Gopi,R Gopinath IND,G. Chandrasekaran IND,M. Sabbapathi IND,S. Sarathkumar IND,S. Sivaraman IND,M. Thiyagarajan IND,C. Natarajan IND,D. Balaji IND,M. Mayakannan IND,M. Marimuthu IND,A. Murugan IND,R. Ramkumar IND,B. Rajendiran IND,M. Jeevanantham IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
383,271A(W),3,0,118,139,0,0,0,23,9,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,299,6,0,305
384,272,10,3,191,374,1,3,1,19,43,1,4,1,1,0,0,1,0,1,1,5,1,2,0,2,0,1,0,1,667,1,0,668
385,273M,3,1,141,164,0,7,1,22,19,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,361,2,0,363
386,273A(W),4,0,132,208,0,6,0,18,8,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,381,1,0,382
387,274,13,1,216,371,2,2,0,19,39,1,2,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,672,4,0,676
388,275,9,1,215,376,6,2,0,29,31,0,2,0,0,1,1,0,2,1,3,4,0,0,0,0,0,0,2,4,689,5,0,694
389,276M,5,0,169,171,0,2,0,36,34,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,422,7,0,429
390,276A(W),4,1,163,159,1,2,1,41,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,391,4,0,395
391,277M,4,1,134,146,0,2,0,26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,329,7,0,336
392,277A(W),3,1,124,125,1,3,0,30,15,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,309,4,0,313
393,278M,2,1,92,128,1,1,0,34,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,273,6,0,279
394,278A(W),2,0,93,116,0,3,0,42,21,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,280,4,0,284
395,279,3,1,204,281,1,1,0,33,44,0,6,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,577,11,0,588
396,280,9,2,251,417,1,2,1,9,35,0,2,0,2,0,0,1,0,2,1,2,1,0,0,0,0,0,1,0,739,5,0,744
397,281M,3,0,181,147,0,1,3,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,5,0,405
398,281A(W),4,0,169,137,0,1,2,41,30,0,2,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,391,4,0,395
399,282M,11,1,119,282,2,1,0,11,20,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,450,4,0,454
400,282A(W),9,0,108,319,1,0,1,9,11,0,1,0,0,0,0,1,2,1,0,1,1,2,0,0,1,0,0,1,469,4,0,473
401,283M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,283A(W),4,0,217,275,0,0,0,6,24,2,2,0,2,1,2,2,0,0,2,0,0,0,0,0,0,2,0,0,541,7,0,548
403,284M,5,4,237,135,0,1,1,13,51,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,452,3,0,455
404,284A(W),9,1,264,123,1,0,3,14,27,1,5,0,0,1,0,2,1,2,1,2,1,0,0,2,0,0,1,0,461,4,0,465
405,285M,9,0,149,275,0,1,0,6,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,471,2,0,473
406,285A(W),5,0,117,302,3,2,0,13,11,0,1,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,461,0,0,461
407,286,3,1,255,316,0,0,0,57,52,0,5,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,694,7,0,701
408,287M,5,0,163,186,0,6,0,18,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,404,2,0,406
409,287A(W),3,1,132,222,0,6,1,24,11,0,4,1,0,0,0,2,2,1,1,0,1,1,0,0,0,1,1,1,416,3,0,419
410,288M,4,1,137,139,0,9,0,25,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,348,5,0,353
411,288A(W),2,0,101,169,2,4,0,20,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,319,2,0,321
412,289M,3,1,200,170,0,0,0,27,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,439,4,0,443
413,289A(W),1,1,156,235,1,1,0,27,14,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,439,1,0,440
414,290,2,0,244,241,1,3,0,32,24,0,2,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,554,3,0,557
415,291M,4,2,111,225,1,0,0,11,16,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,376,3,0,379
416,291A(W),2,0,88,278,0,0,0,9,7,1,5,2,1,0,0,1,0,1,1,3,2,0,0,0,0,0,1,1,403,2,0,405
417,292,11,0,172,393,2,2,1,9,24,1,5,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,625,6,0,631
418,293M,6,0,147,158,0,0,0,20,28,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,362,4,0,366
419,293A(W),4,1,137,182,2,4,1,18,13,0,0,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,369,4,0,373
420,294M,6,1,139,294,1,0,0,21,26,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,492,5,0,497
421,294A(W),3,0,122,323,3,1,0,9,14,0,0,1,2,1,0,2,1,1,0,9,1,0,0,1,0,0,0,0,494,3,0,497
422,295M,3,0,116,114,1,2,0,16,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,4,0,279
423,295A(W),2,1,132,108,1,1,1,9,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,269
