Sl. No,Polling Station No,M. KANDHAN Tamilargal Kalagam NTK,S. SUNDARAM SHUNMUGA Party,S. IYYAPPAN PARAMASIVA Munnettra,Thiyagi,A. PRABAKARAN Katchi doss,LARENEG emaN srotcelE P. VEERAPANDI Katchi,eht ni,N. KUMAR ASHOK,T. KATHIRAVAN,OT ALNT D. KANDASAMY,TRAP,I IRENUGNAN D. BALAJI GNANA,S. MUTHUDURAI,H. MUTHURAJ,K. LENIN,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
153,113A,73,0,421,1,2,40,0,13,0,2,0,0,1,0,1,554,0,1,555,
154,114,42,0,333,0,1,11,1,30,0,4,0,0,0,0,0,422,0,0,422,
155,114A,44,1,476,1,0,11,0,21,0,4,0,1,0,0,0,559,0,1,560,
156,115,51,0,427,1,0,9,0,24,0,0,0,0,0,0,0,512,0,4,516,
157,116,58,0,363,0,0,26,1,22,0,0,0,1,0,0,0,471,0,4,475,
158,117,15,1,564,2,0,46,0,21,0,0,0,0,0,0,0,649,0,0,649,
159,118,33,0,283,0,0,37,1,21,0,0,0,0,0,0,0,375,0,1,376,
160,118A,18,1,446,1,0,36,0,14,0,0,0,0,1,0,0,517,0,3,520,
161,119,57,0,240,0,0,20,0,20,0,0,0,0,0,1,0,338,0,0,338,
162,119A,59,0,319,0,0,18,0,9,0,1,0,0,0,4,0,410,0,3,413,
163,120,26,0,385,1,0,17,0,35,0,0,0,0,0,0,0,464,0,2,466,
164,121,69,3,349,0,1,19,0,76,1,1,1,1,0,0,0,521,0,2,523,
165,122,167,2,240,1,3,20,0,124,0,2,0,1,0,0,0,560,0,3,563,
166,123,83,1,190,2,0,67,3,63,1,1,0,1,0,0,1,413,0,1,414,
167,123A,74,2,205,4,2,73,0,46,1,2,1,2,0,2,0,414,0,2,416,
168,124,107,2,71,0,0,157,0,43,1,2,4,1,2,3,3,396,0,1,397,
169,124A,98,0,64,6,0,167,0,19,1,0,2,2,1,3,7,370,0,3,373,
170,125,189,2,244,1,1,214,2,63,1,5,1,3,1,3,0,730,0,4,734,
171,126,144,4,57,1,1,226,1,8,0,1,0,1,0,3,0,447,0,3,450,
172,127,127,1,99,0,2,132,0,54,2,2,2,2,0,1,0,424,0,3,427,
173,128,168,3,333,2,5,71,0,54,3,5,0,2,0,0,1,647,0,5,652,
174,129,184,0,330,1,1,25,0,72,1,11,0,3,1,0,3,632,0,4,636,
175,130,155,1,115,0,2,128,0,41,2,2,1,1,0,1,1,450,0,3,453,
176,130A,164,2,97,1,3,121,1,22,0,0,2,1,0,4,1,419,0,3,422,
177,131,78,1,257,4,1,29,0,53,0,6,0,0,0,0,0,429,0,3,432,
178,131A,80,0,333,2,0,41,0,35,1,6,0,0,0,0,0,498,0,1,499,
179,132,232,3,371,4,3,53,0,67,8,9,1,1,0,4,6,762,0,5,767,
180,133,142,1,243,2,3,14,1,68,8,0,1,1,1,1,8,494,0,11,505,
181,134,131,5,315,1,4,77,2,87,1,1,0,2,1,0,1,628,0,3,631,
182,135,198,4,252,3,0,62,1,44,3,2,1,0,0,1,1,572,0,16,588,
183,136,119,0,194,0,2,54,2,60,0,0,0,0,0,1,0,432,0,10,442,
184,136A,165,3,170,1,2,52,1,32,0,2,0,1,1,0,1,431,0,5,436,
185,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
186,138,21,0,25,1,1,121,1,1,1,0,0,1,0,0,0,173,0,1,174,
187,139,179,4,271,4,3,185,2,45,25,4,9,3,0,2,1,737,0,4,741,
188,140,169,2,74,0,3,429,4,39,2,3,7,0,1,4,2,739,0,6,745,
189,141,50,1,70,2,2,255,3,25,1,0,4,2,0,1,0,416,0,5,421,
