Sl. No,Polling Station No,P KRISHNAGOPAL Dravida Kazhagam Murpokku Desiya,K UMARANI Katchi Jananayaka Indiya,KANIMOZHI.P Katchi Tamilar Naam,SAKTHIVEL.M (Marxist‐Leninist)(Liberation) India of Party Communist,VARADAN.M Party Shakti Jan Lok,V ARPUTHASAMY Independent,S ILANGOVAN Independent,C ELAYARAJA Independent,P KRISHNA KARTHICK Independent,A PRIYA SATHYA Independent,V CHANDRASEKAR Independent,T CHITHAIYAN Independent,P CHINNAN Independent,P SUBRAMANIAN Independent,P DAVID Independent,M KUMAR NIRMAL Independent,P KUMAR PRASANNA Independent,P RASU Independent,D JEYAPANDIAN Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
95,74(A),180,16,207,3,22,1,1,0,1,0,0,0,0,2,0,0,1,0,1,1,0,0,436,0,1,437,0
96,75,183,17,223,3,48,0,0,0,3,0,0,0,0,2,3,1,1,1,0,0,0,0,485,0,2,487,0
97,76,238,25,146,5,22,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,1,445,0,2,447,0
98,77,324,16,189,5,52,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,590,0,3,593,0
99,78,185,35,184,2,50,0,0,0,0,0,0,0,1,3,1,0,0,0,2,1,0,0,464,0,1,465,0
100,78(A),154,21,240,6,14,1,0,0,0,0,0,0,1,4,0,1,0,0,3,0,0,0,445,0,2,447,0
101,79,342,26,236,5,51,1,0,0,0,0,0,0,1,7,0,2,2,1,0,0,0,1,675,0,0,675,0
102,80,231,15,266,3,35,0,0,0,0,0,0,0,1,1,1,2,3,2,4,0,0,1,565,0,1,566,0
103,81,265,29,284,3,50,0,0,2,0,2,1,0,2,10,3,8,3,0,1,0,1,1,665,0,5,670,0
104,82,210,10,200,1,38,0,0,0,2,0,0,0,1,2,0,4,2,1,4,0,0,0,475,0,1,476,0
105,83,278,23,286,5,66,1,0,0,2,0,1,1,1,5,2,1,0,0,3,0,0,1,676,0,3,679,0
106,84,152,23,157,2,59,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,397,0,4,401,0
107,84(A),199,15,200,5,21,0,0,0,1,0,0,0,3,5,1,2,4,0,0,0,1,2,459,0,0,459,0
108,85,271,39,297,4,75,0,0,0,2,0,2,1,2,7,0,0,0,1,2,0,0,0,703,0,2,705,0
109,86,178,49,298,2,51,0,2,0,1,2,2,1,2,6,3,2,1,1,1,0,1,0,603,0,2,605,0
110,87,159,34,246,1,38,2,1,0,0,0,0,0,1,3,0,3,1,1,1,0,0,0,491,0,2,493,0
111,87(A),158,15,262,6,13,0,1,0,2,0,0,1,2,2,3,5,2,5,4,1,0,0,482,0,3,485,0
112,88,157,44,206,3,41,0,0,0,1,0,1,0,0,4,1,3,3,1,0,0,1,1,467,0,4,471,0
113,89,330,74,365,3,59,2,1,0,2,1,2,0,2,5,3,3,3,1,2,0,2,0,860,0,9,869,0
114,90,164,66,179,3,32,1,0,0,0,1,1,1,0,7,1,2,3,2,2,1,1,0,467,0,1,468,0
115,91,280,20,260,1,61,0,0,1,0,0,0,0,0,5,3,3,5,0,1,0,0,0,640,0,2,642,0
