Sl. No,Polling Station No,V.M.S. MUBARAK. MOHAMED,LARENEG RAJA,S emaN VEERASUBRAMANIYAN,srotcelE,OT eht K SADAGOPAN.,ALNT,TRAP M RAJ. INFANT LEO,I SAMUVEL JOHN,D JESUPATHAM.,IATTOKMAYALAP,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
349,239A,379,4,4,0,51,0,0,4,0,0,442,0,0,442,
350,240,298,8,18,2,89,0,0,0,0,0,415,0,1,416,
351,240A,370,11,14,4,73,1,0,2,0,0,475,0,2,477,
352,241,266,32,28,6,51,0,0,0,0,1,384,0,2,386,
353,241A,341,51,22,6,43,1,1,0,0,1,466,0,1,467,
354,242,230,64,20,3,65,0,0,0,0,1,383,0,1,384,
355,242A,301,61,15,8,62,0,0,0,0,0,447,0,5,452,
356,243,433,5,15,2,97,0,0,1,0,0,553,0,2,555,
357,244,554,6,11,1,127,1,0,1,0,0,701,0,1,702,
358,245,451,14,8,3,106,1,0,0,0,0,583,0,0,583,
359,246,472,5,10,2,85,1,0,1,0,0,576,0,2,578,
360,247,295,14,9,2,69,2,1,0,1,1,394,0,0,394,
361,247A,370,10,10,0,68,0,0,1,0,0,459,0,1,460,
362,248,130,126,42,10,123,0,0,0,1,0,432,0,5,437,
363,248A,171,126,18,7,111,0,0,2,2,0,437,0,6,443,
364,249,163,120,28,6,99,1,0,0,0,0,417,0,6,423,
365,249A,182,98,16,5,96,0,0,4,1,2,404,0,3,407,
366,250,310,149,79,6,53,1,0,3,0,3,604,0,11,615,
367,251,322,3,8,1,67,1,0,1,0,0,403,0,1,404,
368,252,265,4,6,0,23,0,0,0,0,0,298,0,2,300,
369,253,493,17,9,2,79,0,0,0,0,0,600,0,2,602,
370,254,400,6,15,1,62,0,0,0,0,0,484,0,1,485,
371,254A,478,1,9,4,53,0,0,2,0,0,547,0,1,548,
372,255,440,10,11,0,88,0,0,1,1,1,552,0,1,553,
373,256,362,20,12,2,89,0,0,0,0,0,485,0,1,486,
374,257,389,62,35,16,42,0,0,0,0,0,544,0,5,549,
375,258,212,10,17,1,61,1,0,0,0,0,302,0,2,304,
376,258A,285,13,5,3,55,0,1,1,0,1,364,0,5,369,
377,259,434,25,19,2,78,0,1,0,2,0,561,0,1,562,
378,260,270,7,10,1,58,0,0,0,0,0,346,0,0,346,
379,260A,335,2,9,3,53,1,0,2,0,2,407,0,6,413,
380,261,516,13,16,3,69,1,1,3,0,0,622,0,3,625,
381,262,364,9,5,1,46,0,0,1,0,0,426,0,4,430,
382,263,242,24,20,6,57,3,0,0,0,1,353,0,0,353,
383,263A,320,26,18,0,59,3,2,1,0,0,429,0,3,432,
384,264,302,37,27,4,60,0,1,0,0,0,431,0,3,434,
385,264A,361,37,10,3,44,0,0,1,1,1,458,0,5,463,
386,265,347,50,19,4,51,0,0,1,0,0,472,0,0,472,
387,266,284,193,58,21,63,0,0,1,0,0,620,0,5,625,
388,267,265,151,74,25,54,0,0,0,0,1,570,0,4,574,
389,268,135,137,59,7,4,0,0,3,4,3,352,0,8,360,
