Polling Station No.,Building,Polling Areas
51,"ST ANTONY'S MIDDLE SCHOOL( LEFT SIDE 4TH HALL),KOTAGIRI - 643217","1.KOTAGIRI(TP), WARD NO.7 KODANADU ROAD, KUPPATTICOMBAI , 2.KOTAGIRI(TP), WARD NO.7 DONINGTON ROAD , 3.KOTAGIRI(TP), WARD NO.11 DONBASCO , 999.OVERSEAS ELECTORS"
52,"ST ANTONY'S MIDDLE SCHOOL( LEFT SIDE 6TH HALL), KOTAGIRI - 643217","1.KOTAGIRI(TP), WARD NO 6 KALPANA COTTAGE , 2.KOTAGIRI(TP), WARD NO.7 KUPPATTI COMBAI, ALFORTS , 999.OVERSEAS ELECTORS"
53,"ST ANTONY'S MIDDLE SCHOOL( LEFT SIDE 7TH HALL), KOTAGIRI - 643217","1.KOTAGIRI(TP), WARD NO.11 DHARMONA , 2.KOTAGIRI(TP), WARD NO.12 METTUPALAYAM ROAD , 999.OVERSEAS ELECTORS"
54,"ST ANTONY'S MIDDLE SCHOOL ( OLD BUILDING), KOTAGIRI - 643217","1.KOTAGIRI(TP), Ward no.6 Kalpana Cottage , 2.KOTAGIRI(TP), WARD NO.6 CLUB ROAD , 3.KOTAGIRI(TP), WARD NO.6 SILGATTUPATTA, AMBETHKAR NAGAR , 999.OVERSEAS ELECTORS"
55,"ST ANTONY'S MIDDLE SCHOOL ( OLD BUILDING), ( RIGHT SIDE) KOTAGIRI - 643217","1.KOTAGIRI(TP), WARD NO.15 R.K.C.LINE , 2.KOTAGIRI(TP), WARD NO.15 GORHOUSE , 3.KOTAGIRI(TP), WARD NO.15 BAZAAR , 4.KOTAGIRI(TP), WARD NO.15 MURUGAN COLONY , 5.KOTAGIRI(TP), WARD NO.18 ROSE COTTAGE , 999.OVERSEAS ELECTORS"
56,"PANCHAYAT UNION MIDDLE SCHOOL ( RIGHT SIDE) , KERBETTA - 643217","1.KOTAGIRI(TP), WARD NO.8 KERBETTA PALAIYAHATTY , 2.KOTAGIRI(TP), WARD NO.8 KERBETTA NADUHATTY , 999.OVERSEAS ELECTORS"
57,"PANCHAYAT UNION MIDDLE SCHOOL, ( LEFT SIDE) KERBETTA - 643217","1.KOTAGIRI(TP), WARD NO.8 BHARATHI NAGAR , 2.KOTAGIRI(TP), WARD NO.8 KERBETTA HOSATTY , 3.KOTAGIRI(TP), WARD NO.9 KERBETTA ESTATE , 4.KOTAGIRI(TP), WARD NO.9 IDUKORAI , 5.KOTAGIRI(TP), WARD NO. 9 IDUKORAI ARULNAGAR , 6.KOTAGIRI(TP), WARD NO.9 PUDUR , 999.OVERSEAS ELECTORS"
58,"PANCHAYAT UNION PRIMARY SCHOOL, KERBETTA OSATTY - 643217","1.KOTAGIRI(TP), WARD NO. 9 IDUKORAI ARULNAGAR , 2.KOTAGIRI(TP), WARD NO.10 KERBETTA ESTATE , 3.KOTAGIRI(TP), WARD NO.10 K.K.NAGAR , 4.KOTAGIRI(TP), WARD NO.10 PARAI MEDU , 999.OVERSEAS ELECTORS"
59,"GOVT HR SEC SCHOOL (RIGHT SIDE), KOTAGIRI - 643217","1.KOTAGIRI(TP), WARD NO.12 AVENUE ROAD , 2.KOTAGIRI(TP), WARD NO.12 GREENWAYS ROAD , 3.KOTAGIRI(TP), WARD NO.12 INDCO TEA FACTORY , 4.KOTAGIRI(TP), WARD NO.12 GANDHI NAGAR DONINGTON , 5.KOTAGIRI(TP), WARD NO.12 DONINGTON , 6.KOTAGIRI(TP), WARD NO.18 BAZAAR , 999.OVERSEAS ELECTORS"
60,"GOVT HR SEC SCHOOL (XII th STD,RIGHT SIDE), KOTAGIRI - 643217","1.KOTHAGIRI(TP), WARD 19 DOBIKANA CROSSHILL , 2.KOTAGIRI(TP), WARD NO.19 KAMBAIKATAI CROSS HILL , 3.KOTAGIRI(TP), WARD NO.19 CORSELY ROAD CROSSHILL , 4.KOTAGIRI(TP), WARD NO.19 THAINGAMALAI ROAD , 999.OVERSEAS ELECTORS"
