Sl. No,Polling Station No,Rajendran .R DMK,PPN M.P. Panneerselvam,G. Venkatachalam AIADMK,BSPS.Velan,"KMRGMMM.A.Shahjahan,Shahjahan,Ahamed@","N Eswaran, Imaya NTK","R.S. Chakravarthy, Guru MNM",C. Natarajan AMMK,PIMS.Babu,KM Dhesiya Dhurai Murali,"IPA C. Vaathiar, Murugan","Sundaram, M. Shanmuga IND","INDR.Kumar,Senthil",N. Devaraj IND,M.R. Nawazudieen IND,R. Palanisamy IND,"INDA.Kumar,Ramesh",P. Ramachandran IND,S. Rajasekar IND,T. Vijayaraj IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
74,47,189,0,230,0,0,10,2,1,0,0,0,0,0,0,0,1,0,0,0,0,433,3,0,436
75,48M,206,0,169,0,0,28,27,2,0,0,0,1,0,0,0,1,0,0,0,0,434,2,0,436
76,48A(W),192,0,161,0,1,15,24,1,0,0,0,0,0,1,0,1,0,0,1,0,397,3,0,400
77,49M,228,2,177,0,0,18,35,1,0,0,0,0,0,0,0,0,0,0,0,0,461,3,0,464
78,49A(W),204,1,192,1,1,7,36,0,0,0,0,1,0,0,0,0,0,0,1,0,444,3,0,447
79,50M,177,0,266,0,0,19,15,1,0,0,0,0,0,0,0,0,1,0,2,0,481,3,0,484
80,50A(W),132,2,346,4,0,4,9,0,0,0,0,0,1,1,1,2,2,0,1,0,505,3,0,508
81,51M,230,1,119,0,2,27,23,0,0,0,0,0,0,0,0,1,0,0,0,0,403,4,0,407
82,51A(W),238,1,134,1,0,10,22,0,0,0,0,0,0,1,0,0,0,0,0,0,407,2,0,409
83,52M,219,0,111,0,0,24,39,1,0,0,1,0,0,0,0,0,0,0,0,0,395,2,0,397
84,52A(W),200,1,129,0,0,11,45,1,0,0,0,0,0,1,0,0,1,0,0,0,389,6,0,395
85,53,329,2,332,1,1,31,18,10,0,0,0,0,1,1,0,2,1,0,1,0,730,2,0,732
86,54,381,4,224,0,1,32,26,4,0,0,0,1,0,0,0,0,0,0,1,0,674,2,0,676
87,55M,233,0,87,0,0,31,36,2,0,0,0,1,0,0,0,1,0,0,0,0,391,1,0,392
88,55A(W),263,1,130,0,1,14,23,1,0,0,0,0,0,0,1,0,0,0,1,0,435,4,0,439
89,56M,233,0,173,0,0,33,36,0,0,0,0,0,0,0,0,0,0,0,0,0,475,6,0,481
90,56A(W),195,1,228,1,0,21,37,1,0,0,0,0,0,0,0,1,0,0,2,0,487,3,0,490
