Polling Station No.,Building,Polling Areas
34,"PANCHAYAT UNION MIDDILE SCHOOL (RIGHT WING), CHERANGODU BAZAAR - 643220","1.CHERANGODE(R.V) And (P), WARD NO 12 MAZHAVAN CHARAMBADI , 2.CHERANGODE(R.V) And (P), WARD NO 13 PADACHERY , 3.CHERANGODE(R.V) And (P), WARD NO 13 CHERANGODU BAZAAR , 999.OVERSEAS ELECTORS"
35,"PANCHAYAT UNION MIDDILE SCHOOL (LEFT WING), CHERANGODU BAZAAR - 643220","1.CHERANGODE(R.V) And (P), WARD NO 14 CHARAMBADI THEYILAI KOTTAM , 999.OVERSEAS ELECTORS"
36,"PANCHAYAT UNION COMMUNITY HALL , CHERANGODU BAZAAR - 643220","1.CHERANGODE(R.V) And (P), WARD NO 13 CHERANGODU CHECK POST , 2.CHERANGODE(R.V) And (P), WARD NO 13 CHERANGODU , 3.CHERANGODE(R.V) And (P), WARD NO 13 ERUMBHUPALAM , 4.CHERANGODE(R.V) And (P), WARD NO 14 KAPI KADU , 5.CHERANGODE(R.V) And (P), WARD NO 13 MANDAYSWAMI KOIL , 6.CHERANGODE(R.V) AND (P), WARD NO 13 PADACHERY , 7.CHERANGODE(R.V) AND (P), WARD NO 13 CINCONNA THOTTAM , 8.CHERANGODE(R.V) And (P), CHERAMBADI THEYILAI KOTTAM SARAGAM(4) , 999.OVERSEAS ELECTORS"
37,"PANCHAYAT UNION MIDDLE SCHOOL ADDL. BUILDING (RIGHT SIDE), CHERANGODU BAZAAR - 643220","1.CHERANGODE(R.V) And (P), WARD NO 13 CHERMBADI TEA DIVISION 2 , 2.CHERANGODE(R.V) And (P), WAARD NO 13 CHERANGODU IRUMBHU PALAM , 3.CHERANGODE(R.V) And (P), WARD NO 1 PADACHERY , 4.CHERANGODE(R.V) And (P), WARD NO 13 NAYAKKAN SHOLAI , 5.CHERANGODE(R.V) And (P), WARD NO 13 FOREST OFFICER QUARTERS , 6.CHERANGODE(R.V) And (P), WARD NO 13 MUSTROLL SHED , 7.CHERANGODE(R.V) And (P), WARD NO 13 FACTORY MATTOM , 999.OVERSEAS ELECTORS"
38,"PANCHAYAT UNION PRIMARY SCHOOL ( LEFT WING), GOLESLAND - 643205","1.CHERANGODE(R.V) And (P), WARD NO 15 GOLES LAND , 2.CHERANGODE(R.V) And (P), WARD NO 15 CHERAMBADI ESTATE , 999.OVERSEAS ELECTORS"
39,"PANCHAYAT UNION PRIMARY SCHOOL ( RIGHT WING), GOLESLAND - 643205","1.CHERANGODE(R.V) And (P), WARD NO 15 NAYAKKAN SOLAI , 999.OVERSEAS ELECTORS"
40,"PANCHAYAT UNION PRIMARY SCHOOL, KANNAMVAYAL - 643205","1.CHERANGODE(R.V) And (P), WARD NO 16 KANNAM PALLI , 2.CHERANGODE(R.V) And (P), WARD NO 16 NUMBER 12 , 3.CHERANGODE(R.V) And (P), WARD NO 16 CHEVATTY , 999.OVERSEAS ELECTORS"
41,"GOVERNMENT HIGHER SECONDARY SCHOOL (RIGHT SIDE), CHERAMBADI - 643205","1.CHERANGODE(R.V) And (P), WARD NO 17 KORANCHAAL THIRUVALLUVAR NAGAR , 2.CHERANGODE(R.V) And (P), WARD NO 17 ANNA NAGAR , 3.CHERANGODE(R.V) AND (P), WARD NO 17 Lenin Nagar , 999.OVERSEAS ELECTORS"
42,"GOVERNMENT HIGHER SECONDARY SCHOOL (LEFT SIDE), CHERAMBADI - 643205","1.CHERANGODE(R.V) And (P), WARD NO 17 KORANCHAAL Lenin Nagar , 2.CHERANGODE(R.V) And (P), WARD NO 17 CHERAMBADI MARKET ROAD , 3.CHERANGODE(R.V) And (P), WARD NO 17 KORANCHAAL THIRUVALLUVAR NAGAR , 4.CHERANGODE(R.V) And (P), WARD NO 17 KORANCHAAL , 5.CHERANGODE(R.V) And (P), WARD NO 17 KORANCHAAL KURUNJI NAGAR , 6.CHERANGODE(R.V) And (P), WARD NO 17 SUNGHAM , 7.CHERANGODE(R.V) And (P), WARD NO 17 PALAVADI VALAIVU , 8.CHERANGODE(R.V) And (P), WARD NO 17 CHERAMBADI BAZAAR , 9.CHERANGODE(R.V) And (P), WARD NO 17 ANNA NAGAR , 999.OVERSEAS ELECTORS"
43,"GOVERNMENT HIGHER SECONDARY SCHOOL (RIGHT WING), CHERAMBADI - 643205","1.CHERANGODE(R.V) And (P), WARD NO 18 CHANDANAMAKUNNU , 2.CHERANGODE(R.V) And (P), WARD NO 18 NELLIKUNNU , 3.CHERANGODE(R.V) AND (P), WARD NO 18 PALLIKUNNU , 999.OVERSEAS ELECTORS"
44,"GOVERNMENT HIGHER SECONDARY SCHOOL (LEFT WING), CHERAMBADI - 643205","1.CHERANGODE(R.V) And (P), WARD NO 17 SUNGHAM , 2.CHERANGODE(R.V) And (P), WARD NO 17 ADI DRAVIDAR COLONY , 3.CHERANGODE(R.V) And (P), WARD NO 17 CHERAMBADI BAZAAR , 4.CHERANGODE(R.V) And (P), WARD NO 17 NESLE KUDIERUPU , 999.OVERSEAS ELECTORS"
45,"PANCHAYAT UNION PRIMARY SCHOOL ADDL. NEW BUILDING (RIGHT WING), MANNATHIVAYAL - 643205","1.CHERANGODE(R.V) And (P), WARD NO 19 CHOLADI PUDIYA PADI , 2.CHERANGODE(R.V) And (P), WARD NO 19 CHOLADI PAZHAYA PADI , 999.OVERSEAS ELECTORS"
46,"PANCHAYAT UNION PRIMARY SCHOOL (LEFT WING)( OLD BUILDING ), MANNATHIVAYAL - 643205","1.ERUMAD(R.V), CHERANGODE (P), WARD NO 19 CHOLADI , 2.ERUMAD(R.V), CHERANGODE (P), WARD NO 20 MANAL VAYAL , 3.ERUMAD(R.V), CHERANGODE (P), WARD NO 20 VANNATHIVAYAL , 999.OVERSEAS ELECTORS"
47,"PANCHAYAT UNION PRIMARY SCHOOL ADDL. BUILDING (LEFT WING), MANNATHIVAYAL - 643205","1.ERUMAD(R.V), CHERANGODE (P), WARD NO 20 MANALVAYAL , 2.ERUMAD(R.V), CHERANGODE (P), WARD NO 20 VANNATHIVAYAL , 3.ERUMAD(R.V), CHERANGODE (P), WARD NO 20 ULUVADU , 999.OVERSEAS ELECTORS"
48,"PANCHAYAT UNION MIDDLE SCHOOL (NEW BUILDING), MARADI - 643239","1.ERUMAD(R.V), CHERANGODE (P), WARD NO 20 PANANCHIRA , 2.ERUMAD(R.V), CHERANGODE (P), WARD NO 20 MARADI , 3.ERUMAD(R.V), CHERANGODE (P), WARD NO 20 KARAMBURAM MEDU , 4.ERUMAD(R.V), CHERANGODE (P), WARD NO 20 PUTHUM VAYAL , 999.OVERSEAS ELECTORS"
