Polling Station No.,Building,Polling Areas
27,"PANCHAYAT UNION PRIMARY SCHOOL,NEW BUILDING,NORTH PORTION. (SOUTH FACING) ULAGAMPATTI.","1.Ulagampatti (p) (RV) W-1 sengaikarai , 2.Ulagampatti (p) (RV) W-1 adaikalangadu , 3.Ulagampatti (p) (RV) W-1 puthuvalavu street , 4.Ulagampatti (p) (RV) W-1 kurumpalur road , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
28,"PANCHAYAT UNION PRIMARY SCHOOL, NEW BUILDING, SOUTH PORTION. (NORTH FACING) ULAGAMPATTI.","1.Ulagampatti (p) (RV) W-2 middle street , 2.Ulagampatti (p) (RV) W-2 kadai veethi , 3.Ulagampatti (p) (RV) W-3 nallan kovil street , 4.Ulagampatti (p) (RV) W-3 mattankadu , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
29,"PANCHAYAT UNION PRIMARY SCHOOL, ULAGAMPATTI ,ADDITIONAL BUILDING BLOCK-2","1.Ulagampatti (p) (RV) W-4 puthuvadi north , 2.Ulagampatti (p) (RV) W-4 puthuvadi main , 3.Ulagampatti (p) (RV) W-4 puthuvadi south , 4.Ulagampatti (p) (RV) W-4 puthuvadi colony , 5.Ulagampatti (p) (RV) W-5 ramnagar , 6.Ulagampatti (p) (RV) W-5 padaminji main , 7.Ulagampatti (p) (RV) W-5 padaminji west , 8.Ulagampatti (p) (RV) W-5 padaminji colony , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
30,"PANCHAYAT UNION PRIMARY SCHOOL, MANTHAGUDIPATTI ,ADDITIONAL BUILDING","1.Manthakudipatti (RV) W-2 manthakudi patti , 2.Manthakudipatti (RV) W-2 manthakudi patti , 3.Murukkapatti (u) (RV) W-2 murukkapatti , 4.Murukkapatti (u) (RV) W-2 murukkapatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
31,"PANCHAYAT UNION PRIMARY SCHOOL,ARANIPATTI","1.Manthakudipatti (RV) W-1 aranipatti , 2.Aranipatti (u) (RV) W-1 Aranipatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
32,"PANCHAYAT UNION PRIMARY SCHOOL, K.NEDUVAYAL ,ADDITIONAL BUILDING","1.Netuvayalunion (RV) W-1 k. neduvayal centre , 2.Netuvayalunion (RV) W-1 naduvayal south , 3.Netuvayalunion (RV) W-1 neduvayal colony , 4.Netuvayalunion (RV) W-1 kalathu veedu , 5.Netuvayalunion (RV) W-2 neduvayal west , 6.Netuvayalunion (RV) W-2 neduvayal north , 7.Netuvayalunion (RV) W-2 naduvayal south , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
33,"PANCHAYAT UNIONMIDDLE SCHOOL, VELLIYANGUDIPATTI","1.Netuvayalunion (RV) W-3 Kayampatti North , 2.Netuvayalunion (RV) W-3 Kayampatti South . , 3.Netuvayalunion (RV) W- 3 Kayampatti West. , 4.Netuvayalunion (RV) W- 3 Melan Street. , 5.Netuvayalunion (RV) W- 3 Vellaiayangudipatti Colony. , 6.Netuvayalunion (RV) W-3 Pannap patti. , 7.Netuvayalunion (RV) W-2 Ammapatti West. , 8.Netuvayalunion (RV) W-2 Ayyapatti East. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
34,"PANCHAYAT UNION MIDDLE SCHOOL, URATHUPATTI ,NEW BUILDING SOUTH WING","1.Urathupatti union minnamalaipatti (RV) W-1 urathupatti , 2.Urathupatti union minmalaipatti (RV) W-1 urathupatti southu street , 3.Urathupatti union minmalaipatti (RV) W-1 urathupatti naduvalavu , 4.Urathupatti union minmalaipatti (RV) W-1 urathupatti konervalavu , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
35,"PANCHAYAT UNION MIDDLE SCHOOL, URATHUPATTI ,SSA BUILDING","1.Urathupatti union minmalaipatti (RV) W-2 vellam patti , 2.Urathupatti union minmalaipatti (RV) W-2 velampatti colany , 3.Urathupatti union minmalaipatti (RV) W-2 kallangalapatti north , 4.Urathupatti union minmalaipatti (RV) W-2 kallangalappatti south , 5.Urathupatti union minmalaipatti (RV) W-2 kallangalapatti west , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
36,"PANCHAYAT UNION PRIMARY SCHOOL, NEW BUILDING,SOUTH PORTION. (NORTH FACING) KATTUKUDIPATTI.","1.Manaloor (P) (RV) Ward-1Puthukalany , 2.Manaloor (P) (RV) Ward-1Chettiooranikarai , 3.Manaloor (P) (RV) Ward-1 A.T.Kalany , 4.Manaloor (P) (RV) Ward-1 Puthuvalavu , 5.Manaloor (P) (RV) Ward-1main road west part , 6.Manaloor (P) (RV) Ward-1Kalludayankovil street , 7.Manaloor (P) (RV) Ward-1 Vellayammal kovil street , 8.Manaloor (P) (RV) Ward-1 manthavelli , 9.Manaloor (P) (RV) Ward-1 Aathithravidar Colony new , 10.Manaloor (P) (RV) Ward-1 aathithravidarkalany old , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
