Polling Station No.,Building,Polling Areas
25,"T.D.T.A. Middle School,New South Building East Portion,Pethanadarpatti.","1.Pethanadarpatti (R.V),Pethanadarpatti (P) Ambedkar St 1. , 2.Pethanadarpatti (R.V),Pethanadarpatti (P) Arunaperi East1. , 3.Pethanadarpatti (R.V),Pethanadarpatti (P) Arunaperi West 1. , 4.Pethanadarpatti (R.V),Pethanadarpatti (P) Indra Nagar 1. , 5.Pethanadarpetti (R.V)Pethanadarpetti (P) Rajive nagar 2 , 6.Pethanadarpatti (R.V),Pethanadarpatti (P) Chitiraputhiranoor 5 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
26,"T.D.T.A. Middle School,New Building West Portion,Pethanadarpatti.","1.Pethanadarpatti (R.V),Pethanadarpatti (P) Mahilvannanathapuram 1. , 2.Pethanadarpatti (R.V),Pethanadarpatti (P) Mahivannanatha puram East Street 2. , 3.Pethanadarpatti. (R.V),Pethanadarpatti. (P) Mahilvannanathapuram West St 2. , 4.Pethanadarpatti (R.V),Pethanadarpatti (P) Pethanadarpatti West St 2. , 5.Pethanadarpatti (R.V),Pethanadarpatti (P) Pottaloor 5 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
27,"T.D.T.A.Middle School,Additional Building Centre Portion,Pethanadarpatti.","1.Pethanadarpatti (R.V),Pethanadarpatti (P) Pethanadarpatti South St, Block No 3. , 2.Pethanadarpatti (R.V),Pethanadarpatti (P) Pethanadarpatti Kamarjar St, Block 3. , 3.Pethanadarpatti (R.V), Pethanadarpatti (P) Pethanadarpatti East St 1, Block 3. , 4.Pethanadarpatti (R.V), Pethanadarpatti (P) Pethanadarpatti East Street 2, Block 3. , 5.Pethanadarpatti (R.V),Pethanadarpatti (P) Pethanadarpatti Kaspa St Block No 4. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
28,"T.D.T.A.Middle School,Additional Building North Portion,Pethanadarpatti.","1.Pethanadarpatti (R.V),Pethanadarpatti (P) ChitiraputhiranoorBlock No 4. , 2.Pethanadarpatti (R.V),Pethanadarpatti (P) Block No 4,Shunmugapuram 10. , 3.Pethanadarpatti (R.V),Pethanadarpatti (P) Block No 4,Arunthathiyar Street 10. , 4.Pethanadarpatti (R.V),Pethanadarpatti (P) MuruganKurichi 10 , 5.Pethanadarpatti (R.V),Pethanadarpatti (P) Ramasamypatti 10 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
29,"Panchayat Union Primary School,Karisaloor,Pethanadarpatti","1.Pethanadarpatti (R.V),Pethanadarpatti (P) Karisaloor North Street. , 2.Pethanadarpatti (R.V),Pethanadarpatti (P) Karisaloor South Street 6. , 3.Pethanadarpatti (R.V),Pethanadarpatti (P) Karisaloor East St. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
30,"Panchayat Union Middle School,Old South Building,Chellathayarpuram","1.Pethanadarpatti (R.V),Pethanadarpatti (P) Chellathayapuram North St 7. , 2.Pethanadarpatti (R.V),Pethanadarpatti (P) Chellathayapuram East St 6. , 3.Pethanadarpatti (R.V),Pethanadarpatti (P) Chellathayapuram Middle St.6 , 4.Pethanadarpatti (R.V),Pethanadarpatti (P) Chellathayapuram South St. , 5.Pethanadarpatti (R.V),Pethanadarpatti (P) Krishanaperi 7. , 6.Pethanadarpatti (R.V),Pethanadarpatti (P) Nehru Nagar 7. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
31,"Panchayat Union Primary School,New Building,Poobalasamudram.","1.Pethanadarpatti (R.V),Pethanadarpatti (P) Poobala Samuthiram East St 8. , 2.Pethanadarpatti (R.V),Pethanadarpatti (P) Poobala Samuthiram West St 8. , 3.Pethanadarpatti (R.V),Pethanadarpatti (P) Kamarajar Nagar 8. , 4.Pethanadarpatti (R.V),Pethanadarpatti (P) Meenatchi Sundarapuram 8. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
32,"Panchayat Union Primary School,East Building,Poobalasamudram.","1.Pethanadarpetti (R.V),Pethenadarpetti (P) Navaneetha Krishnapuram East Street. , 2.Pethanadarpatti (R.V),Pethanadarpatti (P) Navaneetha Krishnapuram , 3.Pethanadarpatti (R.V),Pethanadarpatti (P) Ilangapuri Pattanam , 4.Pethanadarpatti (R.V),Pethanadarpatti (P) Periyasamipuram , 5.Pethanadarpatti (R.V),Pethanadarpatti (P) Kali Nagar , 6.Pethanadarpatti (R.V),Pethanadarpatti (P) Sundaralingapuram , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
33,"Panchayat Union Primary School,East Building,Poolangulam.","1.Poolangulam (T.P),Poolangulam (P) Block No 3,Pillayar Kovil St. , 2.Poolangulam (R.V),Poolangulam (P) Block no 3,Kaliamman Nagar , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
34,"Panchayat Union Primary School,North Building,East Portion,Poolangulam.","1.Poolangulam (R.V),Poolangulam (P) Block No 3,Panchayat Board West Portion. , 2.Poolangulam (R.V),Poolangulam (P) Block No 3,Ramasamy Kovil St. , 3.Poolangulam (R.V),Poolangulam (P) Block 4, Middle Poolangulam Mariamman Kovil st. , 4.Poolangulam (R.V),Poolangulam (P) Block 4,Middle Poolangulam Narayanasamy Kovil St. , 5.Poolangulam (R,V),Poolangulam (P) Block 4, VattaKinaru St 1. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
