Sl. No,Polling Station No,"M,Chinnanann BSP",DMKA.K.Tharun,M. Rajamuthu AIADMK,ahtumA .R IJK,Dhesiya KM Sathiyavani,AMMKS.K.Selvam,KTVV P. Prabakaran,PIMM.Mani,KMJIA S. Manikandan,ICUS)Communist(P.Mohan,S. Rajeshkumar NTK,Guptha Indrajith IND,J. Senthilkumar IND,"E. Murugan, Senthil IND",INDM.Sekar,INDV.Mohan,C. Ramesh IND,K. Rajarathinam IND,A. Venkat IND,M. Vaithi IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
268,223,0,277,308,2,0,4,0,0,0,2,34,2,0,0,0,0,0,1,1,0,631,3,0,634
269,224,0,316,325,6,1,12,1,0,0,0,26,0,0,0,1,1,0,1,0,0,690,5,0,695
270,225,0,241,213,2,0,3,0,0,0,2,17,0,0,1,0,1,0,0,1,0,481,4,0,485
271,226,1,366,394,11,1,12,0,0,0,2,34,1,0,1,1,0,0,0,0,1,825,3,0,828
272,227,2,466,369,5,0,14,2,1,0,1,43,0,0,3,0,1,0,2,0,0,909,5,0,914
273,228M,0,213,276,2,0,6,0,0,0,0,21,0,1,1,0,0,0,0,0,0,520,2,0,522
274,228A(W),2,173,290,1,0,6,0,0,0,0,10,0,0,2,1,1,0,0,0,0,486,2,0,488
275,229,0,354,218,1,0,21,1,0,0,1,22,0,0,0,0,0,0,0,0,0,618,7,0,625
276,230,1,300,246,1,0,14,0,0,0,0,23,1,0,0,1,1,0,0,1,0,589,4,0,593
277,231,3,434,331,2,0,21,2,1,0,0,24,1,0,3,3,2,0,1,0,0,828,7,0,835
278,232,3,332,434,4,0,39,0,0,1,2,35,2,1,0,1,1,0,0,0,0,855,11,0,866
279,233,3,270,349,11,1,2,0,2,0,0,45,1,0,0,0,2,0,1,0,0,687,11,0,698
280,234,0,203,278,13,0,7,0,0,0,1,41,0,0,1,0,2,0,0,0,0,546,9,0,555
281,235,0,309,337,7,0,19,0,0,0,0,38,0,0,0,0,2,0,1,2,0,715,4,0,719
282,236,1,244,276,4,0,12,1,0,0,0,35,0,0,1,2,0,0,0,0,0,576,7,0,583
283,237,0,299,268,2,0,20,0,0,0,0,41,2,0,0,0,1,0,0,1,0,634,2,0,636
284,238,1,284,280,3,0,13,0,0,0,0,23,0,0,0,0,2,0,0,1,0,607,7,0,614
285,239,2,345,257,13,0,4,0,3,1,0,42,0,0,1,1,0,0,0,0,0,669,4,0,673
286,240,1,291,256,7,0,10,0,1,1,1,36,0,0,0,0,4,0,0,4,0,612,3,0,615
287,241,0,242,282,1,0,20,0,0,0,0,14,0,0,0,0,0,0,0,0,0,559,1,0,560
288,242,2,438,347,5,1,13,0,0,0,0,32,0,0,0,0,0,0,2,1,0,841,10,0,851
289,243M,1,197,223,4,0,19,0,0,0,0,47,1,0,0,1,0,0,0,2,0,495,4,0,499
290,243A(W),0,189,240,3,0,4,0,0,0,0,20,2,0,0,0,1,0,0,2,0,461,5,0,466
291,244,1,371,333,7,1,1,0,1,0,1,43,0,0,0,0,2,0,2,1,0,764,10,0,774
292,245,2,305,416,4,0,17,0,0,0,0,51,1,0,1,1,1,0,0,1,0,800,3,0,803
293,246M,0,215,321,4,0,15,2,1,0,0,13,1,0,1,0,1,0,0,1,0,575,3,0,578
294,246A(W),1,178,345,4,0,8,0,1,0,0,3,1,1,2,0,0,1,0,4,1,550,3,0,553
295,247M,1,221,285,0,0,29,1,0,0,0,9,0,0,2,1,2,0,0,0,0,551,2,0,553
296,247A(W),0,166,302,1,0,20,0,0,0,0,3,0,0,0,0,0,1,0,1,0,494,2,0,496
297,248,0,293,408,2,0,10,0,1,0,0,13,1,1,1,2,2,0,2,2,0,738,2,0,740
298,249,1,302,481,3,0,44,0,1,0,0,22,0,0,0,0,0,0,2,1,1,858,4,0,862
299,250,0,216,364,4,1,20,2,0,0,0,23,1,0,4,1,3,0,0,0,1,640,3,0,643
300,251,2,272,399,0,0,9,0,0,0,0,19,1,0,1,0,2,0,0,2,0,707,3,0,710
301,252M,0,215,280,0,0,17,0,1,0,1,27,0,0,1,1,1,0,0,0,0,544,1,0,545
302,252A(W),1,181,291,1,2,14,0,0,0,0,10,2,1,0,0,0,0,1,0,0,504,2,0,506
303,253,0,180,429,2,0,6,1,0,0,0,18,2,0,1,0,1,0,0,2,1,643,5,0,648
304,254,2,300,327,3,0,8,0,0,0,0,22,0,1,1,2,1,0,2,1,1,671,4,0,675
305,255,2,273,287,1,1,17,0,0,0,0,19,0,0,1,0,2,0,1,0,0,604,7,0,611
306,256,1,283,277,0,2,24,0,0,1,1,34,0,1,0,0,0,0,0,4,0,628,1,0,629
307,257,5,352,460,5,0,33,0,0,0,0,26,1,0,0,2,0,0,0,3,3,890,6,0,896
308,258,0,200,392,2,0,33,0,1,0,0,22,1,0,3,1,2,0,0,1,0,658,9,0,667
309,259,1,182,450,3,0,16,0,0,0,0,19,1,0,1,0,0,0,0,0,0,673,4,0,677
310,260,1,251,169,2,0,14,0,0,0,6,45,2,0,1,1,3,1,1,2,0,499,5,0,504
311,261,1,163,165,4,0,6,0,0,0,2,29,1,0,1,0,0,0,0,0,0,372,2,0,374
312,262,1,320,278,3,1,5,0,0,0,0,57,0,1,0,1,1,0,0,0,0,668,5,0,673
313,263,3,193,351,2,0,24,1,0,0,1,72,6,1,1,1,4,2,1,0,0,663,0,0,663
314,264,2,347,243,4,1,35,0,0,0,2,43,4,0,3,1,6,0,1,0,0,692,3,0,695
315,265,0,311,308,10,0,10,1,0,0,5,50,1,0,1,1,3,0,3,2,1,707,16,0,723
316,266,0,301,276,6,0,17,0,0,0,3,53,0,0,1,0,0,0,0,0,0,657,2,0,659
317,267,3,310,265,3,0,16,0,0,1,0,60,2,0,4,5,3,1,1,1,1,676,2,0,678
318,268,0,340,279,8,0,20,0,0,0,7,46,1,0,0,0,0,0,0,0,1,702,6,0,708
319,269,0,324,387,2,0,22,0,0,0,0,38,0,0,1,0,0,0,0,0,1,775,3,0,778
320,270,0,285,345,2,2,36,0,0,0,1,27,2,0,1,0,0,0,3,0,0,704,7,0,711
321,271,14,307,276,0,0,19,0,1,0,0,44,0,1,0,2,0,1,1,0,0,666,2,0,668
322,272,1,221,341,4,0,16,0,1,0,1,33,0,0,3,1,2,0,0,1,0,625,6,0,631
323,273,1,186,556,4,0,10,0,1,0,3,28,1,1,1,1,0,0,2,0,0,795,5,0,800
324,274M,1,260,205,2,0,24,0,0,1,0,29,2,0,0,1,0,0,3,1,0,529,1,0,530
325,274A(W),0,256,229,1,1,18,0,0,1,0,10,0,0,0,1,0,0,1,0,0,518,2,0,520
326,275,0,262,402,2,0,75,2,0,1,1,22,0,0,0,0,1,0,1,1,0,770,5,0,775
327,276,15,275,290,1,0,23,0,0,1,2,41,0,0,2,3,2,0,0,1,0,656,0,0,656
328,277,1,206,358,2,0,15,0,0,0,0,44,1,0,1,1,0,0,0,1,1,631,1,0,632
329,278,0,226,338,3,1,11,0,0,0,0,18,0,0,1,0,3,1,0,0,0,602,3,0,605
330,279,2,194,356,5,0,6,0,0,1,0,13,0,1,0,1,0,1,0,1,0,581,3,0,584
331,280,2,389,404,5,2,9,0,1,0,2,23,1,0,0,0,0,1,0,1,0,840,1,0,841
332,281,1,170,211,3,0,5,0,0,0,0,14,1,0,2,1,1,0,1,2,0,412,2,0,414
333,282,1,345,410,3,1,3,0,0,0,0,21,1,0,2,0,2,0,1,2,0,792,5,0,797
334,283,1,178,340,2,0,8,0,0,0,0,13,1,0,0,1,1,0,0,0,0,545,6,0,551
335,284,0,230,369,1,1,14,0,0,0,0,19,0,0,0,1,0,0,1,2,0,638,6,0,644
336,285,2,155,313,1,1,28,2,0,3,1,24,1,1,0,3,2,0,1,2,0,540,6,0,546
337,286,0,385,315,1,0,12,1,0,0,0,17,0,0,3,1,0,0,2,1,0,738,3,0,741
338,287,0,267,383,4,0,14,0,0,0,1,34,1,0,0,0,1,0,0,0,0,705,7,0,712
339,288,3,259,293,1,2,7,1,0,0,1,37,1,1,0,0,0,0,0,0,1,607,1,0,608
340,289,0,273,401,3,0,3,0,2,0,0,27,2,0,2,0,2,1,0,0,0,716,2,0,718
341,290M,1,193,227,5,0,20,0,0,0,0,14,0,0,0,1,0,0,0,0,0,461,2,0,463
342,290A(W),3,170,251,3,1,16,0,0,0,1,4,0,0,1,0,1,0,0,2,0,453,2,0,455
343,291,1,263,299,2,1,9,0,0,0,0,22,0,0,2,1,2,0,1,2,0,605,2,0,607
344,292,0,265,271,1,0,8,0,1,0,0,8,2,1,1,1,1,0,0,1,0,561,0,0,561
345,293M,0,208,264,3,0,3,0,0,0,0,23,0,0,0,0,0,0,1,0,0,502,0,0,502
346,293A(W),2,169,269,3,1,2,2,0,1,0,7,0,0,3,1,1,0,1,2,0,464,3,0,467
347,294,1,332,454,4,1,36,0,1,1,1,29,1,3,1,6,9,0,1,2,1,884,3,0,887
348,295,3,324,405,12,0,26,0,1,0,2,18,1,2,3,1,8,1,1,2,1,811,3,0,814
349,296M,1,250,224,0,1,23,0,0,0,2,20,0,0,2,2,1,0,0,0,0,526,1,0,527
350,296A(W),1,214,238,8,1,14,1,2,1,2,5,2,1,1,3,6,1,1,3,0,505,3,0,508
351,297M,1,239,223,0,1,8,0,0,0,0,16,1,0,1,0,0,0,2,2,0,494,3,0,497
352,297A(W),2,222,217,2,0,2,0,0,1,1,4,0,0,2,1,1,0,4,2,0,461,0,0,461
353,298,4,284,389,8,1,14,0,0,0,0,47,1,0,0,0,2,0,0,3,0,753,3,0,756
354,299,1,369,472,4,0,35,0,2,0,1,35,4,0,4,2,5,0,4,6,0,944,3,0,947
