Sl. No,Polling Station No,R R. A M K U D K M A D Y A H,S I. H P T S R B O O M,maraganneP C I. A K R S U M D D A N N A,lareneG R N. A G A K H T Z N A L I M,s K G. K I. M N P A M,ot av dil K A. M L I N K M A H S,limaT etov s V I. A R D U N D I A N N A,udaN af N M. A G D N N I I L A V I,evitalsigeL ruov o f K N. A D M N U I R A H D,P N. A G U D R N U I M U R I,A N. A P P A J D N N A I N A Y I,G K. D I. N N I A M,P I. D N N A I M,S Y. M D A S N U I N U M,s e t o V d ali V al t o T,s e t o V d e t c e j e R f o o.,n o ti p o A T O N r o f s e,s e t o V al t o T,s e t o V d e r e d n e T f o o.,Total Valid Votes
257,208,182,6,0,1,19,324,3,3,0,1,1,4,0,1,2,547,0,6,553,0
258,209,261,15,1,0,27,143,7,0,0,1,1,5,0,0,0,461,0,8,469,0
259,210,324,12,0,0,28,177,5,0,2,1,1,1,3,0,2,556,0,6,562,0
260,211,290,9,0,1,23,255,6,1,0,0,2,3,0,0,1,591,0,7,598,0
261,212M,312,5,2,0,19,116,0,0,0,1,1,2,0,0,0,458,0,4,462,0
262,212A(W),315,1,1,0,12,97,5,0,2,1,3,2,0,0,1,440,0,9,449,0
263,213M,138,9,0,1,33,273,0,0,0,0,0,3,0,0,0,457,0,2,459,0
264,213A(W),139,5,0,2,12,258,0,1,1,3,2,4,0,0,1,428,0,1,429,0
265,214,188,24,0,2,23,407,6,0,1,2,5,8,1,1,2,670,0,9,679,0
266,215,82,0,0,1,11,243,1,0,0,0,1,4,0,0,0,343,0,2,345,0
267,216,510,18,1,1,46,285,4,0,1,0,0,7,1,0,0,874,0,5,879,0
268,217M,149,0,1,0,29,283,2,1,0,0,1,5,0,0,0,471,0,0,471,0
269,217A(W),138,1,1,0,13,234,2,2,1,1,4,9,1,0,0,407,0,3,410,0
270,218,267,16,1,1,27,451,2,0,1,1,2,14,0,0,0,783,0,3,786,0
271,219,190,8,0,0,12,276,2,1,1,0,1,4,3,2,5,505,0,10,515,0
272,220,308,3,0,0,70,247,10,2,0,0,1,4,0,0,0,645,0,7,652,0
273,221,175,3,0,1,22,187,6,0,1,1,4,2,1,1,2,406,0,7,413,0
274,222M,248,11,0,1,25,211,7,0,1,1,0,2,0,0,0,507,0,4,511,0
275,222A(W),230,3,0,1,9,216,10,2,2,1,0,7,0,1,0,482,0,4,486,0
276,223,360,9,0,1,38,282,7,2,2,1,1,15,4,0,0,722,0,8,730,0
277,224M,299,11,1,1,29,114,1,0,0,0,0,3,0,0,1,460,0,2,462,0
278,224A(W),357,4,0,1,10,94,2,0,0,1,1,3,0,0,0,473,0,5,478,0
279,225,395,26,2,0,18,175,2,1,0,0,0,0,0,1,1,621,0,3,624,0
280,226,172,5,0,0,15,217,2,1,2,0,0,5,0,0,1,420,0,1,421,0
281,227,158,2,0,0,13,278,2,1,0,0,3,4,0,1,0,462,0,3,465,0
282,228,313,4,1,0,56,221,2,0,0,1,0,4,0,0,1,603,0,2,605,0
283,229,353,9,0,0,22,91,2,0,0,0,0,3,0,1,0,481,0,3,484,0
284,230,481,4,0,0,39,188,2,1,0,0,1,1,0,0,0,717,0,4,721,0
285,231M,239,5,0,0,33,165,11,1,0,0,1,0,0,0,0,455,0,2,457,0
286,231A(W),282,6,0,1,14,166,6,0,0,0,1,0,0,0,1,477,0,3,480,0
287,232,368,6,1,0,28,119,4,0,2,0,0,3,3,1,0,535,0,7,542,0
288,233,278,2,0,1,18,100,5,0,0,0,2,0,0,1,2,409,0,4,413,0
289,234,172,6,1,0,22,447,3,1,1,1,0,7,1,1,0,663,0,6,669,0
290,235,178,2,2,0,12,218,1,0,1,0,1,3,0,1,0,419,0,4,423,0
291,236M,216,3,2,1,52,191,5,0,0,0,0,3,0,0,0,473,0,2,475,0
292,236A(W),210,1,0,1,14,198,6,1,0,0,2,4,1,0,3,441,0,4,445,0
293,237,376,3,1,2,39,119,3,0,0,0,0,4,2,0,2,551,0,7,558,0
294,238M,86,1,1,0,35,392,3,0,0,0,0,1,0,2,0,521,0,3,524,0
295,238A(W),80,1,0,0,7,349,2,0,0,1,0,4,1,1,1,447,0,2,449,0
296,239,76,2,1,0,20,254,4,1,0,1,1,6,1,0,0,367,0,8,375,0
297,240,256,4,0,1,55,513,4,1,1,1,3,5,3,0,0,847,0,4,851,0
298,241,176,2,0,0,23,350,4,0,1,0,1,10,1,1,0,569,0,2,571,0
299,242M,129,4,0,0,28,379,0,0,1,1,0,3,0,0,1,546,0,7,553,0
300,242A(W),138,3,4,1,12,357,1,1,1,2,1,9,0,0,1,531,0,4,535,0
301,243,105,5,2,0,33,635,3,1,0,1,0,9,0,0,0,794,0,2,796,0
302,244,228,4,1,2,36,524,5,1,1,1,2,3,0,1,0,809,0,2,811,0
303,245,258,1,1,0,19,42,1,0,0,1,0,2,0,0,0,325,0,3,328,0
304,246,301,6,3,0,18,495,3,3,0,1,2,22,0,0,0,854,0,6,860,0
305,247,249,4,0,0,30,566,4,1,1,0,5,11,1,1,3,876,0,12,888,0
306,248,368,29,4,3,23,272,10,3,1,0,3,10,1,3,1,731,0,13,744,0
