Sl. No,Polling Station No,A.KALAIVANAN Party India My,K.SIVAKUMAR Katchi Makkal Thannurimai Tamilaga,K.CHINNATHAMBI Of (Athawale) Party Republican India,N.SENGOTTUVELL U Party Socialist Ahimsa,P.NATARAJAN Katchi Tamilar Naam,R.JANAGARAJ Maiam Needhi Makkal,A.ESWARAN Independent,K.ESWARAN Independent,G.ESWARAN Independent,M.ESWARAN Independent,S.KARTHIKEYAN Independent,T.SHANMUGASUND ARAM Independent,C.SATHIESHKUMA R Independent,R.CHANDRA Independent,K.SARAVANAN Independent,M.SARASWATHI Independent,C.SENTHILKUMAR Independent,SELVARAMALINGA JALLIKKATTU M Independent,K.R.SELVARAJ Independent,C.BALAMURUGAN Independent,S.BALAMURUGAN Independent,P.BALAJICHEZHIA N Independent,R.RANJIT Independent,K.VELU Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
88,73M,223,173,0,0,1,0,36,0,10,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,446,0,3,449,0
89,73A(W),239,186,1,0,1,0,23,0,5,4,1,0,0,1,1,1,3,0,0,1,0,0,0,0,0,0,1,0,468,0,5,473,0
90,74M,222,163,0,0,0,0,58,0,17,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,464,0,5,469,0
91,74A(W),252,196,2,0,0,0,31,0,10,1,0,0,1,2,6,2,1,1,0,0,0,1,0,0,0,0,1,1,508,0,3,511,0
92,75,271,413,2,0,0,0,45,1,17,0,0,0,0,1,2,2,1,2,1,1,0,0,0,0,0,0,0,0,759,0,10,769,0
93,76,296,360,3,1,0,0,70,1,8,1,0,0,0,1,3,2,1,0,0,0,0,0,0,2,0,0,0,2,751,0,6,757,0
94,77,222,345,3,1,0,0,58,1,15,1,0,0,1,0,3,2,1,2,0,1,0,0,0,0,0,0,0,1,657,0,8,665,0
95,78,228,259,0,0,0,0,31,0,31,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,552,0,6,558,0
96,79,242,223,1,0,0,2,34,0,12,0,0,0,0,1,2,3,0,0,0,0,0,1,0,0,0,0,1,1,523,0,4,527,0
97,80M,215,174,1,0,0,0,40,0,19,3,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,456,0,3,459,0
