Polling Station No.,Building,Polling Areas
21,"Village Panchayat Service Centre,Middle Portion,East Part Kasimejorpuram","1.Courtalam (R.V) Kasimajarpuram (Pt) Ward 1 Vallabavinayagar Kovil Street , 2.Courtalam (R.V) Kasimajarpuram (Pt) Ward 2 Vallaba VinayagaKovil Street , 3.Courtalam (R.V) Kasimajarpuram (Pt) Ward 2 Kavuchami Koil Street , 4.Courtalam (R.V) Kasimajarpuram (Pt) Ward 3 Kavuchami Koil Street , 5.OVERSEAS ELECTORS OVERSEAS ELECTORS , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
22,"Hindu Middle School,New Building Western Side Southern Portion,Kasimajorpuram","1.Courtalam (R.V) Kasimajarpuram (Pt) Ward 3 Chinna Pillaiyar Kovil Street , 2.Courtalam (R.V) Kasimajarpuram (Pt) Ward 3 Chinna Thambi Koil Street , 3.Courtalam (R.V) Kasimajarpuram (Pt) Ward 3 Bharathi Nagar , 4.Courtalam (R.V) Kasimajarpuram (Pt) Ward 4 Chinnathambi Kovil Street , 5.Courtalam (R.V) Kasimajarpuram (Pt) Ward 4 Shenbaga Vinayaga Kovil Street , 6.Courtalam (R.V) Kasimajarpuram (Pt) Ward 4 Subramaniyasam Kovil Street , 7.Courtalam (R.V) Kasimajarpuram (Pt) Ward 4 Subramaniyasami Kovil Street , 8.Courtalam (R.V) Kasimajarpuram (Pt) Ward 5 Courtallam Sencottai Salai , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
23,"Township Primary School,Western Building,Western Portion,Courtallam","1.Courtallam (TP) Ward 2 Ramalayam , 2.Courtallam (TP) Ward 3 Mathalam Parai Road , 3.Courtallam (TP) Ward 4 Courtalanathar kovil Western Street , 4.Courtallam (TP) Ward 6 Lakshmipuram Street East , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
24,"Township Primary School,Western Building,Eastern Portion,Courtallam","1.Courtallam (TP) Ward 7 Sannathi Street , 2.Courtallam (TP) Ward 7 Sannathi Street North , 3.Courtallam (TP) Ward 7 Five Falls Road , 4.Courtallam (TP) Ward 6 Chithirai Sabai Veethi , 5.Courtallam (TP) Ward 6 Shencottai Road , 6.Courtallam (TP) Ward 8 Mayilodai Estate , 7.Courtallam (TP) Ward 5 Park Road , 8.Courtallam (TP) Ward 8 Five Falls Road , 9.Courtallam (TP) Ward 1 Sencottai Salai , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
25,"Farook Memorial Primary School,Northern Old Building,Kudiyiruppu","1.Melagaram (TP) Ward 12 Lakeview Colony Kudiyiruppu , 2.Melagaram (TP) Ward 12 Middle Street , 3.Melagaram (TP) Ward 11 Kudiyiruppu Middle Street , 4.Melagaram (TP) Ward 12 South Street, Kudiyiruppu , 5.Melagaram (TP) Ward 11 Public Welfare Department Colony , 6.Melagaram (TP) Ward 10 Thangamman Kovil Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
26,"Farook Memorial Primary School,Northern New Building Eastren Portion,Kudiyiruppu","1.Melagaram (TP) Ward 11 North Street Kudiyiruppu , 2.Melagaram (TP) Ward 10 Kaliyamman Kovil Street Kudiyiruppu , 3.Melagaram (TP) Ward 10 Church Street Kudiyiruppu , 4.Melagaram (TP) Ward 11 Courtalam Salai , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
27,"Venkdtachalam Primary School,New Building Western Portion,Nannagaram","1.Melagaram (TP) Ward 9 Amman Koil Street , 2.Melagaram (TP) Ward 10 Thangamman Kovil Street , 3.Melagaram (TP) Ward 7 N G O (B) Colony , 4.Melagaram (TP) Ward 8 North Street , 5.Melagaram (TP) Ward 8 Indira Nagar , 6.Melagaram (TP) Ward 9 South Street , 7.Melagaram (TP) Ward 8 Park Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
28,"Venkatachalam Primary School,New Building Eastern Portion,Nannagaram","1.Melagaram (TP) Ward 7 Min Nagar , 2.Melakaram (TP) Ward 7 Ramar Kovil Street Nannagaram , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
29,"Venkatachalam Primary School,Old Building Southern Portion,Eastern Facing,Nannagaram","1.Melakaram (TP) Ward 7 Pillaiyar Kovil Street Nannagaram , 2.Melagaram (TP) Ward 6 Venkatesapuram 1st Street , 3.Melagaram (TP) Ward 8 Park Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
30,"Government Hr.Sec. School,West Side Southern Building South Portion Hall No. 4,Melagaram","1.Melagaram (TP) Ward 5 School Street , 2.Melagaram (TP) Ward 5 Parai Kulam Street , 3.Melagaram (TP) Ward 6 Agraharam Street , 4.Melagaram (TP) Ward 6 Courtallam Salai South , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
31,"Government Hr.Sec. School,West Side Southern Building West Portion Hall No.2,Melagaram","1.Melagaram (TP) Ward 6 Theppakulam Street , 2.Melagaram (TP) Ward 6 South Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
32,"Government Hr.Sec. School,North Side Western Building East Portion Hall No.13,Melagaram","1.Melagaram (TP) Ward 3 Muppidathy Amman Koil 1 & 2nd Sandhu , 2.Melagaram (TP) Ward 4 Middle Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
33,"Government Hr.Sec. School,North Side Eastern Building Eastern Portion Hall No.3,Melagaram","1.Melagaram (TP) Ward 3 North Street , 2.Melagaram (TP) Ward 4 Ambedkar Street , 3.Melagaram (TP) Ward 4 Nelkalanjiam Street , 4.Melagaram (TP) Ward 4 Kulasekaraperi , 5.Melagaram (TP) Ward 5 Nadumudukku Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
34,"Government Hr.Sec. School,North Side Eastern Building East Portion Hall No.2,Melagaram","1.Melagaram (TP) Ward 3 Thangamman Kovil Street , 2.Melagaram (TP) Ward 3 Courtallam Salai , 3.Melagaram (TP) Ward 2 Amman Koil Street , 4.Melagaram (TP) Ward 13 State Bank Colony 1st Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
35,"Government Hr.Sec. School,North Side Eastern Building West Portion Hall No.1,,Melagaram","1.Melagaram (TP) Ward 13 State Bank Colony 3st Street , 2.Melagaram (TP) Ward 13 State Bank Colony 4st Street , 3.Melagaram (TP) Ward 13 State Bank Colony 5st Street , 4.Melagaram (TP) Ward 13 State Bank Colony 6st Street , 5.Melagaram (TP) Ward 13 State Bank Colony 6th Street Extention , 6.Melagaram (TP) Ward 13 State Bank Colony1st Street Extention , 7.Melagaram (TP) Ward 13 Ezhil Nagar , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
36,"Panchayat Union Primary School,Old Building,Northern Side,Melagaram","1.Melagaram (TP) Ward 14 N.G.O. Colony 5th Street , 2.Melagaram (TP) Ward 14 N.G.O. Colony 4th Street , 3.Melagaram (TP) Ward 14 N.G.O. Colony 3th Street , 4.Melagaram (TP) Ward 14 N.G.O. Colony 2th Street , 5.Melagaram (TP) Ward 14 N.G.O. Colony 1th Street , 6.Melagaram (TP) Ward 2 Muppidathi Amman Kovil North Lane Street , 7.Melagaram (TP) Ward 2 Muppidathi Amman Kovil Street , 8.Melagaram (TP) Ward 14 Vivekananda 1st Street , 9.Melagaram (TP) Ward 14 Vivekananda 2st Street , 10.Melagaram (TP) Ward 14 Vivekananda 3st Street , 11.Melagaram (TP) Ward 14 Vivekananda 4st Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
37,"Panchayat Union Primary School,Middle Building Facing to East,Melagaram","1.Melagaram (TP) Ward 1 BharathiNagar 1nd Street , 2.Melagaram (TP) Ward 1 BharathiNagar 2nd Street , 3.Melagaram (TP) Ward 1 BharathiNagar 3nd Street , 4.Melagaram (TP) Ward 1 BharathiNagar 4nd Street , 5.Melagaram (TP) Ward 1 BharathiNagar 5nd Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
