Sl. No,Polling Station No,R. SAVITHA,K. ANNADURAI DAVID,M. BHARANIRAJAN,M. PALANIKUMAR,A. MURUGESAN,EMAN,LARENEG V. RAJAMANI,EHT R. REVATHY,V. ARUMUGAM,S SROTCELE P. ILANGOVAN,OT S. PANDIYAN UKKRA,M. KARUNAKARAN,M. SHARMA THAYAL SANKAR,S. SEKAR,. K. PACKIYASELVI,R. BALAMURUGAN,M.M. PILLAI,MARDNUKNARAPURIHT S. MANIKANDAN,M.K. KADAR ABDUL MOHIDEEN,K.R. MURUGAN,M. GUNASEKARAN (A) RADHA,K. RAMACHANDRAN,ednet der,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
419,265(A),190,237,0,18,18,0,0,0,28,0,0,0,0,1,0,1,1,4,1,0,0,0,0,3,502,0,502,0
420,266,225,149,0,27,5,0,0,0,62,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,475,0,475,0
421,267,195,193,1,26,9,1,0,0,80,0,1,1,3,2,1,8,2,1,0,1,0,0,0,3,528,0,528,0
422,268,238,235,2,51,11,0,0,0,148,0,0,1,1,0,3,3,1,0,0,0,1,0,0,0,695,0,695,0
423,269,196,224,1,35,11,0,0,0,30,0,0,0,1,0,1,0,0,2,0,0,0,0,0,2,503,0,503,0
424,270,302,136,0,20,42,0,0,0,48,0,0,2,0,0,0,0,2,0,0,0,0,0,0,5,557,0,557,0
425,271,84,238,2,24,3,0,0,7,99,48,0,0,0,0,1,1,0,1,0,0,0,0,0,2,510,0,510,0
426,271(A),93,355,2,16,3,0,0,3,45,29,0,0,0,1,0,1,1,1,0,1,0,0,1,4,556,0,556,0
427,272,144,201,1,10,7,0,0,1,75,58,0,0,1,0,0,3,1,1,0,0,1,0,0,3,507,0,507,0
428,272(A),150,312,0,14,4,0,0,2,47,30,1,1,2,0,2,2,2,2,2,1,0,1,1,1,577,0,577,0
429,273,95,405,1,28,5,0,0,17,38,13,0,0,0,0,0,0,2,2,0,0,0,0,0,5,611,0,611,0
430,274,99,343,0,11,4,0,0,24,45,7,1,0,0,0,4,3,2,1,0,0,0,1,0,2,547,0,547,0
431,275,90,204,2,21,12,0,0,5,78,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,442,0,442,0
432,275(A),63,299,3,26,16,0,1,5,20,9,0,0,1,0,0,1,1,0,0,2,2,0,0,2,451,0,451,0
433,276,173,481,1,35,16,0,1,21,66,52,0,0,0,0,1,3,2,0,0,0,4,0,0,7,863,0,863,0
434,277,166,347,2,16,15,1,0,10,32,25,0,1,0,0,2,2,2,0,0,0,0,0,0,5,626,0,626,0
435,278,236,337,4,15,13,0,0,7,73,19,0,0,0,1,1,2,0,3,0,0,1,0,1,5,718,0,718,0
436,279,222,340,1,40,37,0,0,4,97,15,2,1,2,2,3,3,2,1,0,0,1,1,0,3,777,0,777,0
437,280,188,348,1,48,9,0,0,3,21,14,0,0,0,0,0,0,3,2,0,0,0,0,0,4,641,0,641,0
438,281,230,208,4,41,4,1,0,1,28,5,0,0,1,0,0,1,0,0,1,0,2,0,0,2,529,0,529,0
439,282,113,165,2,36,3,0,0,0,134,0,0,0,0,0,0,0,0,2,0,0,6,0,0,1,462,0,462,0
440,282(A),108,232,0,38,2,0,0,1,66,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,453,0,453,1
441,283,138,230,3,50,4,0,0,0,96,0,0,0,0,0,0,0,0,1,0,0,4,0,0,9,535,0,535,0
442,283(A),119,264,4,27,4,2,1,0,55,0,1,0,2,1,0,3,4,2,1,0,2,0,1,3,496,0,496,0
443,284,70,159,2,59,5,0,0,1,121,1,0,1,1,0,0,0,0,0,1,0,5,0,2,2,430,0,430,0
444,284(A),59,284,3,43,0,0,0,0,86,0,0,1,3,2,2,2,0,1,0,1,2,3,0,4,496,0,496,0
445,285,141,189,3,68,10,0,0,1,48,0,0,1,0,1,1,4,1,0,0,1,0,0,0,1,470,0,470,0
446,285(A),147,243,0,47,3,0,2,1,21,0,1,0,2,2,2,3,2,2,1,0,1,1,1,0,482,0,482,0
447,286,129,467,5,31,4,1,3,146,61,5,1,0,1,1,3,4,0,1,0,0,0,0,1,14,878,0,878,0
448,287,154,358,5,40,6,0,0,46,73,1,1,0,2,0,0,1,0,0,0,0,0,0,0,5,692,0,692,0
449,288,212,418,2,14,5,1,0,18,78,36,0,0,2,3,3,5,5,1,0,0,0,0,0,3,806,0,806,0
450,289,152,260,2,7,5,1,0,8,42,45,2,0,0,0,0,0,1,1,0,1,0,0,0,2,529,0,529,0
451,289(A),132,340,1,11,6,1,0,1,28,12,0,0,2,1,1,1,0,5,0,0,0,0,0,2,544,0,544,0
452,290,124,242,2,19,7,0,0,33,39,22,1,0,0,0,0,1,1,0,0,0,0,1,0,9,501,0,501,0
453,290(A),112,301,3,25,3,1,0,20,23,2,0,0,1,1,0,3,1,0,0,0,0,2,0,2,500,0,500,0
454,291,220,366,0,17,0,0,0,5,73,21,0,0,0,0,0,2,3,2,0,0,0,0,1,2,712,0,712,0
455,292,198,233,2,23,2,2,1,8,16,15,0,0,1,0,2,1,0,1,0,0,0,0,0,0,505,0,505,0
456,293,149,336,1,38,18,1,0,2,73,24,0,0,0,0,1,2,0,0,0,0,0,1,0,2,648,0,648,0
457,294,333,282,1,55,10,0,3,1,53,1,0,0,3,0,0,4,6,2,1,1,1,1,0,2,760,0,760,0
458,295,210,300,1,31,6,0,0,1,78,0,0,0,2,0,1,1,2,0,0,0,5,0,1,4,643,0,643,0
