Sl. No,Polling Station No,R. SAVITHA,K. ANNADURAI DAVID,M. BHARANIRAJAN,M. PALANIKUMAR,A. MURUGESAN,EMAN,LARENEG V. RAJAMANI,EHT R. REVATHY,V. ARUMUGAM,S SROTCELE P. ILANGOVAN,OT S. PANDIYAN UKKRA,M. KARUNAKARAN,M. SHARMA THAYAL SANKAR,S. SEKAR,. K. PACKIYASELVI,R. BALAMURUGAN,M.M. PILLAI,MARDNUKNARAPURIHT S. MANIKANDAN,M.K. KADAR ABDUL MOHIDEEN,K.R. MURUGAN,M. GUNASEKARAN (A) RADHA,K. RAMACHANDRAN,ednet der,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
53,42,187,213,1,54,19,0,0,8,67,14,0,1,0,0,0,2,0,0,0,0,0,0,0,0,566,0,566,0
54,42(A),154,284,6,28,15,0,0,4,33,12,0,2,1,0,0,4,2,1,0,1,0,2,1,1,551,0,551,0
55,43,241,145,1,33,20,0,0,15,68,54,0,1,0,1,1,1,0,0,2,0,0,0,0,4,587,0,587,0
56,43(A),221,205,1,17,27,0,1,10,41,37,0,0,1,0,1,2,1,0,0,0,1,1,0,2,569,0,569,0
57,44,147,178,0,27,19,0,0,0,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,420,0,420,0
58,44(A),172,237,1,22,12,0,0,0,30,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,480,0,480,0
59,45,166,173,0,24,23,0,0,0,38,0,1,0,0,0,0,1,0,1,0,0,0,1,0,5,433,0,433,0
60,45(A),154,235,1,21,21,0,1,1,20,0,0,1,0,1,0,2,0,1,1,0,0,0,0,5,465,0,465,0
61,46,148,198,0,44,16,0,0,1,57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,468,0,468,0
62,46(A),141,253,1,35,12,0,0,0,16,0,0,1,0,0,0,2,0,2,1,1,0,0,0,0,465,0,465,0
63,47,185,191,0,14,22,0,0,0,66,0,1,0,0,0,0,0,1,3,0,0,0,0,0,7,490,0,490,0
64,47(A),163,249,0,21,30,0,0,0,29,1,1,0,1,0,0,1,1,0,0,0,0,0,0,7,504,0,504,0
65,48,164,127,0,14,46,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,399,0,399,0
66,48(A),136,122,0,5,48,0,1,0,32,0,0,1,0,0,0,1,0,1,1,0,0,0,0,2,350,0,350,0
67,49,179,114,0,14,49,0,0,1,50,0,0,1,0,0,0,0,0,0,0,0,1,0,1,6,416,0,416,0
68,49(A),166,125,2,14,54,0,1,0,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,399,0,399,0
69,50,222,158,0,31,44,0,0,0,75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,538,0,538,0
70,50(A),202,230,1,24,42,0,2,0,51,0,0,0,0,0,0,0,2,2,2,0,0,0,0,5,563,0,563,0
71,51,172,169,0,11,23,1,1,0,64,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,448,0,448,0
72,51(A),187,232,0,5,31,0,0,0,49,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,509,0,509,0
