Polling Station No.,Building,Polling Areas
27,"Sirumalar Girls Hr. Sec. School, Therasa Hall,Nagamalai Pudukottai - 625019.","1.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Karunanithi Street Ward 7, 2.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Gurusami Nagar Ward 7 3.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Veeramamunivar Street Ward 7 , 4.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Pandian Street Ward 7 5.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Thamarai Street Ward 7 6.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Kavikuil Street Ward 7 7.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Vaigai Street Ward 7 , 8.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Thilagar Street Ward 7 9.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Pounraj Street Ward 7, 10.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Vaithiyalingam Street Ward 7 , 11.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Malligai Street Ward 7 12.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Gangaram Durairaj Street ward 7 , 13.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Adikalar Street Ward 7 14.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Livingston Street Ward 7, 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
28,"Kallar Reclamation Ele.School, Vadivelkarai-625019.","1.Vadivelkarai (R.V) Vadivelkarai(P) Vadivelkarai Ward 1 , 2.Vadivelkarai (R.V) Vadivelkarai (P) Vadivelkarai Ward 2 , 3.Vadivelkarai (R.V) Vadivelkarai (P) Vadivelkarai West ward 3 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
29,"Kallar Reclamation Ele.School, Additional Building Eastern Side, Vadivelkarai-625019.","1.Vadivelkarai (R.V) Vadivelkarai (p) Gandhi Nagar ward 3 , 2.Vadivelkarai (R.V) Vadivelkarai (P) Kalankarai Kalvai East street ward 3 , 3.Vadivelkarai (R.V) Vadivelkarai (P) EB colony ward 3 , 4.Vadivelkarai (R.V) Vadivelkarai (P) Priyanka nagar ward 3 , 5.Vadivelkarai (R.V) Vadivelkarai (P) Ponnoli street ward 3 , 6.Vadivelkarai (R.V) Vadivelkarai (P) Keelakuilkudi Main road Ward 3 , 7.Vadivelkarai (R.V) Vadivelkarai (P) Theni Main Road Ward 3 , 8.Vadivelkarai (R.V) Vadivelkarai (P) Malaiyan nagar Ward 3 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
30,"Kallar Reclamation Middle School,south building west portion Keelakuilkudi-625019","1.Keelakuilkudi (R.V) Keelakuilkudi (P) Keelakuilkudi , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
31,"Kallar Reclamation Middle School, South building East portion Keelakuilkudi-625019","1.Keelakuilkudi (R.V) Keelakuilkudi (P) Keelakuilkudi 3rd Ward , 2.Thattanoor (R.V) Keelakuilkudi (P) Seenivasa Colony (Thattanoor) , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
32,"Kallar Reclamation Middle School,Northern Building Keelakuilkudi-625019","1.Keelakuilkudi (R.V) Keelakuilkudi (P) Keelakuilkudi ward 1 , 2.Keelakuilkudi (R.V) Keelakuilkudi (P) Keelakuilkudi ward 3 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
33,"Panchayat Union Elementary School, East building Melakuilkudi- 625019","1.Melakuilkudi (R.V) Melakuilkudi (P) Melakuilkudi East Street , 2.Melakuilkudi (R.V) Melakuilkudi (P) Melakuilkudi Mela Street , 3.Melakuilkudi (R.V) Melakuilkudi (P) Melakuilkudi , 4.Melakuilkudi (R.V) Melakuilkudi (P) Parambumalai Melakuilkudi 2nd ward , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
34,"Panchayat Union Elementary School, South building Melakuilkudi-625019","1.Melakuilkudi (R.V) Melakuilkudi (P) Makes worth Nagar Melakuilkudi , 2.Melakuilkudi (R.V) Melakuilkudi (P) Central Bank Colony , 3.Melakuilkudi (R.V) Melakuilkudi (P) Sarvodaya Nagar , 4.Melakuilkudi (R.V) Melakuilkudi (P) Gokilam Nagar , 5.Melakuilkudi (R.V) Melakuilkudi (P) Samanar Malai, Othaveedu, Melakuilkudi , 6.Melakuilkudi (R.V) Melakuilkudi (P) Samayapuram Mariamman street , 7.Melakuilkudi (R.V) Melakuilkudi (P) R.S.Avenue , 8.Melakuilkudi (R.V) Melakuilkudi (P) Officer Town , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
35,"Kallar Reclamation Elementary School, Sakkilipatti-625021","1.Sakkilipatti (R.V) Sakkilipatti (P) Sakkilipatti East Street Ward 1 , 2.Sakkilipatti (R.V) Sakkilipatti (P) Sakkilipatti West street Ward 2 , 3.Sakkilipatti (R.V) Sakkilipatti (P) Asari Street Sakkilipatti Ward 2 , 4.Sakkilipatti (R.V) Sakkilipatti (P) S.C.Colony Sakkilipatti Ward 2 , 5.Sakkilipatti (R.V) Sakkilipatti (P) Chinnasakkilipatti Ward 2 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
36,"Panchayat Union Middle School, Northern Building, Thenpalanji-625021","1.Thenpalanji (R.V) Thenpalanji (P) Thenpalanji Colony , 2.Thenpalanji (R.V) Thenpalanji (P) Thenpalanji East street , 3.Thenpalanji (R.V) Thenpalanji (P) Thenpalanji Middle Street , 4.Thenpalanji (R.V) Thenpalanji (P) Thenpalanji North Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
