Sl. No,Polling Station No,Sambathkumar .T DMK,"Palaniswami, K. Edappadi AIADMK",A. Jamuna BSP,"IPA P. Eswari, Worker Social",PIM K.N. Gunasekaran,KMRGM S. Suriyamoorthy,D. Thasapparaj MNM,"N. Sekar, Pookadai AMMK",Dhesiya KM C. Mani,KIT R. Manikandan,Shrirathna NTK,"N Sriramachandran, Agni IND",N. Eswaramurthy IND,P. Eswaramoorthy IND,P. Iyyappan IND,V. Kathiravan IND,L. Kathiresan IND,M. Guheshkumar IND,G. Shanmugam IND,G. Sownthararajan IND,K. Dr.Padmarajan IND,A. Palanisamy IND,J. Balasubramaniam IND,M. Balamurugan IND,M. Murugan IND,G. Lakshmi IND,S. Loganathan IND,A. Stalin IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
44,37M,197,414,1,0,1,0,1,3,0,0,8,1,0,0,0,5,2,0,0,0,0,0,0,0,0,6,0,0,639,5,0,644
45,37A(W),134,406,8,1,2,0,0,3,0,0,5,0,1,1,3,3,5,2,0,0,0,0,0,0,0,1,2,0,577,4,0,581
46,38,141,457,2,0,0,0,2,6,0,1,19,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,0,0,634,2,0,636
47,39,134,470,1,1,0,0,3,2,1,0,18,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,633,3,0,636
48,40,149,541,1,0,0,0,5,7,0,0,27,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,733,0,0,733
49,41,105,423,4,1,0,0,1,1,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,551,1,0,552
50,42M,135,380,4,0,0,0,3,3,0,2,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,3,0,552
51,42A(W),81,392,0,0,0,0,1,1,1,0,8,1,0,0,1,4,2,0,0,0,0,1,0,0,0,2,0,1,496,1,0,497
52,43,114,476,8,0,1,0,3,1,0,0,14,2,0,4,2,4,3,5,0,0,0,0,0,1,0,3,1,0,642,0,0,642
53,44,152,510,4,0,0,0,4,3,0,0,23,1,3,1,1,5,2,0,1,0,0,0,0,0,0,1,1,3,715,6,0,721
54,45M,103,410,1,0,0,0,1,0,0,0,26,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,544,2,0,546
55,45A(W),79,362,1,0,0,0,0,0,0,0,9,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,458,0,0,458
56,46,51,127,1,0,0,0,0,1,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,188
57,47,76,625,4,0,0,0,1,4,0,1,23,0,1,0,1,1,2,2,0,0,1,0,1,1,0,0,0,2,746,1,0,747
58,48,87,496,1,0,0,0,3,1,0,0,24,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,618,2,0,620
59,49,124,749,1,0,0,0,1,2,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,903,4,0,907
60,50,117,334,0,0,1,0,0,1,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,2,0,472
61,51,163,517,1,0,0,0,4,2,0,1,18,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,714,1,0,715
62,52,174,584,1,0,0,0,3,5,0,5,34,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,812,3,0,815
63,53,147,515,3,0,0,0,2,0,2,1,30,2,0,0,2,6,0,0,0,0,1,0,0,0,0,1,2,0,714,1,0,715
64,54,107,450,4,2,1,2,1,1,0,0,24,0,1,0,3,1,2,0,0,0,0,0,0,0,0,1,3,0,603,1,0,604
65,55,101,599,1,1,0,0,5,1,0,0,8,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,721,1,0,722
66,56,191,662,4,0,0,1,1,1,0,2,29,0,0,0,1,3,1,3,0,0,0,1,0,0,0,0,0,2,902,3,0,905
67,57,107,394,1,1,0,0,3,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,520,4,0,524
68,58,145,598,4,0,0,0,3,0,0,0,16,0,0,0,0,0,1,3,0,2,0,0,0,0,0,1,0,1,774,2,0,776
69,59,62,226,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,2,0,296
70,60,155,629,7,0,2,0,3,2,0,0,11,0,0,0,0,1,0,3,0,0,0,0,1,0,1,1,3,3,822,4,0,826
