Sl. No,Polling Station No,K NEELAMEGAM SAMAJ BAHUJAN PARTY,@ SORNALATHA G LATHA JANAYAKA KATCHI INDIYA,A NATARAJAN DRAVIDAR KAZHAGAM ANNA,K BALU MAKKAL KATCHI PATTALI,NEELA MAHALINGAM TAMILAR KATCHI NAAM,K V KESAVARAJAN INDEPENDENT,R SATHISKUMAR INDEPENDENT,A MARTIN SAMUVEL INDEPENDENT,K SUDARVIZHI INDEPENDENT,R SEDHURAMAN INDEPENDENT,S RAJKUMAR INDEPENDENT,Number Round,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
96,77,298,2,3,11,0,175,45,4,0,2,0,1,2,6,549,0,549,0,
97,78,76,1,9,9,1,397,33,11,4,3,1,1,5,1,552,0,552,0,
98,79,187,0,7,10,1,417,13,5,1,0,1,0,5,5,652,0,652,0,
99,80,319,0,3,15,4,352,14,8,2,1,0,2,5,2,727,0,727,0,"8
:oN
dnuoR"
100,81,330,10,7,5,1,83,47,1,0,0,0,0,2,6,492,0,492,0,
101,81(A),395,3,2,4,1,95,26,4,0,0,1,0,1,4,536,0,536,0,
102,82,113,0,6,4,1,176,6,1,0,1,1,0,1,2,312,0,312,0,
103,83,255,1,1,27,1,342,18,5,3,1,0,0,3,6,663,0,663,0,
104,84,265,1,6,12,2,247,20,4,1,1,0,2,5,15,581,0,581,0,
105,85,132,7,1,26,4,333,12,3,2,1,0,0,0,0,521,0,521,0,
106,85(A),140,8,1,15,1,388,6,3,3,0,1,1,5,3,575,0,575,0,
107,86,398,3,3,5,3,301,43,4,0,0,1,2,1,5,769,0,769,0,
108,87,98,0,3,19,0,278,21,0,0,0,0,0,2,1,422,0,422,0,
109,87(A),121,1,3,12,0,318,17,7,2,0,0,1,5,4,491,0,491,0,
110,88,127,0,1,3,1,318,21,4,1,0,3,0,1,0,480,0,480,0,
111,89,311,2,6,1,1,121,19,0,1,0,0,1,1,8,472,0,472,0,
112,90,99,1,2,14,0,361,17,1,0,0,0,0,0,2,497,0,497,0,
113,90(A),112,0,1,11,4,388,8,5,3,0,0,1,3,3,539,0,539,0,"9
:oN
dnuoR"
114,91,156,2,1,37,0,497,11,15,3,0,1,0,5,8,736,0,736,0,
115,92,54,0,0,6,0,323,3,5,2,0,1,2,3,2,401,0,401,0,
116,93,225,6,1,38,1,200,28,4,1,1,0,2,2,11,520,0,520,0,
117,94,275,4,9,21,2,245,34,8,2,0,1,2,3,4,610,0,610,0,
118,95,159,3,4,61,0,388,19,20,3,2,1,3,9,8,680,0,680,0,
119,96,110,2,6,22,3,289,13,2,0,0,0,1,3,2,453,0,453,0,
120,96(A),136,4,5,11,1,327,9,6,1,0,3,0,5,5,513,0,513,0,
121,97,71,0,1,10,0,367,26,2,1,1,1,0,1,1,482,0,482,0,
122,97(A),108,1,1,11,3,364,15,8,2,0,1,2,10,2,528,0,528,0,
123,98,239,0,4,1,1,105,59,1,1,0,0,0,2,2,415,0,415,0,
124,98(A),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
125,99,238,0,1,8,0,99,34,5,0,0,1,0,0,2,388,0,388,0,
126,99(A),255,5,2,4,2,118,20,7,0,0,1,2,3,8,427,0,427,0,
127,100,350,0,6,59,5,371,21,2,1,1,1,0,3,11,831,0,831,0,"01
:oN
dnuoR"
128,101,158,2,4,9,0,344,15,5,1,0,0,0,2,2,542,0,542,0,
129,102,99,1,1,56,0,271,12,7,0,1,0,0,2,3,453,0,453,0,
130,102(A),93,0,2,62,1,306,11,5,0,2,0,0,3,2,487,0,487,0,
131,103,125,2,2,37,1,227,16,4,1,0,0,1,2,0,418,0,418,0,
132,103(A),132,2,5,22,1,286,9,5,0,0,2,0,5,3,472,0,472,0,
133,104,80,0,4,8,1,277,13,1,0,0,1,0,2,1,388,0,388,0,
134,104(A),93,1,1,6,3,339,10,9,3,0,1,1,7,6,480,0,480,0,
135,105,225,0,3,12,4,492,28,11,4,2,0,0,1,2,784,0,784,0,
136,106,72,3,3,27,0,279,14,5,0,1,1,0,3,0,408,0,408,0,
137,106(A),103,1,0,12,4,378,8,6,4,0,1,2,4,9,532,0,532,0,
138,107,53,1,2,26,0,338,19,6,2,0,0,0,2,4,453,0,453,0,
139,108,274,1,4,9,0,222,50,3,1,0,1,1,3,5,574,0,574,0,
140,109,297,0,3,27,1,132,26,2,0,0,0,0,0,3,491,0,491,0,
141,109(A),296,4,2,22,2,145,14,2,0,3,2,2,11,19,524,0,524,0,"11
:oN
dnuoR"
142,110,152,2,1,30,2,505,18,10,3,0,1,1,5,5,735,0,735,0,
143,111,115,2,3,20,0,291,11,2,0,0,0,0,2,1,447,0,447,0,
144,111(A),117,0,2,9,1,366,8,12,1,2,1,1,5,5,530,0,530,0,
145,112,263,1,5,10,0,440,34,3,2,1,1,1,2,9,772,0,772,0,
146,113,194,1,11,22,2,539,16,6,0,1,1,0,6,6,805,0,805,0,
147,114,433,2,7,7,3,329,24,4,2,1,0,1,3,10,826,0,826,0,
148,115,436,8,1,6,1,56,25,0,0,0,0,0,0,2,535,0,535,0,
149,115(A),433,5,1,2,0,45,15,3,0,0,0,0,3,6,513,0,513,0,
150,116,103,0,3,13,0,305,30,1,0,0,0,0,1,4,460,0,460,0,
151,116(A),132,2,2,8,1,306,14,4,2,2,1,1,5,5,485,0,485,0,
152,117,214,2,2,2,1,45,32,2,1,1,0,1,3,3,309,0,309,0,
153,118,164,0,3,39,2,258,35,2,1,0,0,1,2,3,510,0,510,0,
154,118(A),164,2,2,13,4,259,11,5,2,1,4,1,5,6,479,0,479,0,
155,119,329,1,5,4,0,36,25,0,0,0,1,0,0,2,403,0,403,0,"21
:oN
dnuoR"
156,120,529,5,3,14,0,69,109,1,1,0,1,0,0,7,739,0,739,0,
157,121,157,2,1,54,4,519,20,5,1,2,1,2,4,2,774,0,774,0,
158,122,220,0,3,47,5,529,39,8,5,1,0,3,7,6,873,0,873,0,
159,123,42,0,1,126,2,303,14,3,0,1,1,0,0,2,495,0,495,0,
160,123(A),46,0,4,161,0,282,4,3,4,3,5,3,2,5,522,0,522,0,
161,124,91,1,5,69,1,278,18,3,2,1,0,0,2,5,476,0,476,0,
162,124(A),72,1,4,53,4,319,5,11,3,2,2,2,5,7,490,0,490,0,
163,125,312,0,3,18,0,336,14,4,1,0,1,4,4,3,700,0,700,0,
164,126,337,0,0,14,1,377,19,9,2,0,1,0,8,6,774,0,774,0,
165,127,598,3,4,3,0,109,17,2,0,2,3,0,0,5,746,0,746,0,
166,128,140,1,2,18,1,343,19,2,0,1,0,0,1,3,531,0,531,0,
167,128(A),132,0,1,9,0,352,12,6,1,1,0,1,2,0,517,0,517,0,
168,129,145,1,0,18,1,444,16,2,1,0,2,0,3,4,637,0,637,0,
169,130,251,3,12,17,4,379,42,6,5,3,3,1,4,10,740,0,740,0,"31
:oN
dnuoR"
170,131,227,1,7,12,1,253,17,2,0,1,2,0,2,6,531,0,531,0,
171,132,228,1,46,28,1,298,37,3,2,1,2,0,0,13,660,0,660,0,
172,133,161,0,50,9,3,408,22,4,0,0,0,2,0,2,661,0,661,0,
173,134,310,1,3,3,2,245,28,4,0,0,1,1,5,9,612,0,612,0,
174,135,287,0,4,12,1,207,20,1,1,0,1,0,0,11,545,0,545,0,
175,136,329,3,18,14,2,273,30,3,2,2,0,0,4,5,685,0,685,0,
176,137,286,1,2,5,1,166,18,0,0,1,1,0,3,2,486,0,486,0,
177,137(A),313,2,1,3,0,188,9,6,1,0,0,1,3,5,532,0,532,0,
