Sl. No,Polling Station No,"M.SUBRAMANIAN,(Alias)RAVICPI","M. SELVAKUMAR, DMDK","K.N. VIJEYAKUMAR, AIADMK","B. ALAGUSUNDARAM, KDA","S.EASWARAN,NTK","S.SIVABALAN,MNM","V. SENTHILKUMAR, MDATPA K","K. DEIVASIGAMANI, KMTE","S. UDHAYAKUMAR, IND","T.N. SENTHILKUMAR, IND","R. SENTHILKUMAR, IND","A. SENTHILVEL, IND","S. MURUGAPANDI, IND","M.RANGASAMY,IND",Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
86,60A,0,143,8,227,0,43,60,1,0,2,0,1,0,0,0,485,0,8,493,0
87,61,0,137,6,352,0,46,74,1,1,1,0,0,0,0,0,618,0,1,619,0
88,62,1,92,1,172,0,28,26,0,0,0,0,0,0,0,0,320,0,0,320,0
89,62A,0,75,2,172,0,29,13,0,0,0,0,0,0,1,0,292,0,5,297,0
90,63,1,91,5,236,1,39,28,1,1,4,0,0,0,0,1,408,0,2,410,0
91,63A,1,88,5,177,1,26,27,0,0,0,0,0,0,0,0,325,0,6,331,0
92,64,3,71,3,149,0,23,35,0,1,1,0,0,0,0,1,287,0,5,292,0
93,64A,0,146,2,262,0,56,45,0,0,0,0,0,0,1,0,512,0,3,515,0
94,65,0,162,12,279,1,75,48,2,0,1,0,0,1,0,1,582,0,4,586,0
95,66,0,150,7,277,4,65,35,0,0,0,0,0,2,1,0,541,0,2,543,0
96,67,0,108,6,207,0,37,26,0,0,0,1,0,1,1,0,387,0,2,389,0
97,67A,1,113,5,230,1,53,43,0,0,1,0,0,1,1,0,449,0,3,452,0
98,68,4,107,7,243,1,43,15,0,0,0,0,0,1,1,1,423,0,4,427,0
99,68A,0,109,11,230,3,37,16,0,0,0,0,0,2,0,1,409,0,3,412,0
100,69,2,99,4,202,1,45,24,0,0,0,1,0,1,1,2,382,0,3,385,0
101,69A,1,114,9,206,1,56,26,0,1,0,0,0,0,0,0,414,0,3,417,0
102,70,0,178,8,341,2,62,34,5,0,1,0,1,0,4,2,638,0,2,640,0
103,71,2,129,8,237,2,76,32,5,1,0,0,0,1,0,0,493,0,1,494,0
104,72,0,136,3,247,1,60,29,0,0,0,0,1,0,1,0,478,0,4,482,0
105,72A,0,118,3,255,3,35,20,1,1,0,0,0,1,0,0,437,0,3,440,0
106,73,1,127,7,268,3,51,36,1,0,0,0,0,0,1,2,497,0,6,503,0
107,74,0,55,4,189,0,23,16,0,0,0,0,1,0,0,0,288,0,2,290,0
108,74A,0,88,4,208,2,21,26,0,0,0,0,0,0,2,0,351,0,1,352,0
109,75,0,131,8,333,2,55,54,0,1,0,0,0,0,0,0,584,0,4,588,0
110,76,1,77,6,165,1,21,28,2,0,0,0,0,0,1,1,303,0,7,310,0
111,76A,2,102,5,194,1,39,41,0,0,0,0,0,1,1,1,387,0,4,391,0
112,77,1,106,6,239,0,35,44,0,0,0,0,0,3,1,1,436,0,4,440,0
113,78,0,153,4,324,3,67,37,0,0,0,0,0,0,1,0,589,0,6,595,0
114,79,0,127,6,318,0,50,50,1,1,2,0,0,0,2,4,561,0,6,567,0
115,80,0,146,10,327,2,64,39,2,1,1,0,0,0,0,0,592,0,1,593,0
116,81,0,92,5,199,2,35,13,1,0,0,1,1,1,1,0,351,0,1,352,0
117,81A,0,99,2,177,1,46,26,4,0,0,0,0,0,0,1,356,0,1,357,1
118,82,0,141,18,241,2,33,47,1,0,2,0,0,0,2,1,488,0,2,490,0
119,83,0,137,10,307,2,56,41,4,2,1,0,0,1,0,1,562,0,0,562,0
120,84,1,112,5,168,3,60,35,0,0,1,0,0,0,0,0,385,0,7,392,0
121,84A,3,154,6,201,2,74,35,0,0,1,0,0,0,0,0,476,0,3,479,0
122,85,1,133,8,187,1,51,43,1,1,1,1,0,1,2,2,433,0,4,437,0
123,86,0,126,2,201,0,34,63,1,0,1,1,0,0,0,0,429,0,5,434,0
