Sl. No,Polling Station No,K.YHTAPANAG DMK,SANTHAKUMAR.Y BSP,BENJAMIN.P AIADMK,LAVANYA.P NCP,GANESHKUMAR.G NTK,SHANMUGAM.K TNLK,SUMITHRA.R BDP,MARY.B STELLA NEVIS AMAK,PRIYA.S PADMA MNM,MUTHURAMAN.S AMGRDMK,MURUGAN.E LUCKY AMMK,ABARAJITHAN.R IND,AMALRAJ.S IND,ARUNKUMAR.A IND,GANAPATHY.R IND,SELVAKUMAR.V IND,PRIYA.K IND,MOSES.S BENJAMIN IND,MURUGAN.D IND,RAVI.C.VIND,Total Valid Votes,Rejected Votes,Total Votes
483,329 A(W,) 159,0,135,0,22,0,0,0,34,1,0,0,0,0,0,0,3,0,0,0,354,0,7,361
484,330 M,191,1,139,0,58,0,1,0,36,0,13,0,0,0,0,0,2,0,0,0,441,0,4,445
485,330 A(W,) 194,1,161,1,24,0,0,0,34,1,10,0,0,0,1,1,1,0,0,0,429,0,5,434
486,331 M,133,0,82,0,43,0,0,0,36,0,24,0,0,1,0,0,1,0,0,0,320,0,3,323
487,331 A(W,) 120,1,121,0,21,0,0,0,30,0,42,0,0,0,1,0,1,0,0,0,337,0,1,338
488,332 M,189,0,150,0,28,1,0,0,44,0,6,0,1,0,0,0,1,0,0,0,420,0,5,425
489,332 A(W,) 190,0,135,2,14,0,0,0,34,0,3,0,0,0,0,1,2,0,0,0,381,0,6,387
490,333 M,222,0,115,3,52,1,0,0,71,0,3,0,0,0,0,1,0,1,0,0,469,0,4,473
491,333 A(W,) 210,1,141,3,39,2,0,0,83,0,1,0,0,0,0,0,0,1,0,0,481,0,0,481
492,334 M,217,0,142,2,58,1,0,0,14,0,1,0,0,0,0,0,0,0,0,0,435,0,2,437
493,334 A(W,) 228,0,184,1,25,1,0,0,14,0,3,0,0,1,0,0,1,0,1,0,459,0,2,461
494,335,199,1,138,0,46,1,0,0,57,0,2,1,0,1,1,1,0,0,0,0,448,0,1,449
495,336,189,0,153,0,24,4,0,0,66,0,0,0,0,0,0,0,1,0,0,0,437,0,4,441
496,337 M,181,0,73,1,22,1,0,0,32,0,3,0,0,0,0,0,1,0,0,0,314,0,6,320
497,337 A(W,) 155,0,77,0,13,1,0,0,43,0,2,0,0,0,0,0,1,1,0,0,293,0,5,298
498,338 M,193,1,67,0,29,2,0,0,32,0,8,0,0,0,0,0,0,0,0,0,332,0,4,336
499,338 A(W,) 193,0,72,0,15,0,0,0,40,0,7,0,0,0,0,0,1,0,0,0,328,0,1,329
500,339 M,153,1,59,0,22,0,0,0,34,0,4,0,0,0,0,0,0,0,0,0,273,0,0,273
501,339 A(W,) 166,0,77,0,13,1,0,0,42,1,3,0,0,0,0,1,0,0,0,0,304,0,2,306
502,340,251,0,180,1,55,2,0,1,78,0,2,1,0,0,1,1,1,2,0,0,576,0,10,586
503,341,238,1,139,1,54,0,0,1,71,0,4,0,0,0,0,2,1,2,0,0,514,0,1,515
504,342,208,0,141,0,55,3,0,2,65,0,3,0,0,0,0,0,0,0,1,0,478,0,2,480
505,343,226,0,186,0,39,7,0,0,72,1,4,0,0,0,0,0,0,0,0,0,535,0,5,540
506,344 M,166,1,121,0,40,2,0,0,39,0,4,0,0,0,0,1,2,0,0,0,376,0,1,377
507,344 A(W,) 138,2,133,1,25,1,0,0,40,0,2,0,0,0,0,0,1,0,0,0,343,0,7,350
508,345 M,149,0,91,0,39,0,0,0,55,0,5,0,0,0,0,0,0,0,0,0,339,0,5,344
509,345 A(W,) 136,0,102,0,25,1,0,2,49,0,2,0,0,0,2,0,0,1,0,0,320,0,2,322
510,346 M,200,1,106,1,24,0,0,0,54,0,8,0,0,0,0,2,0,0,0,1,397,0,5,402
511,346 A(W,) 179,0,113,0,13,1,0,1,69,0,4,0,0,0,0,0,3,1,1,0,385,0,2,387
512,347,325,0,196,0,40,0,0,0,18,0,7,2,0,0,0,0,0,0,0,0,588,0,1,589
513,348,270,0,194,0,35,2,1,0,54,0,1,0,0,0,0,0,1,0,0,1,559,0,4,563
514,349,196,1,125,1,36,0,1,0,85,0,7,1,0,0,0,0,2,1,0,0,456,0,4,460
515,350,153,0,102,0,17,0,0,0,87,0,0,0,0,0,0,0,1,1,1,0,362,0,5,367
516,351 M,260,1,118,1,29,0,0,0,30,0,3,0,1,0,0,2,0,1,0,0,446,0,1,447
517,351 A(W,) 274,0,172,1,20,0,0,0,37,0,2,1,1,2,1,0,0,1,0,0,512,0,1,513
518,352 M,175,0,106,0,23,1,0,0,74,0,3,0,0,0,0,0,1,0,1,1,385,0,1,386
519,352 A(W,) 143,0,108,0,16,0,0,0,55,0,3,2,0,0,0,0,0,0,0,0,327,0,4,331
520,353 M,162,1,118,0,24,0,0,0,33,0,1,0,0,0,0,0,0,0,0,0,339,0,3,342
521,353 A(W,) 153,0,103,0,16,0,0,0,36,0,2,0,0,0,0,1,2,1,0,0,314,0,1,315
522,354,323,1,159,0,41,2,0,0,36,0,7,0,0,0,0,0,0,3,0,0,572,0,3,575
523,355 M,190,1,88,0,37,0,0,0,39,0,4,0,0,0,0,0,0,0,0,1,360,0,6,366
524,355 A(W,) 196,2,107,1,20,0,0,0,43,0,5,0,2,0,0,0,1,0,0,0,377,0,4,381
525,356,267,1,151,2,51,2,0,0,78,0,4,0,0,1,0,0,0,0,1,0,558,0,2,560
526,357,254,0,128,0,43,1,0,1,62,0,2,1,0,0,0,1,2,3,0,0,498,0,5,503
527,358,165,0,131,0,20,0,0,0,73,0,2,0,0,1,0,0,1,0,0,0,393,0,4,397
528,359 M,193,1,101,0,25,2,0,0,43,0,2,0,0,0,0,0,0,0,0,0,367,0,9,376
529,359 A(W,) 168,0,81,3,17,1,0,0,44,0,1,0,0,0,1,0,1,1,0,0,318,0,4,322
530,360 M,185,0,94,0,20,0,0,0,56,0,2,0,0,0,0,0,0,2,0,0,359,0,0,359
531,360 A(W,) 173,0,98,1,8,0,0,0,51,0,1,0,0,0,0,1,1,0,0,0,334,0,7,341
532,361 M,183,0,104,1,40,0,0,2,73,0,4,0,0,0,0,0,1,0,0,0,408,0,4,412
533,361 A(W,) 159,0,119,2,16,0,0,0,58,0,0,1,0,0,1,0,2,0,0,0,358,0,1,359
534,362 M,210,1,139,2,45,2,0,0,75,0,4,0,0,0,0,0,0,0,0,0,478,0,7,485
535,362 A(W,) 183,2,124,2,35,1,0,0,70,0,0,0,0,0,1,1,3,1,0,0,423,0,4,427
536,363 M,180,1,119,0,38,0,0,0,71,0,3,0,0,0,0,0,2,0,1,0,415,0,5,420
537,363 A(W,) 180,0,115,1,23,0,0,1,72,0,0,0,0,0,0,0,2,0,0,0,394,0,5,399
538,364 M,188,1,131,0,32,2,0,0,42,1,1,0,0,0,0,0,0,0,1,0,399,0,2,401
539,364 A(W,) 206,3,133,1,16,0,0,0,45,0,3,1,1,0,0,0,2,0,0,0,411,0,2,413
540,365 M,231,0,115,1,43,4,0,1,65,1,1,0,0,0,0,0,0,0,0,0,462,0,3,465
541,365 A(W,) 202,0,141,0,33,0,0,0,66,0,1,0,0,0,1,0,3,1,0,0,448,0,3,451
542,366,229,0,136,4,43,3,0,0,86,0,1,1,0,0,0,0,3,2,0,0,508,0,9,517
543,367 M,168,0,95,1,25,0,0,0,56,0,1,0,0,0,0,0,0,0,0,0,346,0,3,349
544,367 A(W,) 172,0,76,1,12,0,1,0,53,0,2,0,0,0,0,0,0,0,0,0,317,0,2,319
545,368 M,173,0,128,0,44,0,0,0,53,0,4,1,0,0,0,1,0,0,0,0,404,0,4,408
546,368 A(W,) 183,1,137,0,20,2,0,0,53,0,1,0,2,0,0,2,1,0,0,0,402,0,3,405
547,369,196,2,147,2,23,3,0,0,106,0,4,0,1,0,0,0,1,0,0,0,485,0,5,490
548,370,196,0,151,0,24,0,0,0,112,0,2,1,0,0,0,2,1,0,0,0,489,0,7,496
549,371 M,193,0,101,1,30,0,0,0,51,0,4,0,0,0,0,0,1,0,0,0,381,0,2,383
550,371 A(W,) 167,0,97,0,10,0,0,0,44,0,1,0,0,1,0,0,1,0,2,1,324,0,1,325
551,372 M,148,0,89,0,24,0,0,0,46,0,0,0,0,0,0,2,0,0,0,0,309,0,6,315
552,372 A(W,) 145,0,93,0,18,1,0,0,55,0,0,0,1,0,0,0,0,0,0,0,313,0,2,315
553,373 M,164,0,160,0,26,0,0,0,41,0,2,0,0,1,0,0,1,0,0,0,395,0,5,400
554,373 A(W,) 143,0,182,1,18,0,0,1,47,0,1,1,0,0,0,1,1,2,0,0,398,0,1,399
555,374 M,170,1,115,0,38,1,2,0,57,0,2,0,0,0,0,0,2,0,0,1,389,0,3,392
556,374 A(W,) 157,0,114,0,26,1,3,0,53,0,0,0,0,0,0,0,0,0,1,0,355,0,1,356
557,375 M,167,2,115,0,31,0,0,0,42,0,3,0,1,0,0,0,0,0,1,0,362,0,2,364
558,375 A(W,) 171,1,118,0,14,0,0,0,42,0,1,0,0,0,0,1,2,0,0,0,350,0,3,353
559,376,226,0,157,0,35,0,0,2,73,0,11,0,0,0,0,1,0,0,0,0,505,0,4,509
560,377,215,0,135,1,30,0,0,2,67,0,0,0,0,0,0,0,1,0,0,0,451,0,6,457
561,378 M,197,0,115,0,40,1,0,0,38,0,2,0,0,0,0,0,1,0,0,0,394,0,2,396
562,378 A(W,) 199,0,129,0,20,0,0,0,34,0,2,0,0,0,1,0,2,0,0,0,387,0,1,388
563,379 M,175,0,92,0,42,1,0,2,58,0,3,0,1,0,0,0,1,1,0,0,376,0,4,380
564,379 A(W,) 149,0,129,0,16,0,0,0,49,0,4,0,0,0,1,0,1,0,0,0,349,0,2,351
565,380 M,165,3,121,0,48,0,0,0,61,0,5,0,0,0,0,0,0,0,0,0,403,0,2,405
566,380 A(W,) 177,2,137,0,25,0,0,0,57,0,7,0,0,0,0,0,1,0,1,0,407,0,2,409
567,381 M,157,0,91,0,49,0,0,0,55,0,6,0,0,0,1,0,1,0,0,0,360,0,2,362
568,381 A(W,) 166,1,94,1,23,2,1,1,67,0,4,0,0,0,0,0,0,0,0,0,360,0,0,360
569,382,232,0,126,1,42,1,0,1,71,0,9,0,1,0,0,0,1,0,0,0,485,0,5,490
570,383 M,177,2,159,0,28,1,0,1,65,0,2,0,0,0,0,4,1,0,0,0,440,0,5,445
571,383 A(W,) 180,1,168,2,25,0,1,0,63,0,4,0,0,0,0,4,1,1,1,0,451,0,4,455
572,384,200,0,132,2,31,2,2,1,84,0,4,0,0,1,0,5,3,0,0,0,467,0,4,471
573,385,241,1,116,2,42,2,2,1,121,0,4,0,0,0,0,0,1,0,0,0,533,0,5,538
574,386,178,0,110,1,29,2,0,1,87,0,5,0,0,0,0,6,2,0,0,0,421,0,2,423
575,387,235,0,155,0,30,0,0,0,97,0,0,0,0,0,0,2,1,0,0,0,520,0,1,521
576,388,185,1,96,0,15,0,0,0,89,0,4,0,0,0,0,2,3,0,0,0,395,0,3,398
577,389,300,3,132,1,33,2,1,0,119,1,3,0,1,0,0,0,0,0,0,0,596,0,2,598
578,390 M,178,0,130,1,32,1,0,0,47,0,2,0,1,0,0,0,1,0,0,0,393,0,3,396
579,390 A(W,) 167,2,140,2,17,1,1,0,62,0,3,0,0,0,0,2,1,0,1,0,399,0,3,402
580,391 M,167,0,104,0,49,0,0,0,51,0,7,0,0,0,0,0,0,0,0,0,378,0,0,378
581,391 A(W,) 170,1,124,0,35,1,0,0,50,0,4,0,0,0,0,0,0,0,0,0,385,0,5,390
582,392 M,183,4,132,0,33,0,0,0,49,0,2,0,0,0,0,1,1,0,0,0,405,0,8,413
583,392 A(W,) 190,3,134,0,30,0,0,0,58,0,1,0,0,0,0,2,0,0,1,0,419,0,6,425
584,393 M,119,1,73,1,16,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,261,0,6,267
585,393 A(W,) 98,1,77,0,8,0,0,0,61,0,0,0,2,0,0,0,0,0,0,0,247,0,2,249
586,394,224,1,184,1,46,5,0,1,55,0,2,1,0,0,0,0,1,1,0,0,522,0,3,525
587,395 M,168,1,110,1,37,1,0,0,64,0,5,0,0,0,0,0,1,0,0,0,388,0,4,392
588,395 A(W,) 154,1,120,0,18,0,0,0,48,0,5,0,0,0,1,0,1,1,0,0,349,0,4,353
589,396,140,1,112,0,19,0,0,0,69,0,1,0,0,0,0,0,1,0,0,0,343,0,6,349
590,397 M,175,0,111,0,31,1,0,1,77,0,1,0,0,0,0,0,0,0,1,0,398,0,4,402
591,397 A(W,) 129,0,115,1,14,0,0,0,97,0,0,0,0,0,0,0,2,0,0,0,358,0,3,361
592,398,188,1,135,0,19,2,2,0,122,0,0,0,0,0,0,0,2,0,0,0,471,0,5,476
593,399,170,0,127,0,42,1,0,0,98,0,2,0,0,0,0,2,0,0,1,0,443,0,5,448
594,400,176,0,158,0,34,1,0,0,81,0,6,0,0,0,0,0,1,0,0,1,458,0,5,463
595,401,241,0,168,0,34,5,1,0,81,1,1,0,0,0,0,1,0,0,0,0,533,0,7,540
596,402,216,0,108,0,25,0,0,0,48,0,9,0,0,1,0,1,1,0,0,0,409,0,1,410
597,403 M,301,1,157,0,15,1,0,0,32,0,3,0,0,0,0,0,0,0,1,0,511,0,6,517
598,403 A(W,) 288,1,177,1,14,0,0,0,37,0,1,1,0,1,0,3,2,0,1,0,527,0,3,530
599,404,263,1,203,2,12,4,0,0,44,0,4,0,0,1,0,2,0,0,3,0,539,0,5,544
600,405,441,2,153,1,21,0,0,0,21,0,4,0,0,1,0,1,0,1,1,0,647,0,3,650
601,406,255,2,81,1,25,0,0,0,20,1,2,0,1,0,0,0,2,0,0,0,390,0,3,393
602,407,303,1,150,0,40,1,0,0,35,0,3,0,2,0,2,0,1,0,0,0,538,0,3,541
603,408,178,0,149,0,29,2,0,1,71,0,1,0,0,0,0,0,1,1,0,0,433,0,12,445
604,409 M,147,0,118,0,34,0,0,0,42,0,1,0,0,0,0,1,0,1,0,0,344,0,1,345
605,409 A(W,) 136,0,103,1,20,2,0,0,60,0,1,0,0,0,1,0,0,1,0,0,325,0,2,327
606,410,195,0,161,1,30,0,0,0,91,0,4,2,0,0,0,0,1,1,0,0,486,0,5,491
607,411,215,0,154,1,41,2,0,1,77,0,4,0,0,0,0,2,0,0,0,0,497,0,3,500
608,412 M,199,1,118,2,38,2,0,0,62,0,2,1,0,0,0,1,0,2,0,0,428,0,6,434
609,412 A(W,) 184,0,142,0,30,0,0,0,57,0,1,0,0,0,0,0,0,0,0,0,414,0,7,421
610,413,242,1,167,1,38,1,0,0,79,0,13,0,0,0,0,0,1,0,0,0,543,0,10,553
611,414,203,2,146,0,31,0,0,0,88,0,9,0,1,0,0,1,0,0,0,0,481,0,8,489
612,415,229,1,177,0,40,2,0,0,104,0,6,0,0,0,0,0,2,2,0,0,563,0,7,570
613,416,191,1,182,0,58,0,0,0,64,0,4,0,0,0,0,1,1,1,0,0,503,0,7,510
614,417 M,163,0,127,0,34,1,0,1,64,0,7,0,0,0,0,0,0,0,0,0,397,0,2,399
615,417 A(W,) 139,1,121,0,26,3,0,0,69,0,2,0,0,0,0,0,4,3,0,1,369,0,6,375
616,418,216,1,144,0,46,3,0,0,87,0,2,0,0,0,0,1,3,0,0,0,503,0,5,508
617,419,163,0,138,1,36,0,0,0,48,0,4,0,0,0,0,1,0,0,0,0,391,0,3,394
618,420,172,2,81,2,14,0,0,0,85,0,2,0,0,0,0,0,1,1,0,0,360,0,4,364
619,421,156,0,94,0,16,1,0,0,90,0,9,0,0,0,0,1,1,0,0,0,368,0,8,376
