Sl. No,Polling Station No,K.YHTAPANAG DMK,SANTHAKUMAR.Y BSP,BENJAMIN.P AIADMK,LAVANYA.P NCP,GANESHKUMAR.G NTK,SHANMUGAM.K TNLK,SUMITHRA.R BDP,MARY.B STELLA NEVIS AMAK,PRIYA.S PADMA MNM,MUTHURAMAN.S AMGRDMK,MURUGAN.E LUCKY AMMK,ABARAJITHAN.R IND,AMALRAJ.S IND,ARUNKUMAR.A IND,GANAPATHY.R IND,SELVAKUMAR.V IND,PRIYA.K IND,MOSES.S BENJAMIN IND,MURUGAN.D IND,RAVI.C.VIND,Total Valid Votes,Rejected Votes,Total Votes
108,71 M,167,0,97,1,26,0,0,0,36,0,3,0,0,0,0,1,0,0,0,0,331,0,3,334
109,71 A(W),140,0,103,1,14,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,304,0,2,306
110,72,183,1,122,2,33,0,0,0,39,0,5,0,0,0,0,0,0,0,0,0,385,0,5,390
111,73,277,1,210,0,35,0,0,0,82,0,12,0,1,1,0,1,0,0,0,0,620,0,3,623
112,74 M,239,0,120,0,39,0,0,0,27,0,5,0,0,0,0,0,1,0,0,0,431,0,1,432
113,74 A(W),248,1,89,0,20,0,0,0,36,0,2,0,0,0,0,1,0,0,0,0,397,0,1,398
114,75,335,0,123,0,43,0,0,1,43,0,2,1,0,0,0,1,0,0,0,0,549,0,1,550
115,76 M,201,1,89,0,22,1,0,0,24,0,3,0,0,0,0,0,0,0,0,0,341,0,3,344
116,76 A(W),200,1,87,0,10,0,0,0,21,0,1,0,0,0,0,0,0,0,0,1,321,0,0,321
117,77,285,0,167,0,40,2,0,0,79,0,3,0,0,0,0,1,0,1,0,0,578,0,2,580
118,78 M,186,1,88,0,33,1,0,0,35,0,1,0,0,0,0,0,0,0,0,0,345,0,0,345
119,78 A(W),143,0,109,0,17,1,0,0,31,0,0,0,1,1,0,0,0,0,1,0,304,0,0,304
120,79,305,0,152,0,35,0,0,0,71,0,1,0,0,1,0,0,0,0,1,0,566,0,6,572
121,80 M,191,0,104,0,24,1,0,0,22,0,2,0,0,0,0,0,0,0,0,1,345,0,1,346
122,80 A(W),162,0,110,1,11,2,0,0,25,0,0,0,0,0,0,0,0,0,1,0,312,0,1,313
123,81,248,1,127,0,36,1,0,0,40,0,0,0,1,0,0,0,1,0,0,0,455,0,3,458
124,82,304,1,147,0,49,0,0,0,40,0,3,2,0,0,3,0,2,0,0,0,551,0,3,554
125,83,221,1,137,0,32,0,0,0,72,1,1,0,0,0,0,0,0,0,0,0,465,0,4,469
126,84,273,1,154,1,48,4,0,0,25,0,0,0,0,2,0,0,0,0,0,0,508,0,6,514
127,85,280,0,151,0,42,1,0,0,50,0,2,2,0,0,0,0,0,0,1,0,529,0,3,532
128,86 M,191,0,96,0,35,0,0,0,25,0,1,0,0,0,0,0,0,0,0,1,349,0,1,350
129,86 A(W),179,0,133,0,19,0,0,0,31,0,0,0,0,0,0,2,1,0,1,0,366,0,1,367
130,87,427,1,128,0,32,0,0,0,62,0,0,0,0,0,1,2,3,0,0,0,656,0,5,661
131,88 M,176,1,167,0,40,0,0,0,27,0,4,0,0,0,0,0,0,0,0,0,415,0,5,420
132,88 A(W),150,0,229,2,23,1,0,0,24,0,2,0,0,0,0,3,0,0,0,0,434,0,1,435
133,89 M,203,1,198,0,42,2,0,0,53,0,6,1,0,0,0,0,1,0,0,0,507,0,6,513
134,89 A(W),200,2,237,0,32,4,0,0,46,0,3,0,0,0,0,0,1,0,0,0,525,0,2,527
135,90 M,232,1,223,2,55,0,0,0,42,0,7,0,0,0,0,1,0,0,0,0,563,0,3,566
136,90 A(W),230,1,249,1,33,1,0,0,41,0,1,0,0,0,1,2,2,1,0,0,563,0,3,566
137,91 M,202,1,152,1,42,3,0,0,37,0,7,0,0,0,0,0,0,0,0,0,445,0,3,448
138,91 A(W),182,0,179,0,31,1,0,0,53,0,8,1,0,0,0,0,3,0,0,0,458,0,2,460
139,92 M,230,1,225,0,45,1,0,0,33,0,4,0,0,0,0,0,1,0,0,0,540,0,3,543
140,92 A(W),241,1,227,0,22,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,515,0,2,517
141,93 M,152,0,165,0,40,4,0,1,45,0,1,0,0,0,0,0,0,1,0,0,409,0,1,410
142,93 A(W),172,3,162,0,31,1,0,1,34,0,1,0,0,0,0,0,3,0,2,0,410,0,3,413
143,94 M,172,0,111,0,26,2,0,0,94,0,1,0,0,0,1,0,1,0,0,0,408,0,4,412
144,94 A(W),150,1,107,1,18,1,0,0,73,0,0,0,1,0,1,0,2,0,0,0,355,0,3,358
145,95 M,243,0,117,1,50,4,0,0,43,0,4,0,0,0,0,0,0,0,0,0,462,0,1,463
146,95 A(W),211,0,164,0,21,1,0,1,52,0,2,0,0,0,0,1,3,0,2,1,459,0,1,460
147,96,319,0,230,0,57,1,0,0,69,0,4,0,0,0,1,0,0,0,0,0,681,0,5,686
148,97,270,0,220,1,58,1,0,0,42,0,1,1,0,0,0,0,1,0,0,0,595,0,3,598
149,98 M,186,1,144,0,41,0,0,1,31,0,4,0,0,0,0,0,0,0,0,0,408,0,3,411
150,98 A(W),182,0,132,0,15,1,0,0,34,0,1,0,0,0,0,1,1,0,0,0,367,0,1,368
151,99,316,1,208,1,78,1,0,0,42,0,0,0,0,0,0,1,2,2,1,0,653,0,4,657
152,100,254,0,208,1,68,4,0,2,52,0,13,1,0,3,0,0,1,0,0,0,607,0,3,610
153,101,213,0,213,4,47,0,0,0,71,0,2,0,0,0,0,0,1,0,2,0,553,0,4,557
154,102,276,0,205,0,69,1,0,0,65,0,13,0,0,0,0,0,0,1,1,0,631,0,11,642
155,103,286,0,226,0,44,5,0,0,71,0,5,1,0,0,0,0,0,0,0,1,639,0,4,643
156,104 M,202,0,126,1,50,2,0,0,55,0,1,0,0,0,0,0,2,0,0,0,439,0,4,443
157,104 A(W,) 186,1,137,1,19,2,0,1,58,0,0,1,0,1,0,0,1,0,0,0,408,0,4,412
158,105,221,0,221,0,41,1,0,0,45,2,6,0,0,0,1,0,1,0,0,0,539,0,2,541
159,106,226,0,180,0,35,6,0,0,47,1,6,0,0,0,0,2,0,0,0,0,503,0,0,503
160,107,199,0,159,1,24,0,0,0,72,1,5,0,0,0,0,0,2,0,1,0,464,0,2,466
161,108 M,170,0,148,1,33,2,0,0,45,0,2,0,0,0,0,0,2,0,0,1,404,0,5,409
162,108 A(W,) 145,2,151,0,16,0,0,1,44,1,2,0,0,0,0,0,0,0,0,0,362,0,1,363
163,109 M,182,2,139,2,46,0,0,0,70,0,4,0,0,1,1,1,2,0,0,0,450,0,5,455
164,109 A(W,) 151,1,153,2,28,1,0,0,57,0,5,0,0,0,1,0,0,1,0,0,400,0,3,403
165,110 M,198,0,134,1,31,1,0,0,43,0,4,0,0,0,0,0,0,0,0,0,412,0,3,415
166,110 A(W,) 181,1,135,0,18,1,0,2,39,0,0,0,0,1,0,0,1,0,0,0,379,0,1,380
167,111 M,195,0,118,0,64,0,0,0,33,0,3,0,0,0,0,0,0,0,0,0,413,0,2,415
168,111 A(W,) 188,1,139,0,31,2,0,0,32,0,3,2,0,0,0,0,0,1,0,0,399,0,1,400
169,112,247,2,200,1,59,0,0,0,55,0,10,0,0,0,0,2,2,0,0,1,579,0,2,581
170,113,183,1,178,2,39,2,1,0,33,0,5,0,0,0,0,0,0,0,0,0,444,0,3,447
171,114 M,211,0,132,0,36,1,2,0,52,0,4,0,0,0,0,0,0,0,0,1,439,0,5,444
172,114 A(W,) 199,2,164,0,33,0,0,1,40,0,1,1,0,0,0,0,0,0,0,2,443,0,2,445
173,115 M,197,0,111,1,50,1,0,0,40,0,5,0,0,0,0,0,0,0,0,0,405,0,1,406
174,115 A(W,) 182,1,146,0,24,0,0,0,26,0,6,1,0,0,1,1,2,1,0,0,391,0,1,392
175,116 M,181,2,161,0,56,3,0,0,42,0,3,1,0,0,0,0,0,0,0,0,449,0,2,451
176,116 A(W,) 175,1,174,0,34,0,0,0,28,0,7,0,0,0,1,2,0,0,0,0,422,0,1,423
177,117 M,196,0,117,0,57,1,0,0,50,0,11,0,0,0,0,0,0,0,0,0,432,0,2,434
178,117 A(W,) 180,0,146,1,32,0,0,0,49,0,8,2,1,1,0,0,2,0,1,0,423,0,3,426
179,118,257,0,192,1,55,2,0,0,42,0,7,0,0,0,0,0,0,0,0,0,556,0,1,557
180,119,156,0,173,1,31,3,0,0,52,0,10,1,0,1,0,0,2,1,0,0,431,0,3,434
181,120,223,1,212,1,59,3,1,0,42,0,8,0,0,0,0,1,0,1,0,0,552,0,7,559
