Sl. No,Polling Station No,NACHIMUTHU S Samaj Party) (Bahujan,MOORTHI.K SIVABALA Mahasabha) Bharat Hindu (Akhil,THANGAVEL.B Party) India (My,POOVENDHAN .T Needhi Maiam) (Makkal,RAJASEKARAN VINOTH .G Tamilar Katchi) (Namm,AZHAGUMALA I.A (Independent,ANANTHAN S.P (Independent),KARUPPUSAM Y.P (Independent),KALIAPPAN.K (Independent),HAMEED SHAHUL (Independent),GOUNDER.P SAMIAPPA (Independent),SIDDIQ.M (Independent),SUDHA.R.B (Independent),SURESH.M (Independent),THANGAVEL.A (Independent),NAGENDRAN. G (Independent),PANDEESWAR AN.M (Independent),PERIYADURAI. M (Independent),MUNISHRAJA. M (Independent),SAHABUDEEN RASULBEEVI (Independent),LATHIKA (Independent),Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
65,53,266,1,267,0,0,19,30,17,0,0,0,0,0,0,0,0,2,0,3,1,0,1,0,1,608,0,3,611,0
66,54,250,0,155,1,0,45,15,11,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,482,0,8,490,0
67,55,196,1,141,2,0,22,30,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,400,0,7,407,0
68,56,299,0,172,1,1,25,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,7,545,0
69,57,234,0,177,2,0,12,31,4,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,464,0,6,470,0
70,58,204,1,119,2,1,17,15,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,364,0,5,369,0
71,59,208,0,104,0,0,27,23,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,370,0,5,375,0
72,60,301,0,143,1,0,29,22,6,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,506,0,5,511,0
73,61,110,0,85,0,0,18,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,225,0,5,230,0
74,62,474,4,298,2,0,6,35,5,1,0,1,0,0,3,1,4,2,2,0,0,0,1,0,0,839,0,5,844,0
75,63,345,0,190,2,1,9,27,3,0,0,0,1,1,0,5,2,1,0,1,0,1,0,0,0,589,0,6,595,0
76,64 M,211,1,190,2,0,11,31,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,454,0,3,457,0
